 	j'	ai	perdu	mon	acte	de	naissance	</S>
n	0.937268	0.0124806	0.00470196	0.00694172	0.0254333	0.00843589	0.00390201	0.000836706
g	0.870882	0.0550461	0.000631189	0.0580994	0.00182229	0.0112107	0.00132832	0.000979898
á	0.954542	0.0289897	0.00243082	0.00243545	0.00128035	0.00222926	0.00691718	0.00117531
í	0.111335	0.286023	0.076293	0.0695729	0.0296392	0.0686855	0.182193	0.176259
m	0.0126864	0.276933	0.592114	0.0241809	0.0161355	0.0147285	0.0192571	0.0439645
i	0.000257144	0.192648	0.509704	0.0731332	0.118511	0.0496643	0.0162519	0.0398307
b	4.14962e-05	0.0188365	0.878989	0.00515306	0.0585989	0.00394516	0.0100801	0.0243561
v	2.70829e-05	0.0370069	0.724962	0.00760354	0.150661	0.00521555	0.0504538	0.0240708
e	4.61336e-06	0.00616124	0.711179	0.00179961	0.25284	0.00668649	0.0120346	0.00929393
e	0.00161846	0.0112024	0.101265	0.0879463	0.606951	0.0866753	0.0240402	0.0803021
s	2.03528e-05	0.00846352	0.04936	0.0906632	0.553257	0.177936	0.0587713	0.061528
á	0.000161646	0.00530571	0.0383539	0.380938	0.306107	0.142687	0.0269335	0.099513
l	0.000998751	0.00514506	0.00382837	0.423845	0.226765	0.222397	0.0846418	0.0323783
e	0.000523145	0.00779794	0.00768668	0.132776	0.266279	0.145504	0.220622	0.218811
k	9.03719e-06	0.00217718	0.00377225	0.0232951	0.145097	0.0442501	0.583139	0.198261
á	3.75699e-06	0.000276486	0.00961584	0.00467936	0.22744	0.023046	0.512837	0.222102
s	0.000102374	0.00419268	0.0745463	0.0341943	0.369207	0.0627938	0.267199	0.187764
i	0.000104793	0.00264013	0.0204413	0.159576	0.194517	0.0958537	0.322433	0.204433
l	9.65502e-06	0.00193144	0.016239	0.0760088	0.0440939	0.331643	0.241783	0.288292
á	0.000568609	0.00457883	0.0194689	0.0685413	0.0246059	0.152311	0.222128	0.507798
m	0.000722578	0.00807992	0.00394618	0.150754	0.0162022	0.365148	0.197265	0.257883
b	7.58639e-05	0.00796211	0.0114032	0.0404573	0.0225828	0.286011	0.223106	0.408402
v	2.07009e-05	0.000597131	0.00430607	0.00855314	0.0356338	0.242416	0.360506	0.347967
ú	9.598e-06	0.000950712	0.0121039	0.00767371	0.0364176	0.247723	0.254322	0.440799
l	0.000473675	0.00109968	0.00553109	0.0286082	0.0416479	0.0511339	0.0713868	0.800119
a	0.000200032	0.000626902	0.00613062	0.0441264	0.0237688	0.193994	0.127518	0.603636
</S>	8.68952e-05	0.00412306	0.00672468	0.0576808	0.0111006	0.229451	0.0654106	0.625423
