 	ebhyondo	est	un	bois	qu'	on	utilise	pour	la	fabrication	du	manche	de	hache	</S>
e	0.277807	0.495162	0.0529256	0.0790227	0.0236646	0.0330625	0.0205934	0.00979923	0.00305595	0.00070358	0.000484309	0.000233703	0.00332983	0.000129087	2.63778e-05
b	0.258527	0.586285	0.0624143	0.0266575	0.0028111	0.0123319	0.02672	0.0114604	0.00220449	0.00158953	0.000741796	0.00212666	0.00250717	0.00259314	0.00103005
h	0.0547528	0.530109	0.167395	0.159859	0.0139347	0.0421811	0.00755017	0.00802562	0.00208636	0.000644679	0.00184901	0.000813767	0.00504293	0.00389678	0.00185876
y	0.495117	0.19199	0.0848798	0.169486	0.0106818	0.0150768	0.0110311	0.00852848	0.00222727	0.00173852	0.00237202	0.00262982	0.0011831	0.000780038	0.00227761
ó	0.80338	0.0203896	0.0252291	0.0341066	0.0161427	0.00187889	0.00457668	0.00936161	0.0100405	0.0232448	0.00801131	0.0202888	0.00388445	0.00444255	0.0150228
n	0.754732	0.0984747	0.0372119	0.0589515	0.0262486	0.00778691	0.00444343	0.00328003	0.00209274	0.00155432	0.00110119	0.00101355	0.000637582	0.000254414	0.00221673
d	0.58293	0.124469	0.0468689	0.0455481	0.0230456	0.0243038	0.0385117	0.0224986	0.0130471	0.0137559	0.00941824	0.0103333	0.00512764	0.00210034	0.0380416
o	0.479877	0.159467	0.0997628	0.0883499	0.106316	0.0064842	0.00666124	0.00323517	0.00572175	0.0102106	0.00416834	0.00260822	0.00125224	0.000614612	0.0252715
b	0.120048	0.10977	0.207134	0.278964	0.168267	0.0513452	0.0129643	0.0199862	0.00944641	0.00436756	0.00418976	0.00179854	0.00225459	0.000310764	0.0091536
á	0.272816	0.038767	0.131737	0.154848	0.120194	0.0676162	0.034952	0.0330934	0.0287888	0.0331753	0.0247586	0.0136649	0.0198761	0.00162159	0.0240914
a	0.0311315	0.0511803	0.181044	0.196614	0.376343	0.10143	0.0254272	0.00530407	0.0107923	0.00929683	0.00316995	0.00288599	0.00157741	0.000391625	0.00341225
k	0.0154459	0.018282	0.0562765	0.0480515	0.0514414	0.132824	0.629864	0.0214352	0.00554491	0.00804708	0.00135581	0.00264298	0.00125724	0.000464853	0.00706598
o	0.0189878	0.00745573	0.048198	0.0423904	0.0134506	0.0747252	0.720297	0.0484956	0.00691189	0.00540247	0.00241456	0.00495467	0.0012069	0.000658804	0.00445045
b	0.00933275	0.00419751	0.0361282	0.0810803	0.0146712	0.0747609	0.697916	0.0516406	0.00515601	0.0139981	0.00258181	0.00388354	0.00134217	0.000848354	0.00246206
h	0.0468607	0.00606839	0.0259572	0.0415064	0.0178743	0.0688134	0.394933	0.168291	0.0320076	0.0558848	0.0283566	0.0450697	0.0185656	0.00569275	0.0441193
á	0.0184822	0.00199998	0.0163662	0.03433	0.0635474	0.0242255	0.0563812	0.0795769	0.143859	0.193439	0.0938574	0.154001	0.0360562	0.0259959	0.0578818
m	0.00554929	0.00400862	0.0140852	0.0193647	0.0982118	0.0847141	0.0552213	0.223714	0.237859	0.0781291	0.0575417	0.0465703	0.0290813	0.00324231	0.0427081
ó	0.0127569	0.0199067	0.0234958	0.00708162	0.0302861	0.0171573	0.0156777	0.103467	0.298268	0.0427984	0.110147	0.128284	0.0466635	0.0202907	0.123719
p	0.0121175	0.00506184	0.00917474	0.0140832	0.00930919	0.0141378	0.0215045	0.116382	0.109469	0.129228	0.157194	0.208803	0.0236277	0.152062	0.0178451
á	0.00604818	0.00757394	0.0129029	0.0147418	0.00546873	0.0176167	0.0549564	0.0817715	0.027467	0.205563	0.056906	0.434255	0.0105216	0.0364897	0.0277175
n	0.000756945	0.00101975	0.00310922	0.00452658	0.00465923	0.0189918	0.0645769	0.0591389	0.0577678	0.140639	0.0570989	0.495649	0.00739577	0.0328914	0.0517793
d	0.00276045	0.00340908	0.0135222	0.0112201	0.00631424	0.0202078	0.0757466	0.189361	0.115444	0.164756	0.0928802	0.218813	0.0243144	0.0122667	0.0489842
e	0.00853999	0.00337114	0.0109104	0.00995866	0.00718561	0.00556748	0.00693864	0.054916	0.0989654	0.246388	0.190684	0.197473	0.0297489	0.0204644	0.108888
y	0.000854294	0.000753899	0.00388965	0.00483438	0.00620747	0.010347	0.00550686	0.0957919	0.105265	0.0579313	0.25911	0.118149	0.197437	0.0218785	0.112043
á	0.0150238	0.0110694	0.0464912	0.0193784	0.0227715	0.00646054	0.00227602	0.020155	0.0321427	0.0221047	0.113927	0.135258	0.0983479	0.363381	0.0912132
s	0.010314	0.00213082	0.00702531	0.0107465	0.00716316	0.00266939	0.00132758	0.00653457	0.0151133	0.00841438	0.0698191	0.0513164	0.0351486	0.718979	0.0532975
ó	0.00185343	0.000351533	0.00142781	0.000436766	0.000702397	0.000195421	7.76875e-05	0.000515686	0.0022814	0.00207847	0.0146237	0.00377643	0.00341031	0.953785	0.0144838
k	0.00078706	0.000579478	0.00275494	0.000961204	0.00121518	0.000314847	0.000116057	0.00349738	0.0139325	0.00294022	0.0402647	0.0115667	0.0224529	0.812309	0.0863075
a	0.00246991	0.00102668	0.00597219	0.0114905	0.00318912	0.0042894	0.00975277	0.0221008	0.019314	0.0594307	0.107166	0.146302	0.0489713	0.249243	0.309281
</S>	0.00199621	0.0018415	0.00784671	0.0144077	0.0109746	0.0120954	0.00422983	0.029039	0.0380727	0.00998814	0.140023	0.0735407	0.120367	0.261654	0.273923
