 	elle	oint	le	fétiche	avec	de	la	poudre	de	bois	rouge	et	de	l'	huile	</S>
w	0.812029	0.000456385	0.0352962	0.0266894	0.0278148	0.0191553	0.0369633	0.00212838	0.00763989	0.00830397	0.00390942	0.00911119	0.00285934	0.00697719	0.000231905	0.000434412
a	0.948922	0.000229247	0.0061464	0.00739095	0.00968151	0.00406229	0.00736429	0.00032476	0.00263849	0.00769368	0.000654702	0.00265566	0.000562259	0.000887451	0.000777927	8.62926e-06
l	0.23691	0.408235	0.10655	0.0132262	0.0176899	0.0238454	0.0502233	0.0112367	0.0233709	0.0294929	0.00701928	0.0116721	0.0203034	0.0252514	0.00137377	0.0135996
á	0.0983025	0.0191	0.0828945	0.0466914	0.0802655	0.0678025	0.0615752	0.0119787	0.0563469	0.0623219	0.0427413	0.0808651	0.0583631	0.0522664	0.0172604	0.161225
a	0.0667262	0.119611	0.235705	0.0692453	0.0684725	0.0241146	0.0223147	0.0145403	0.0228289	0.0313063	0.0154071	0.0544661	0.0365862	0.0250361	0.0261646	0.167475
w	0.000937605	0.969934	0.0100954	0.0026744	0.00195401	0.00102973	0.00109747	0.00647166	0.000536671	0.000301143	0.000385165	0.000403123	0.000529032	0.000301074	0.000237545	0.00311194
o	0.00325134	0.766239	0.0532591	0.0224739	0.0180454	0.00553382	0.00634456	0.0801584	0.00313218	0.00647588	0.00318678	0.00331217	0.00515986	0.00194907	0.00239942	0.0190794
o	0.000198123	0.517917	0.0717091	0.0314109	0.0379616	0.0125141	0.0242937	0.185425	0.00907306	0.0338896	0.00940807	0.00474507	0.0122449	0.00617838	0.000518324	0.0425137
s	0.000406275	0.00164546	0.0804334	0.0928097	0.165428	0.249649	0.309531	0.0116638	0.0303024	0.0170891	0.0104675	0.00941539	0.00633855	0.00774951	0.0013593	0.00571139
á	0.000278318	0.0155645	0.0731027	0.048615	0.130532	0.172043	0.226434	0.0804178	0.0712676	0.033462	0.0414208	0.0119543	0.0210415	0.0135402	0.00234628	0.0579793
ω	0.00396774	0.0043684	0.0229855	0.04058	0.292552	0.108419	0.234115	0.139288	0.0112031	0.018591	0.0680323	0.0221131	0.00868828	0.00600292	0.0145278	0.00456533
n	4.1144e-05	0.0018059	0.0026801	0.0174096	0.0301409	0.0217581	0.0440262	0.850005	0.00814381	0.00565883	0.0064448	0.00332653	0.00261245	0.00115665	0.00263832	0.00215157
g	5.00951e-05	0.00118895	0.00435089	0.00725162	0.0171836	0.0221596	0.0744814	0.753849	0.0198065	0.0326947	0.0347634	0.00693429	0.00661297	0.00436758	0.00257711	0.0117287
a	3.76346e-05	0.000826136	0.00110259	0.0017937	0.00759029	0.00589583	0.0143614	0.908051	0.00333812	0.0195873	0.0290628	0.00200945	0.00230159	0.00101864	0.000402687	0.00262043
n	2.78373e-05	0.00142995	0.00303867	0.00258698	0.0211557	0.016623	0.0391852	0.520995	0.0368454	0.107381	0.159339	0.013641	0.0215232	0.0110208	0.00583108	0.0393761
g	0.000282587	0.00112559	0.00870784	0.00859474	0.0259838	0.0631177	0.141032	0.41551	0.0943086	0.0633484	0.0633771	0.0259213	0.0236151	0.00959347	0.00279246	0.0526899
a	0.00134984	0.000104983	0.00255702	0.0065664	0.0392356	0.0250027	0.0216389	0.20653	0.0387967	0.279072	0.311238	0.0368413	0.010578	0.00320318	0.00134821	0.0159373
l	0.000712043	0.000180452	0.00925439	0.0132383	0.0297716	0.0995554	0.112329	0.0434161	0.298628	0.107634	0.125874	0.070199	0.0422209	0.0232174	0.00187329	0.0218975
a	0.000725852	0.000202142	0.00643857	0.00728644	0.0193786	0.0470299	0.100546	0.0369367	0.162151	0.094582	0.167785	0.0996728	0.125978	0.0756394	0.00736208	0.0482855
á	0.000787229	5.43694e-05	0.00323792	0.00225636	0.00917583	0.0245	0.0712353	0.0119663	0.0927835	0.0740167	0.340035	0.184301	0.0839951	0.0575859	0.0276356	0.0164332
o	0.000460071	0.00572587	0.00958606	0.0150255	0.00836532	0.0106205	0.0388887	0.0788819	0.106077	0.0841942	0.0805829	0.145891	0.218217	0.127122	0.0352101	0.0351519
n	0.000344153	0.00462984	0.00959475	0.00724838	0.00698486	0.011951	0.0612678	0.203796	0.0673205	0.0346267	0.0337123	0.086101	0.130868	0.0944775	0.224288	0.0227898
g	0.000131666	0.000706319	0.00143392	0.00150079	0.00346814	0.00305591	0.00808368	0.0907913	0.0494674	0.0924672	0.265033	0.166355	0.141678	0.0804886	0.032278	0.0630613
w	3.77305e-05	0.000172435	0.00120195	0.0017025	0.00174946	0.00158391	0.00482773	0.0781054	0.0192652	0.152068	0.357857	0.13116	0.134788	0.0702129	0.024066	0.0212024
e	3.02289e-05	0.000515825	0.000483604	0.000427967	0.00197876	0.00138303	0.00493538	0.0521895	0.0169543	0.0727896	0.312357	0.0546297	0.169185	0.0929653	0.126634	0.0925407
l	4.24084e-05	0.000253117	0.00147372	0.000639577	0.00171647	0.00444222	0.0199962	0.0128164	0.0373779	0.051413	0.105601	0.0490568	0.155212	0.0763299	0.033634	0.449995
é	5.38697e-05	0.000127515	0.00124324	0.00188307	0.00398664	0.0047898	0.00693922	0.00753128	0.0515359	0.101769	0.176585	0.200729	0.173908	0.086374	0.0448272	0.137717
l	0.000228845	9.31652e-05	0.00330891	0.00275098	0.00383038	0.00914229	0.01795	0.0011042	0.0597616	0.0485398	0.0671713	0.125536	0.161964	0.307277	0.0429122	0.148429
a	0.000181376	0.00017067	0.00164477	0.00193012	0.00399321	0.00482229	0.0064815	0.00682442	0.0347765	0.0359978	0.0519094	0.105141	0.199718	0.260513	0.0558971	0.229998
a	7.46773e-05	2.27717e-05	0.000784721	0.00033993	0.00179708	0.00432163	0.00850471	0.000982373	0.0204612	0.0244457	0.083281	0.110474	0.145528	0.359195	0.104407	0.13538
w	9.11944e-05	0.000397451	0.002886	0.00342516	0.00241853	0.00445428	0.00979038	0.00913183	0.0250162	0.0167255	0.00910905	0.0605432	0.146516	0.3015	0.106282	0.301713
ú	0.000710988	0.00110673	0.0060659	0.00549684	0.00620378	0.00450984	0.0071715	0.00998728	0.0160006	0.0778306	0.0266174	0.0695747	0.189569	0.170744	0.260725	0.147686
r	4.33134e-06	2.50238e-05	0.000315172	0.000139227	0.000175932	0.000682473	0.00476441	0.00192236	0.0145171	0.0276418	0.0215102	0.0339145	0.179257	0.214335	0.0513597	0.449436
a	4.06627e-05	4.42386e-05	0.000529527	0.00033276	0.000536159	0.00226491	0.0109853	0.00316266	0.0490777	0.0500658	0.0703473	0.0888747	0.192867	0.234713	0.0562289	0.239929
</S>	8.08129e-05	1.59447e-05	0.00128667	0.000925243	0.00151934	0.00489058	0.008562	0.000310498	0.0375345	0.029708	0.0333241	0.0830851	0.102823	0.27799	0.0540187	0.363926
