 	le	sorcier	connait	la	maison	du	fou	de	la	même	manière	qu'	un	pêcheur	connait	les	caches	des	poissons	</S>
o	0.913827	0.0527953	0.00538656	0.00363838	0.00159661	0.00254729	0.00102447	0.000523627	0.000250993	0.000244734	0.000872887	0.0120144	0.00417424	0.000217116	1.815e-05	0.000379874	0.000230717	0.000139275	0.000102548	1.55062e-05
l	0.0174083	0.9699	0.00521446	0.000245889	0.000277587	0.000425122	0.000132363	0.000476708	0.000961137	0.00207909	0.000230547	0.000537117	0.000388249	0.000194486	0.000397895	0.000120089	0.000247927	0.000451385	6.29308e-05	0.000249
ω	0.00325887	0.979207	0.00878964	7.87166e-05	0.00017614	7.94191e-05	7.23821e-05	5.79574e-05	0.00014709	6.94884e-05	6.09671e-05	0.000104738	0.000275152	0.00184717	0.00246415	0.000100172	0.00203307	0.000276635	1.49006e-05	0.000886053
i	0.00657881	0.945147	0.0211094	0.000412238	0.000528481	0.00103302	0.000479018	0.000468853	0.000734518	0.000664804	0.000700886	0.000983685	0.00244805	0.0027289	0.00323031	0.000685059	0.00465228	0.0025801	0.000237214	0.00459696
l	0.452342	0.162116	0.0348127	0.0347773	0.0140527	0.0339579	0.0114082	0.0079452	0.0054193	0.00855858	0.0127163	0.0166217	0.0308098	0.015374	0.0117809	0.0340081	0.0143906	0.0184446	0.00417139	0.0762922
á	0.0974977	0.105856	0.061439	0.0392659	0.0457755	0.0343013	0.0193123	0.0166822	0.0189671	0.018014	0.0119904	0.022583	0.0455044	0.0388373	0.0356313	0.0376718	0.0413956	0.0540248	0.012925	0.242325
a	0.359676	0.019314	0.077695	0.0466503	0.0189001	0.0290841	0.0191214	0.0198287	0.0161286	0.0137015	0.0404496	0.108591	0.0600131	0.00918328	0.00826722	0.0304247	0.0131765	0.0376671	0.0275268	0.0446003
s	0.0186947	0.0544163	0.817621	0.011747	0.00819979	0.00155881	0.00213445	0.000913686	0.000800098	0.000475088	0.000209208	0.000771012	0.00476584	0.0145209	0.0135315	0.00432718	0.0187367	0.00907541	0.00170987	0.015792
ω	0.00799553	0.0523814	0.872721	0.00861908	0.0124127	0.000604351	0.00111684	0.000348239	0.000425561	4.3613e-05	9.5913e-06	0.000104691	0.00219235	0.0111257	0.00937102	0.00227246	0.00422418	0.00200388	0.00129627	0.0107313
l	0.00156791	0.0268549	0.837146	0.0114094	0.00507801	0.00266801	0.00421584	0.000977881	0.00129417	0.000715121	0.000546751	9.41148e-05	0.00323652	0.00552793	0.0132286	0.00441631	0.0346051	0.0229885	0.00144489	0.0219836
