 	le	moineau	s'	est	perché	sur	le	palmier	</S>
e	0.461978	0.498974	0.0302836	0.00203898	0.00144429	0.00160497	0.00347953	0.000175854	2.08049e-05
s	0.110783	0.828194	0.0366219	0.0084584	0.00625062	0.00593309	0.00139386	0.00106083	0.00130421
w	0.0266643	0.958699	0.0045847	0.00392961	0.00401489	0.00130775	0.000104507	3.20939e-05	0.000663628
ώ	0.169476	0.784269	0.0201614	0.0060403	0.00708147	0.00798485	0.00258216	0.000670973	0.00173399
ω	0.130858	0.606908	0.200555	0.0075148	0.000760682	0.00471782	0.0125241	0.00160981	0.0345525
r	0.130494	0.0590449	0.732003	0.0637597	0.00732517	0.00209529	0.00180585	0.000214966	0.00325758
ώ	0.225484	0.313286	0.221934	0.0452375	0.0394484	0.0108488	0.00506229	0.00135356	0.137345
é	0.0412676	0.0198895	0.77962	0.101991	0.0379526	0.00557729	0.00423771	0.000219624	0.00924415
d	0.0230455	0.004753	0.277278	0.452131	0.177667	0.0404488	0.0126828	0.00142678	0.010568
í	0.000584756	0.000178587	0.0335345	0.197894	0.626925	0.0701608	0.0044179	0.000114918	0.0661904
s	0.00149106	0.000192493	0.0372244	0.1151	0.617266	0.151126	0.0386831	0.00144566	0.0374713
a	0.000705025	0.00033106	0.00454078	0.0302764	0.899707	0.0582067	0.0032007	0.000115686	0.00291695
a	0.00129276	0.00037923	0.0110483	0.03989	0.683784	0.141701	0.0911922	0.00711065	0.0236012
m	0.00220607	0.00273428	0.0162743	0.0622162	0.0466194	0.508838	0.192549	0.121382	0.0471811
í	0.00181013	0.00124258	0.00570749	0.0499899	0.271297	0.186642	0.109494	0.174522	0.199295
b	0.0020303	0.00074669	0.00461156	0.0174075	0.0138691	0.128866	0.109756	0.596495	0.126219
í	0.00158333	0.00144826	0.00150856	0.00391112	0.00163828	0.10393	0.0689765	0.761957	0.0550469
a	0.00106936	0.000810463	0.00179522	0.00498617	0.0148718	0.0491099	0.0302692	0.488443	0.408645
</S>	0.00202477	0.000865246	0.0109985	0.014604	0.0079792	0.129961	0.263591	0.156015	0.413961
