 	il	avait	si	peur	d'	être	en	retard	qu'	il	arriva	en	avance	</S>
b	0.731589	0.187076	0.0245307	0.0137232	0.0203746	0.0105148	0.00466528	0.000688743	0.00259044	0.000461174	0.000745568	0.00131449	0.00171424	1.16026e-05
ώ	0.287126	0.363492	0.0678139	0.202218	0.0426701	0.0159038	0.00342546	0.000150839	0.00124284	0.00202498	0.00105331	0.00724866	0.0055302	0.000100152
m	0.0370273	0.143514	0.0856999	0.610526	0.0435116	0.0272226	0.0120082	0.00311097	0.00706575	0.0104453	0.0064331	0.0116272	0.000923477	0.000884731
ώ	0.0999877	0.234621	0.116346	0.257096	0.132901	0.0816998	0.0132209	0.0015666	0.0208948	0.0217306	0.00271281	0.00265646	0.000550777	0.0140153
b	0.0776737	0.204668	0.229252	0.122653	0.153081	0.0546084	0.0335207	0.00187144	0.0212725	0.0289946	0.0171219	0.0175026	0.0034877	0.0342923
á	0.0576114	0.0963648	0.202779	0.144014	0.177007	0.155891	0.0588664	0.00170273	0.0250693	0.0412254	0.00768285	0.0112857	0.00272555	0.0177748
i	0.101857	0.233532	0.193587	0.196448	0.0903972	0.0675683	0.0172237	0.00559028	0.0120671	0.0246886	0.00945096	0.0128185	0.00255632	0.0322155
y	0.0115454	0.0403733	0.366328	0.0569418	0.125075	0.106545	0.0927422	0.0540099	0.0166074	0.0253994	0.0170119	0.00675469	0.0039374	0.0767291
a	0.00406144	0.0693056	0.093947	0.00944855	0.112112	0.0178566	0.0653296	0.397134	0.0264146	0.0459018	0.105632	0.0096615	0.00218926	0.0410058
a	0.00835468	0.0452955	0.0581335	0.0289148	0.121566	0.0206848	0.0866113	0.225766	0.0356232	0.0329707	0.140949	0.0428968	0.00449275	0.14774
l	0.00690384	0.0235687	0.0350792	0.187353	0.142513	0.314134	0.206894	0.02828	0.0233155	0.00579427	0.0067009	0.0097964	0.00103127	0.00863636
o	0.00703925	0.0134089	0.080487	0.0543868	0.0782847	0.10408	0.241626	0.130076	0.0550969	0.041602	0.0342326	0.0301023	0.00119165	0.128385
d	0.0083315	0.0107041	0.0227492	0.0759064	0.118056	0.0810509	0.124565	0.254811	0.0655434	0.0569027	0.0803226	0.0212677	0.00461657	0.0751731
í	0.00154304	0.00266349	0.00275835	0.00191842	0.0234274	0.0097688	0.119	0.560191	0.0570088	0.0261186	0.12194	0.0167237	0.0109334	0.0460053
n	0.00224301	0.0103249	0.0135575	0.0586147	0.0511022	0.0934908	0.204153	0.273386	0.111456	0.0456674	0.0370085	0.0266159	0.00756442	0.0648158
g	0.00351631	0.0249028	0.0134766	0.040661	0.0759513	0.0262058	0.157796	0.233575	0.179009	0.0756058	0.0660797	0.0343568	0.00206596	0.0667985
á	0.00488783	0.0285796	0.0198575	0.0640846	0.151449	0.018045	0.0857401	0.188462	0.146551	0.079254	0.11697	0.0287277	0.00291156	0.0644803
á	0.00378926	0.00268422	0.00542992	0.025192	0.0190142	0.0389533	0.200409	0.201389	0.358498	0.0854777	0.0248779	0.0163427	0.00378034	0.0141634
p	0.00105398	0.00263258	0.00535219	0.00148622	0.0046592	0.0103948	0.0712309	0.310526	0.232826	0.239333	0.0852679	0.0217278	0.00712308	0.00638739
é	0.000439012	0.00165772	0.0117291	0.00389837	0.00535184	0.0122202	0.0663642	0.374353	0.118578	0.217335	0.0825659	0.0295084	0.0313076	0.0446922
n	0.000220452	0.000447559	0.00473518	0.00420591	0.00362013	0.0126856	0.076059	0.468738	0.103487	0.135963	0.0468684	0.0300355	0.0163122	0.096623
d	0.000660307	0.00186895	0.00766764	0.0051909	0.00660372	0.00787043	0.0550696	0.237137	0.176196	0.298636	0.0741613	0.0440595	0.0173131	0.0675654
á	0.000560987	0.0012211	0.00387779	0.00243445	0.00808495	0.00120464	0.0168921	0.152839	0.147542	0.315112	0.23541	0.0282191	0.00399339	0.0826084
a	0.00134623	0.000609281	0.0016753	0.00648454	0.0037735	0.00324906	0.0172255	0.0198951	0.141355	0.133726	0.3065	0.226962	0.0229306	0.114267
b	0.000628535	0.00179117	0.00341792	0.00224873	0.00247947	0.00294161	0.0118532	0.0165423	0.0321908	0.0994168	0.518018	0.17289	0.0971019	0.0384801
á	0.00057084	0.00403048	0.00670413	0.0100472	0.00683323	0.00995351	0.0202011	0.00308751	0.0138891	0.0688889	0.158704	0.297354	0.346158	0.0535771
r	0.00161502	0.00426873	0.00481493	0.0189087	0.00332591	0.00987739	0.0239633	0.0113415	0.0299999	0.139161	0.138984	0.118652	0.0926488	0.402439
í	0.00077511	0.00187166	0.00547534	0.00566503	0.00836765	0.00275558	0.0189859	0.0286597	0.0988189	0.234332	0.244516	0.124878	0.014327	0.210573
o	0.000776981	0.000697519	0.00170897	0.0039658	0.00226342	0.00237701	0.0108383	0.00581433	0.0643856	0.0707951	0.402756	0.249876	0.0235177	0.160227
