 	pourquoi	me	laisses-tu	souffrir	comme	cela	</S>
n	0.927578	0.0618026	0.00221876	0.00445763	0.00245689	0.00127298	0.000213045
ω	0.855006	0.142434	0.000535798	0.00128009	0.000484813	0.000216127	4.30651e-05
l	0.464854	0.489901	0.0269145	0.00870873	0.00367289	0.00277834	0.00317008
ó	0.0626033	0.0536322	0.017845	0.0287401	0.0692682	0.0483596	0.719552
o	0.216473	0.398225	0.0667313	0.0342923	0.0683998	0.0707121	0.145166
k	0.00510631	0.045398	0.919863	0.0133513	0.00360942	0.00176083	0.0109111
á	0.00144645	0.0196094	0.952531	0.00944196	0.00397113	0.00228912	0.0107113
m	0.0220464	0.134551	0.631452	0.108732	0.0133731	0.0251882	0.0646574
b	0.0150608	0.111357	0.557093	0.120355	0.105195	0.0234203	0.0675186
á	0.0664878	0.0280507	0.658814	0.0967457	0.0289688	0.0210626	0.0998701
s	0.0538257	0.203851	0.0716032	0.502917	0.129156	0.024523	0.0141241
á	0.00803585	0.0276182	0.151456	0.737508	0.02766	0.0315383	0.0161837
n	0.0592588	0.109141	0.0247447	0.632535	0.116951	0.0457309	0.0116384
g	0.093375	0.187876	0.0516228	0.530317	0.0555212	0.0483101	0.0329786
á	0.11108	0.332889	0.0339882	0.330947	0.0881563	0.060013	0.0429267
b	0.00128354	0.00297646	0.0136897	0.274328	0.594308	0.0784851	0.0349297
ó	0.0158608	0.00901502	0.0263373	0.343145	0.104567	0.357657	0.143418
m	0.000557677	0.00550691	0.0134503	0.265537	0.249862	0.371195	0.0938903
ó	0.000372486	0.000659004	0.00847922	0.0272954	0.484331	0.16733	0.311533
n	0.00174018	0.00200463	0.00744428	0.0460456	0.28496	0.479542	0.178263
d	0.00311857	0.00792343	0.0136475	0.078741	0.168398	0.503161	0.225011
e	0.00253494	0.00464441	0.00372717	0.0402723	0.11054	0.304258	0.534023
</S>	7.45477e-05	0.000430649	0.00556976	0.0640562	0.0654027	0.21457	0.649897
