 	je	ne	mange	pas	l'	igname	</S>
n	0.650302	0.213599	0.0110922	0.0680335	0.0523193	0.00157583	0.00307732
g	0.990751	0.00442981	0.000431806	0.00228068	0.00200169	8.65867e-05	1.87673e-05
á	0.95638	0.0329958	0.00242221	0.00379557	0.00273901	0.00160155	6.58032e-05
i	0.106912	0.533919	0.054041	0.0980971	0.13487	0.0107592	0.0614016
d	0.0197834	0.405275	0.210852	0.0597001	0.0116137	0.0235706	0.269205
i	0.051721	0.355369	0.361132	0.029157	0.0118107	0.0417725	0.149038
í	0.00800283	0.110501	0.704099	0.0714149	0.0241788	0.0114535	0.0703498
s	0.0648622	0.205905	0.524559	0.110947	0.0467803	0.0252042	0.0217419
ú	0.0144129	0.0673767	0.664882	0.0501462	0.040698	0.123735	0.0387491
l	0.109741	0.0788627	0.389691	0.186581	0.122827	0.0781984	0.0340994
ú	0.0164964	0.120902	0.210201	0.268406	0.274578	0.0760031	0.033414
o	0.0122201	0.0391299	0.0655813	0.413839	0.317848	0.0974448	0.0539374
d	0.00043271	0.0196781	0.406494	0.113385	0.0385387	0.349286	0.0721854
z	0.00080838	0.0055194	0.44724	0.0282193	0.0106884	0.191843	0.315682
á	0.00713019	0.0332262	0.280521	0.0677025	0.0174901	0.49841	0.0955199
a	0.00188514	0.00447173	0.0743112	0.0981108	0.180856	0.158653	0.481712
k	0.00226868	0.0174108	0.0425951	0.0973521	0.244596	0.0842292	0.511548
a	0.00055055	0.0059128	0.030239	0.375886	0.131129	0.081768	0.374515
á	0.000379183	0.00162341	0.0181734	0.185062	0.107833	0.0499851	0.636944
</S>	0.000849462	0.00789916	0.0160768	0.051102	0.097413	0.0723823	0.754277
