 	j'	ai	mangé	le	koko	à	la	sauce	d'	arachide	</S>
n	0.903981	0.0366884	0.0107246	0.0139021	0.0222584	0.00497733	0.00221518	0.00142926	0.00364067	3.41965e-05	0.00014884
g	0.977838	0.0200722	0.00138405	0.000321286	3.82507e-05	7.16928e-05	3.52037e-05	1.54688e-05	7.58025e-05	0.00014484	3.38795e-06
á	0.906136	0.0847592	0.00607703	0.000732719	0.000190211	0.000133039	0.000101598	1.2963e-05	2.37508e-05	0.00183094	2.24397e-06
í	0.0484631	0.539214	0.0299863	0.150046	0.0234147	0.0329054	0.0305492	0.0109999	0.011649	0.00204153	0.120731
d	0.00653387	0.0187723	0.878949	0.0676188	0.0147301	0.00318568	0.00260328	0.00247494	0.000460432	0.000337848	0.00433393
z	0.00746008	0.0484701	0.927964	0.00877295	0.00150384	0.000423712	0.000781538	0.000467687	0.000147461	6.61836e-05	0.00394244
é	0.0702758	0.149139	0.763735	0.00646201	0.0074554	0.000808693	0.000404952	4.1576e-05	0.000148934	0.000938698	0.000589797
e	0.130411	0.16281	0.19527	0.269154	0.0442014	0.0345088	0.0270286	0.0204415	0.0296324	0.00351524	0.0830272
k	0.00654189	0.0507827	0.016287	0.250332	0.400493	0.103905	0.0703201	0.038023	0.0152557	0.0112256	0.0368345
u	0.000216307	0.00293059	0.00321298	0.181283	0.61599	0.037753	0.0249805	0.1254	0.00125497	0.000419833	0.00655841
u	0.000301008	0.000665293	0.000982584	0.0719135	0.819485	0.0529294	0.0243563	0.0191298	0.00121206	0.00037055	0.00865466
m	0.000161798	0.00396337	0.000197415	0.140256	0.16703	0.369171	0.151248	0.0779547	0.0574322	0.00161215	0.0309741
ú	0.00474979	0.00978673	0.000105283	0.0300642	0.276359	0.227941	0.155976	0.127198	0.0897483	0.00368105	0.0743901
s	5.60304e-05	0.00171664	0.000256487	0.0213833	0.0401465	0.286373	0.324956	0.239569	0.0295007	0.00553205	0.0505107
á	0.000913665	0.00220834	0.00345828	0.0306628	0.168264	0.232652	0.23323	0.0914796	0.0858629	0.0725941	0.0786733
n	0.00648976	0.0124981	0.000900996	0.00789859	0.0316993	0.0953996	0.202168	0.10143	0.220797	0.271727	0.0489919
d	0.0111092	0.00876523	0.000507516	0.00411916	0.0014265	0.0422854	0.14214	0.0339875	0.153621	0.542713	0.0593253
z	0.00136625	0.000496092	8.97731e-05	0.000315265	0.000545543	0.00722993	0.020657	0.00524975	0.0151073	0.943504	0.00543951
ó	3.81082e-05	0.000147373	6.67236e-05	0.00112564	0.0115184	0.0269195	0.0833608	0.0503243	0.0525464	0.704313	0.06964
o	0.000221625	0.00154444	0.000716264	0.0100509	0.00995023	0.0442684	0.0788585	0.13206	0.116087	0.0847961	0.521447
</S>	2.52193e-05	0.000609187	3.70115e-05	0.00347737	0.00177674	0.0389769	0.0761744	0.0812642	0.150149	0.0273813	0.620128
