 	il	est	mort	il	y	a	un	an	</S>
e	0.622828	0.154076	0.0730353	0.0515581	0.0610871	0.0195752	0.0127047	0.00344459	0.00169078
w	0.0851835	0.3161	0.0670105	0.0343659	0.101715	0.190591	0.104328	0.0670643	0.0336405
é	0.0271265	0.306502	0.139377	0.0627891	0.217912	0.114878	0.0404916	0.0606376	0.0302873
w	0.0540419	0.257216	0.168536	0.0384639	0.052235	0.0393653	0.0505343	0.0199958	0.319611
a	0.49189	0.0897649	0.0820844	0.0920927	0.0390104	0.0241092	0.0077548	0.024085	0.149209
é	0.192702	0.204733	0.251086	0.112164	0.131462	0.0373269	0.0253003	0.00341378	0.0418126
b	0.0150467	0.0438848	0.124531	0.147401	0.309792	0.126687	0.093063	0.00604186	0.133553
h	0.00724112	0.0849405	0.146737	0.140867	0.203687	0.186724	0.128095	0.0154075	0.0863008
i	0.010253	0.0835671	0.196906	0.101068	0.126208	0.160263	0.162674	0.0257688	0.133292
l	0.0120056	0.0638802	0.107701	0.0885794	0.111818	0.158153	0.166075	0.0571295	0.234658
a	0.0106618	0.0144615	0.0891691	0.18365	0.199957	0.137218	0.0897538	0.00565543	0.269474
m	0.0263469	0.0135475	0.0850627	0.201045	0.18277	0.138021	0.165997	0.05319	0.134019
b	0.0184571	0.0728736	0.0736823	0.101976	0.0213826	0.128946	0.0811638	0.31622	0.185299
v	0.00068291	0.00631533	0.0242192	0.0566247	0.0186949	0.0592622	0.0655404	0.599552	0.169109
ú	0.0015529	0.006023	0.0171583	0.0538759	0.0139893	0.0682096	0.0459007	0.573362	0.219928
l	0.00219029	0.0218078	0.060876	0.0592937	0.0686752	0.132002	0.192772	0.206182	0.2562
á	0.00344197	0.0103654	0.0643701	0.121101	0.128831	0.185975	0.185369	0.190789	0.109757
o	0.00901422	0.0107165	0.0403644	0.0835587	0.106539	0.182024	0.298341	0.0411755	0.228267
p	0.000812937	0.0111896	0.00505794	0.00206984	0.012128	0.0774846	0.394074	0.387874	0.109309
ω	0.000179868	0.00375656	0.00390037	0.00215995	0.0221933	0.0748453	0.252404	0.377906	0.262654
ώ	0.000124436	0.00137879	0.00326843	0.00655913	0.0459141	0.0716139	0.168243	0.515141	0.187757
</S>	0.00348171	0.00725868	0.0243556	0.0402546	0.0431738	0.116753	0.335559	0.159343	0.269821
