 	il	a	appris	la	nouvelle	hier	</S>
w	0.885038	0.102504	0.00641426	0.00231604	0.00314044	0.000443373	0.00014442
a	0.820831	0.155002	0.00317251	0.00849179	0.0117534	0.000661127	8.75024e-05
á	0.135772	0.659599	0.175424	0.022212	0.00393358	0.000476633	0.00258208
y	0.0082882	0.137317	0.798523	0.0357919	0.00651992	0.00222366	0.0113362
é	0.00766357	0.0581857	0.646077	0.179802	0.0314015	0.00815178	0.0687186
b	0.0103941	0.0347095	0.533222	0.359577	0.0341367	0.00324977	0.0247114
h	0.00673828	0.0418445	0.544711	0.30554	0.0943899	0.00307948	0.00369754
i	0.0300628	0.0454138	0.332314	0.349024	0.179765	0.00917631	0.0542436
l	0.0452468	0.0285776	0.0391659	0.212024	0.603472	0.0471965	0.0243178
a	0.00253233	0.00204251	0.00423037	0.261035	0.62826	0.0310681	0.0708313
a	0.00551405	0.00942736	0.00733539	0.231758	0.550951	0.123529	0.0714843
p	0.000202153	0.0022506	0.00542232	0.0645166	0.264478	0.640224	0.0229064
ó	4.44284e-05	0.000404386	0.00252276	0.0262042	0.172129	0.776273	0.0224226
a	0.000140384	0.00122867	0.00473664	0.0487812	0.251836	0.627593	0.0656842
</S>	0.00675649	0.0146784	0.0282078	0.0851347	0.0690872	0.1798	0.616336
