 	nous	irons	à	la	pêche	demain	</S>
b	0.958243	0.023835	0.01136	0.00629888	0.000145001	7.02765e-05	4.74987e-05
í	0.973728	0.0138752	0.00763497	0.0039117	0.000721208	3.37833e-05	9.47173e-05
s	0.959402	0.0240424	0.0102283	0.00384209	0.0011377	0.000258174	0.00108932
í	0.945571	0.0179683	0.0278532	0.0067246	0.000174022	0.000224526	0.00148478
l	0.271839	0.300744	0.107808	0.0790364	0.0579954	0.0120182	0.170559
é	0.0258902	0.395696	0.110064	0.207034	0.0397487	0.0370898	0.184477
e	0.00903906	0.797512	0.116588	0.0385306	0.0155394	0.0153292	0.00746148
d	0.000701212	0.815997	0.137832	0.0252748	0.0132489	0.00339317	0.00355354
z	0.00369032	0.650574	0.255745	0.0577033	0.0152575	0.00996831	0.00706166
w	0.00872952	0.683888	0.269212	0.031236	0.00315473	0.00190084	0.00187931
á	0.0041441	0.119662	0.402986	0.251352	0.0266583	0.0115864	0.183612
i	0.0121847	0.024017	0.198965	0.481187	0.2235	0.0391064	0.0210393
l	0.00509889	0.0110608	0.065412	0.179951	0.536196	0.163593	0.0386889
ώ	0.00277332	0.00774258	0.02092	0.0907551	0.588698	0.217076	0.0720353
b	0.000629208	0.00543748	0.0215622	0.0678379	0.442075	0.323785	0.138674
h	0.0695708	0.00329587	0.0602127	0.140835	0.399958	0.179684	0.146443
ω	0.00966204	0.0109793	0.11142	0.188012	0.396962	0.0765698	0.206395
i	0.000983796	0.00191988	0.0201105	0.19272	0.273165	0.0778267	0.433274
m	0.00489412	0.00363555	0.0129646	0.0156499	0.0424834	0.504459	0.415913
b	0.00448103	0.0199698	0.0417807	0.0395813	0.0959434	0.440952	0.357292
y	0.00175509	0.00194368	0.0134345	0.0123419	0.0359428	0.741016	0.193566
é	1.46445e-05	0.000257761	0.00203277	0.00227021	0.00329239	0.671659	0.320473
n	2.03013e-06	0.000822289	0.00353289	0.00591964	0.0170928	0.51349	0.45914
g	7.76087e-05	0.00145207	0.00813501	0.00837072	0.00203427	0.416476	0.563454
í	4.04836e-05	0.00129302	0.00676989	0.00940913	0.00131287	0.225115	0.75606
</S>	9.55e-05	0.00119402	0.00514387	0.0085313	0.00496045	0.0278211	0.952254
