 	qui	est	ce	qui	a	arraché	le	safoutier	qui	était	là	</S>
o	0.281431	0.215974	0.0862824	0.117672	0.0762486	0.0671582	0.0688069	0.0211619	0.0442021	0.00146166	0.00274968	0.0168513
s	0.00656554	0.019724	0.0116971	0.0120547	0.0305263	0.0287292	0.0245376	0.803323	0.0170005	0.0169707	0.0188947	0.00997634
á	0.00117774	0.0072368	0.0138215	0.0204774	0.00764584	0.0122395	0.0369627	0.876408	0.0050332	0.0136375	0.00324718	0.00211221
á	0.000301323	0.00616364	0.00981102	0.010651	0.00445276	0.0126955	0.0314829	0.78676	0.00560806	0.0633462	0.0143625	0.0543655
m	0.0896383	0.0197779	0.0832656	0.120643	0.177653	0.0920713	0.122064	0.198908	0.063067	0.022759	0.00286228	0.00729088
ó	0.0209831	0.0139588	0.0308905	0.015379	0.212302	0.436187	0.210337	0.011354	0.032169	0.0011451	0.00765924	0.00763455
ó	0.028397	0.0142957	0.045056	0.059024	0.139176	0.136004	0.315969	0.124605	0.0834535	0.0123194	0.0332978	0.00840174
d	0.00113447	0.0041184	0.00678149	0.00740033	0.0331292	0.137228	0.108311	0.31997	0.104096	0.240494	0.0298946	0.00744339
z	0.000467449	0.00200921	0.0108175	0.00592938	0.0173833	0.19732	0.0887276	0.310187	0.0286603	0.22525	0.0123155	0.100932
e	0.0262682	0.00169964	0.0197379	0.0359768	0.0321379	0.0953677	0.0867038	0.510395	0.0553227	0.123297	0.00270896	0.0103849
b	0.00554421	0.00937284	0.102527	0.0551681	0.0322764	0.11137	0.184914	0.162648	0.114749	0.130274	0.0163699	0.0747874
h	0.00166223	0.00904321	0.0397457	0.0138373	0.0104457	0.124737	0.115834	0.0349606	0.0144708	0.0523096	0.163545	0.419409
á	0.00208891	0.0045485	0.0371548	0.0279323	0.0165168	0.225543	0.283342	0.0256691	0.0200137	0.0303486	0.0758582	0.250984
n	0.00216902	0.00383462	0.0184283	0.0145262	0.036865	0.213589	0.285126	0.0274263	0.116989	0.0720746	0.114076	0.0948957
d	0.0111083	0.00495132	0.0364539	0.0424434	0.0199479	0.126365	0.266574	0.0282341	0.164516	0.0138717	0.067355	0.218179
a	0.00603445	0.00214319	0.0214817	0.0356726	0.0155491	0.0344879	0.0747627	0.0352659	0.171527	0.0455679	0.0634973	0.49401
á	0.00183075	0.00227569	0.0275828	0.0371154	0.0270054	0.0583798	0.164956	0.0374694	0.172006	0.0223857	0.0659227	0.38307
y	0.00107404	0.00649062	0.00742875	0.0032493	0.00606824	0.01346	0.0144479	0.0109081	0.0338439	0.316077	0.362617	0.224336
u	0.00351763	0.00610396	0.026147	0.0115455	0.00382813	0.0284157	0.0638201	0.0496462	0.0444067	0.348657	0.0651631	0.348749
b	0.00638231	0.00252111	0.0305582	0.0163841	0.0160091	0.0848414	0.176248	0.0227514	0.0318752	0.0777638	0.0969649	0.437701
h	0.00360857	0.00504999	0.0118833	0.00829837	0.00759753	0.0295734	0.108018	0.016238	0.0205503	0.00852481	0.598762	0.181895
u	0.000892157	0.00111095	0.00970178	0.00419765	0.00165844	0.0201385	0.0689465	0.00678882	0.00550442	0.0138014	0.39549	0.471769
</S>	0.000337579	0.00101017	0.00618371	0.00316597	0.00294305	0.00847046	0.0293061	0.00424921	0.033248	0.0296827	0.201321	0.680082
