 	les	jeunes	gens	assassinent	les	vieillards	sous	prétexte	que	ceux-ci	sont	des	sorciers	</S>
a	0.370392	0.467944	0.140958	0.00127589	0.00792886	0.000695972	0.00790534	0.000556955	0.000646504	0.000840578	0.00037763	0.000442161	1.65432e-05	1.97302e-05
p	0.136981	0.82911	0.0202582	0.00591633	0.0033797	0.00051179	0.000533454	0.000135479	0.000282843	0.000136229	0.000122925	0.000382352	0.0019919	0.000258534
f	0.203823	0.738346	0.00606665	0.0195259	0.00796408	0.010802	0.00253181	0.000231836	0.00214927	0.00156559	0.000567615	0.000488138	0.00319435	0.00274369
é	0.365412	0.551311	0.00647657	0.0400226	0.00524547	0.00719345	0.00342548	0.0010022	0.00205083	0.0027159	0.00125772	0.000916277	0.00623613	0.0067344
é	0.339709	0.460823	0.130787	0.0122423	0.0113042	0.00129722	0.00510456	0.00191989	0.00345878	0.00271566	0.00305285	0.00210302	0.00103061	0.024452
b	0.332718	0.200884	0.35783	0.0298347	0.0119812	0.00101489	0.00412311	0.00286962	0.00556121	0.00263933	0.00704472	0.00793794	0.000386877	0.0351739
á	0.10033	0.0936729	0.283366	0.0837136	0.195595	0.00651853	0.0245163	0.0471539	0.0176893	0.0194927	0.0368368	0.0557618	0.000766534	0.0345866
a	0.319526	0.0677519	0.481394	0.0536698	0.0324599	0.00611808	0.00556771	0.00776793	0.00376817	0.00472569	0.004676	0.00479242	0.00107907	0.00670258
d	0.00786957	0.00956537	0.00461994	0.944562	0.0113388	0.00640939	0.00093164	0.00104702	0.00173502	0.00135708	0.00106629	0.00124906	0.00278666	0.00546228
ú	0.00126554	0.000682839	0.000300937	0.957829	0.00542974	0.0133582	0.000853397	0.000262671	0.00121395	0.00117225	0.000487856	0.000266053	0.00599666	0.0108808
u	0.288997	0.0381699	0.0341009	0.426032	0.0884395	0.0920874	0.0112129	0.00325431	0.00567539	0.00222055	0.00175274	0.00197985	0.00154363	0.00453329
s	0.0180738	0.00690965	0.0168131	0.430824	0.275963	0.085599	0.0898258	0.0146678	0.0279982	0.00708045	0.00496063	0.00686861	0.000567692	0.0138479
á	0.00734184	0.00306723	0.00610662	0.0796379	0.272937	0.0814244	0.340295	0.0441003	0.0966185	0.0262216	0.014841	0.00962034	0.00045006	0.0173383
i	0.0119951	0.00327703	0.00357473	0.0401482	0.25665	0.455351	0.119984	0.0386097	0.0371846	0.0208969	0.00419212	0.00459536	0.00224281	0.00129862
d	0.0071606	0.00977895	0.00189004	0.0967317	0.150324	0.318324	0.0952635	0.0570234	0.131125	0.0726487	0.009926	0.00460308	0.037929	0.00727268
u	0.00106111	0.000171144	1.80961e-05	0.0231271	0.0442379	0.746335	0.0458314	0.00803867	0.0460457	0.0368427	0.00335163	0.00150945	0.0284879	0.0149422
n	0.000766861	0.000267901	2.80168e-05	0.0366936	0.0633305	0.818259	0.028548	0.0049358	0.0240168	0.0126989	0.00146233	0.00121689	0.00466404	0.00311148
