 	l'	éléphant	est	blessé	</S>
n	0.652758	0.311429	0.0351808	0.000327299	0.000304651
ω	0.509324	0.488246	0.00217665	8.13283e-06	0.00024549
i	0.108745	0.886748	0.00294673	0.000431506	0.00112838
á	0.06295	0.115149	0.518967	0.116782	0.186153
k	0.0617182	0.0452526	0.321289	0.499449	0.0722912
i	0.00883426	0.023202	0.0559075	0.85199	0.0600665
k	0.0102485	0.0454323	0.0515857	0.863431	0.029302
ώ	0.0268069	0.0308391	0.0927743	0.516399	0.33318
s	0.107094	0.0471428	0.245078	0.30953	0.291155
ω	0.0173765	0.0175958	0.0740007	0.595584	0.295443
</S>	0.0846497	0.0259532	0.230676	0.0868028	0.571919
