 	avec	cette	manière	de	pêcher	au	harpon	on	aura	beaucoup	de	protoptère	s	</S>
e	0.370493	0.221233	0.145918	0.0511441	0.0376819	0.0611934	0.0156829	0.00752792	0.00589988	0.0304034	0.0094576	0.0300134	0.00947065	0.00388079
k	0.00213352	0.00889526	0.00230194	0.00606289	0.0278724	0.0994645	0.0121011	0.0192663	0.106846	0.105955	0.531559	0.00536298	0.0676693	0.00451009
i	0.00328784	0.00709252	0.00198753	0.0122161	0.0739527	0.228911	0.0357522	0.0182445	0.559531	0.00785934	0.0147507	0.000294877	0.0340934	0.00202565
n	0.00457535	0.031101	0.0161568	0.0322397	0.113709	0.366751	0.0880507	0.0483071	0.103506	0.0924045	0.0823074	0.00762912	0.00858001	0.00468177
d	0.146657	0.104584	0.00834325	0.0139434	0.054755	0.105978	0.0234816	0.0601863	0.0193059	0.136839	0.170552	0.0072533	0.0445371	0.103584
í	0.0406035	0.13766	0.0284673	0.0217295	0.0308878	0.0358867	0.0402285	0.0378538	0.0156811	0.0458041	0.0974512	0.00582708	0.0292305	0.432689
l	0.0580577	0.0754968	0.0558963	0.201711	0.0528656	0.0548765	0.0198235	0.194788	0.0089195	0.0426711	0.019534	0.0268813	0.00851383	0.179965
í	0.0940868	0.108327	0.0656875	0.0640264	0.0267267	0.0209526	0.0106066	0.0903106	0.0325967	0.0322089	0.0163656	0.0129747	0.00975509	0.415374
y	0.178061	0.190378	0.162037	0.20358	0.0559788	0.0325466	0.0216516	0.0628941	0.006632	0.0168015	0.0074913	0.0208865	0.00115807	0.0399033
é	0.0427617	0.126059	0.232247	0.183595	0.0701394	0.0306874	0.00363706	0.0408041	0.0102876	0.00890542	0.0218924	0.0355555	0.00711696	0.186311
l	0.0397056	0.0847048	0.204355	0.204334	0.109601	0.0508443	0.0154574	0.0603814	0.0106048	0.00903814	0.0229536	0.0406267	0.00483193	0.142561
é	0.00487924	0.0140121	0.0476331	0.0744448	0.069591	0.0734483	0.0516298	0.0942783	0.0120159	0.0111902	0.0513158	0.0793949	0.0105773	0.405589
e	0.0022975	0.00909671	0.033914	0.129462	0.0821403	0.154811	0.116437	0.199641	0.0114787	0.0150399	0.0605671	0.0601192	0.0118966	0.113099
p	0.000688561	0.00114787	0.00161373	0.012023	0.0110736	0.0491367	0.10042	0.14892	0.534183	0.0497298	0.0336735	0.00671816	0.0159009	0.0347713
i	0.000322541	0.00076582	0.000910618	0.00378697	0.0148298	0.051229	0.0462415	0.0510529	0.730619	0.0248274	0.0319745	0.00132766	0.0256984	0.0164137
á	0.000312596	0.00135444	0.00346643	0.0186801	0.0428155	0.0917089	0.0971518	0.157776	0.380225	0.0820459	0.0680975	0.0120456	0.0153832	0.0289368
a	0.0018174	0.00200648	0.00504163	0.0313828	0.0312704	0.0227375	0.0471962	0.373455	0.0848428	0.239501	0.0807718	0.0590871	0.00401621	0.0168739
n	0.000919955	0.00287114	0.00401782	0.0156815	0.00996504	0.0262534	0.0674916	0.123888	0.124711	0.231853	0.180847	0.0537236	0.0788342	0.0789427
y	0.0032015	0.014215	0.0334163	0.0217788	0.0118915	0.0157315	0.0407294	0.0387245	0.00399906	0.0399138	0.177008	0.507235	0.0290597	0.0630963
ω	0.000322146	0.00221809	0.0111274	0.00737757	0.00901735	0.0158902	0.0325271	0.0273134	0.00147111	0.0372917	0.271654	0.542364	0.0240172	0.0174086
m	3.91167e-05	0.000526563	0.00237575	0.00728698	0.00318813	0.0215233	0.0650835	0.0165368	0.00176646	0.0183877	0.0993544	0.702029	0.0352193	0.0266824
b	0.0124444	0.0129729	0.00386022	0.0287209	0.0305583	0.0405188	0.00497098	0.0574973	0.0198508	0.0554355	0.19791	0.0854907	0.254674	0.195096
ώ	0.00314526	0.0136828	0.00742638	0.0158346	0.0304381	0.0107118	0.00394716	0.00425154	0.000349776	0.0111914	0.10357	0.0422903	0.639506	0.113654
a	0.00189044	0.00169794	0.00368913	0.0296896	0.0139221	0.022786	0.0181336	0.118418	0.00854489	0.255043	0.119299	0.278699	0.0634136	0.0647742
y	0.00366198	0.0106809	0.0106805	0.035047	0.0143469	0.0391664	0.0326979	0.10649	0.0289163	0.275564	0.114748	0.0575971	0.139602	0.130802
í	0.00290993	0.0259597	0.0322091	0.0278663	0.0147737	0.0162073	0.00523215	0.0502701	0.00887957	0.166874	0.124846	0.154932	0.0277529	0.341287
í	0.00419533	0.0149057	0.040182	0.0562469	0.0173173	0.00796087	0.006383	0.0232773	0.00118057	0.0933709	0.0886469	0.149299	0.0646723	0.432362
</S>	0.00171041	0.00353288	0.00502274	0.0183102	0.0072654	0.00978807	0.0105109	0.0316041	0.00593878	0.140605	0.0583184	0.087715	0.0367944	0.582883
