 	le	forgeron	est	en	train	de	fabriquer	une	houe	</S>
o	0.914909	0.0667226	0.0115633	0.00430806	0.000408029	0.00125444	0.000322755	0.000391455	8.58776e-05	3.4423e-05
k	0.0147169	0.97953	0.00363452	0.00024865	0.000718995	8.3331e-05	0.000349961	0.000238634	0.000270863	0.000208579
u	0.00151525	0.996128	0.000940578	5.26497e-05	3.22938e-05	4.32667e-05	0.000246758	0.000146708	0.000413594	0.000480745
b	0.000570744	0.996734	0.00119257	0.00030809	5.68955e-05	2.62624e-05	0.000325229	0.0001481	0.000292227	0.000346099
h	0.309284	0.50578	0.074349	0.035742	0.00055349	0.0138251	0.00771667	0.00999412	0.0114405	0.0313148
a	0.761293	0.112619	0.0342025	0.0417018	0.00151543	0.0129541	0.00954688	0.00195884	0.000930355	0.0232783
b	0.0647961	0.00994691	0.459073	0.295025	0.0381868	0.0879934	0.0179147	0.0139252	0.00191423	0.0112254
ó	0.329923	0.000845548	0.0767556	0.198576	0.136891	0.163025	0.0274811	0.0250108	0.00969947	0.0317922
l	0.0786155	0.000493792	0.20064	0.287752	0.136739	0.217225	0.0425325	0.0296805	0.00254962	0.00377241
á	0.0549581	0.00103882	0.0856778	0.0475917	0.0245801	0.245469	0.120573	0.0698686	0.0323681	0.317875
a	0.150128	0.00110256	0.180092	0.128164	0.0371205	0.303028	0.122411	0.0494082	0.00945095	0.0190943
b	0.0124765	0.0712129	0.00697926	0.00602344	0.00448481	0.17184	0.615252	0.0778922	0.0113605	0.0224778
ω	0.0011146	0.0354733	0.00225116	0.0048424	0.00689927	0.0389891	0.810959	0.0790375	0.00471889	0.0157152
n	0.000229249	0.000882886	0.00261232	0.00350499	0.000980153	0.0249473	0.904911	0.0442446	0.00311935	0.014568
g	0.0193906	0.00378121	0.00921034	0.0115988	0.000353794	0.198482	0.527712	0.135313	0.0167237	0.0774349
ώ	0.0651462	0.000273185	0.018153	0.0806542	0.00321968	0.269124	0.328761	0.0620517	0.0378569	0.13476
e	0.0145056	0.000521021	0.00521931	0.0127435	0.000258295	0.114201	0.0932715	0.506182	0.213224	0.0398735
s	0.00978606	0.00527126	0.00429004	0.00167533	0.00021528	0.007476	0.079222	0.168356	0.664323	0.0593849
έ	0.000779256	0.000241228	5.55464e-05	2.80798e-05	3.68893e-05	0.000382441	0.00528781	0.0234038	0.936754	0.0330309
έ	0.000179792	2.03298e-05	4.10456e-05	2.17701e-05	9.73212e-06	0.000442981	0.00379413	0.0239005	0.915378	0.056212
</S>	0.00371544	0.000340589	0.00205751	0.000704306	6.45541e-06	0.00578798	0.0153229	0.135605	0.582687	0.253773
