 	il	s'	est	blessé	à	l'	arcade	</S>
w	0.910245	0.0540162	0.0109495	0.00334409	0.00726387	0.0113622	0.00234577	0.000473017
a	0.884749	0.0573065	0.00646595	0.000317937	0.00905749	0.0385842	0.00343866	8.01058e-05
á	0.0678913	0.612317	0.305754	0.00441841	0.00501663	0.00305413	0.00052306	0.00102491
m	0.0179952	0.449877	0.427073	0.0598206	0.0226341	0.0101998	0.00319243	0.00920779
i	0.0530028	0.309496	0.380692	0.057725	0.0602388	0.071365	0.00422471	0.063255
k	0.00310686	0.0471846	0.226827	0.643555	0.0417312	0.0120144	0.00212738	0.0234532
ώ	0.000674891	0.0149175	0.0893948	0.84015	0.0298678	0.00341161	0.00216945	0.0194138
s	0.00241011	0.0109682	0.0412151	0.90172	0.0342422	0.00459867	0.000949072	0.00389666
ώ	0.0428648	0.0513284	0.0828995	0.411407	0.250266	0.0842172	0.00941795	0.0675986
m	0.00350343	0.0300549	0.0601996	0.219675	0.360265	0.25633	0.0554364	0.0145352
é	0.00667722	0.00256158	0.00358171	0.00554228	0.0644764	0.549494	0.058014	0.309652
k	0.0110474	0.00526788	0.00495488	0.00498531	0.0242425	0.315762	0.559025	0.0747152
í	6.04968e-05	0.000133694	0.000208782	0.00544625	0.00703044	0.0167491	0.937657	0.0327139
i	7.15887e-05	0.000347634	0.000542093	0.0244593	0.0139656	0.0158808	0.80512	0.139613
</S>	0.000698785	0.00321158	0.0129709	0.0159017	0.0478917	0.0976838	0.385749	0.435893
