 	la	graisse	de	cabri	qu'	elle	a	préparée	s'	est	coagulée	</S>
a	0.49856	0.34318	0.075238	0.0148456	0.0413023	0.0147265	0.00754624	0.000410277	0.00198868	0.000546139	0.00156227	9.42848e-05
w	0.146657	0.598452	0.037881	0.0938605	0.00490024	0.00440643	0.00312692	0.00338772	0.00227637	0.0027139	0.0966589	0.00567871
ú	0.101805	0.591095	0.109288	0.0660255	0.0316263	0.0497242	0.0159227	0.0110845	0.0107962	0.00206874	0.00206259	0.00850105
r	0.174444	0.670834	0.0718838	0.0259579	0.01057	0.00722664	0.00694065	0.00577975	0.00569026	0.00659358	0.00686947	0.00720997
a	0.370354	0.277513	0.250809	0.0300848	0.032821	0.0107077	0.00415835	0.00240311	0.00244773	0.00153183	0.00119097	0.0159786
m	0.185109	0.0935169	0.56413	0.0174542	0.0364611	0.0118555	0.0282844	0.00720956	0.0150338	0.00608798	0.00206539	0.0327922
á	0.153057	0.0773064	0.311973	0.0724806	0.167917	0.0676576	0.118678	0.005853	0.0152448	0.00461588	4.62203e-05	0.00517016
m	0.285314	0.0654609	0.30008	0.0685881	0.0714508	0.0576089	0.034306	0.0742328	0.0164485	0.00742699	0.00244764	0.0166349
b	0.0109224	0.0192225	0.0508822	0.75644	0.0321891	0.026503	0.0341417	0.0668241	0.00128384	0.00092927	5.72476e-06	0.000656207
ó	0.0042045	0.0123284	0.012692	0.909985	0.0156232	0.0143561	0.00689688	0.0189084	0.00239162	0.000443303	4.33209e-05	0.00212723
s	0.0395681	0.0130818	0.0131929	0.896364	0.0152008	0.00729571	0.0037854	0.00765008	0.00115516	0.000430854	0.000203639	0.0020716
i	0.101051	0.146207	0.13037	0.377646	0.102037	0.0570999	0.0370909	0.0317019	0.00560238	0.000855712	0.000879816	0.00945788
m	0.0326831	0.02758	0.146658	0.0248774	0.283881	0.122171	0.231676	0.0689149	0.0483367	0.00860696	0.000359189	0.00425451
á	0.0711503	0.0259778	0.296079	0.0603702	0.133044	0.149029	0.165661	0.068576	0.0215591	0.00446925	1.1399e-05	0.00407203
á	0.0125326	0.00834621	0.0981443	0.00879637	0.15092	0.280868	0.268859	0.101263	0.0356298	0.0124534	0.00139042	0.0207975
l	0.00436142	0.00229803	0.0110784	0.00343933	0.0227563	0.0589063	0.166975	0.388739	0.180244	0.107327	0.0212324	0.0326425
á	0.00459574	0.00305534	0.0132262	0.00484075	0.027547	0.059524	0.0870032	0.4336	0.129184	0.0667727	0.00980614	0.160844
m	0.002316	0.00106375	0.0186248	0.0014768	0.043876	0.167596	0.0925364	0.245946	0.164505	0.0810817	0.0391287	0.141848
b	0.00684408	0.00224744	0.0285712	0.00856687	0.115984	0.249326	0.120417	0.235003	0.147428	0.0489161	0.00155942	0.0351355
í	0.0095898	0.00745078	0.0472888	0.00753743	0.0939429	0.247869	0.10212	0.104762	0.231383	0.034554	0.00136959	0.112131
w	0.00214503	0.00119314	0.0200517	0.000936696	0.112647	0.186042	0.113282	0.0357405	0.394309	0.0631038	0.00661276	0.0639361
a	0.00216069	0.00238665	0.0533118	0.00271674	0.0863438	0.209455	0.223534	0.0383291	0.203926	0.0763617	0.0099901	0.0914842
á	0.00108948	0.000280873	0.0093473	0.000299996	0.0454949	0.0910137	0.105536	0.0563205	0.423008	0.0980759	0.022347	0.147187
m	0.00241644	0.00145362	0.00540795	0.00246692	0.00268573	0.00547232	0.0142035	0.0316386	0.173776	0.563101	0.131974	0.0654031
i	0.00160359	0.00135477	0.00500356	0.00251956	0.00409784	0.00763193	0.0204511	0.0525526	0.143139	0.55611	0.02704	0.178496
s	0.000817629	0.000436304	0.000822542	0.00143382	0.000317726	0.000404574	0.00194358	0.0189728	0.0854132	0.504376	0.279708	0.105353
á	0.0001879	0.0018472	0.00165195	0.00717004	0.000717149	0.000803655	0.00429298	0.048385	0.0754709	0.366844	0.315553	0.177077
á	0.000607008	0.000120237	0.00385407	0.000249106	0.00326233	0.0039623	0.00587497	0.00509728	0.0425807	0.181736	0.2274	0.525256
o	0.000954927	0.00081279	0.00426337	0.00107087	0.0136659	0.0115626	0.0115082	0.00301601	0.0810938	0.19681	0.438572	0.236669
k	0.000276246	0.000583794	0.000713129	0.000878484	0.000310576	0.000155834	0.000400672	0.00113018	0.00493346	0.0419049	0.878321	0.0703915
ó	1.93451e-05	4.26466e-05	3.49173e-05	9.21087e-05	2.79794e-05	2.59881e-05	5.736e-05	8.40839e-05	0.000804397	0.0041876	0.972004	0.0226194
r	6.91168e-05	6.98399e-05	8.14092e-05	0.000105817	9.93749e-05	0.000153896	0.000217356	0.000189551	0.00935539	0.0316541	0.813847	0.144157
i	0.00113745	0.00193461	0.000925093	0.000508251	0.00190052	0.00217972	0.00160314	0.00191242	0.0254739	0.0501552	0.468329	0.443941
r	0.00154712	0.00345749	0.00408169	0.000402607	0.00526421	0.00574067	0.00330533	0.000690669	0.0388173	0.0215735	0.27623	0.63889
a	0.00674183	0.00658462	0.0099816	0.00265462	0.0153945	0.0139718	0.00476153	0.00531436	0.0229559	0.0141584	0.410296	0.487184
</S>	0.00248031	0.00150487	0.00593339	0.000406569	0.0116585	0.00773618	0.00414173	0.00225477	0.0320319	0.0227885	0.0665088	0.842554
