 	c'	est	ainsi	que	la	maladie	t'	a	laissé	</S>
i	0.248449	0.113686	0.104495	0.184842	0.129129	0.16546	0.0336559	0.0115055	0.000478149	0.0083004
k	0.0690002	0.479972	0.169582	0.0525015	0.0768915	0.0744893	0.0106838	0.0243867	0.0283313	0.0141617
ω	0.00976653	0.0679332	0.126985	0.0611541	0.181118	0.412559	0.0616495	0.0265431	0.00960506	0.0426872
n	0.00774224	0.0733104	0.157336	0.0529524	0.0945585	0.451302	0.0937444	0.0157887	0.00540515	0.0478605
í	0.272759	0.21235	0.0831166	0.0478952	0.0747998	0.167452	0.0643989	0.0120778	0.00570247	0.0594493
í	0.218836	0.112352	0.100894	0.167158	0.18111	0.0528678	0.0635533	0.0801088	0.0060975	0.017023
m	0.0375345	0.0115857	0.0538449	0.188419	0.177799	0.0394953	0.0726741	0.190844	0.141631	0.0861741
i	0.0149896	0.0158848	0.0632891	0.0831802	0.0707237	0.0172208	0.0661241	0.241921	0.150975	0.275692
s	0.00351186	0.00934356	0.0665253	0.0572402	0.0664586	0.0642573	0.0647304	0.148811	0.285486	0.233636
á	0.000292948	0.000730406	0.00369195	0.00648244	0.015294	0.0145429	0.0363783	0.0477013	0.641491	0.233395
á	0.000978242	0.000703728	0.00669922	0.0520989	0.193157	0.117813	0.125493	0.100961	0.0994601	0.302637
o	0.00552849	0.00193499	0.00662093	0.0790588	0.130715	0.11275	0.213145	0.282663	0.143842	0.0237425
y	0.00181403	0.00344446	0.00559917	0.00509071	0.0120887	0.015448	0.0231911	0.0796272	0.759271	0.0944251
í	0.00559125	0.00477908	0.00522974	0.0257529	0.0653294	0.0223632	0.0433878	0.0757711	0.63595	0.115845
á	0.00123214	0.000658219	0.00417528	0.0280124	0.0470328	0.0149716	0.0224884	0.0611823	0.357322	0.462924
n	0.00293084	0.00186348	0.00516826	0.0368123	0.0364958	0.0225354	0.111477	0.270081	0.273449	0.239187
ω	0.00086168	0.000329716	0.000422145	0.00910355	0.0271838	0.0322764	0.40452	0.064586	0.257775	0.202942
b	0.000280248	0.000630381	0.00109758	0.00861409	0.0147728	0.0248219	0.152913	0.125354	0.0992061	0.57231
ó	0.0112987	0.0122218	0.0076775	0.0226101	0.078673	0.201635	0.226934	0.292808	0.0623504	0.0837917
</S>	0.00045546	0.000507386	0.0017549	0.00552167	0.0189101	0.0812012	0.153027	0.160621	0.0740057	0.503996
