 	nous	sommes	sur	le	point	de	partir	</S>
b	0.384985	0.245298	0.0772114	0.253722	0.0115523	0.0252284	0.00016254	0.00183952
í	0.9446	0.00681921	0.0190605	0.0264441	0.00227144	0.00056928	4.50821e-05	0.00019053
s	0.922067	0.0410358	0.0209598	0.0111579	0.00320202	0.000280842	0.000450289	0.00084625
í	0.553502	0.0599421	0.150802	0.151964	0.0242101	0.00823391	0.0117278	0.0396173
l	0.102778	0.189446	0.181024	0.0818059	0.0778082	0.0158142	0.0192207	0.332102
e	0.0209523	0.109033	0.129395	0.0598504	0.0288807	0.0739199	0.0207324	0.557237
b	0.00438881	0.286517	0.528895	0.0760457	0.0297539	0.0207016	0.0133586	0.0403391
h	0.00840444	0.389501	0.32994	0.0923712	0.108393	0.0521608	0.0018837	0.0173454
i	0.0111364	0.466722	0.237793	0.120389	0.0760315	0.0349605	0.00163224	0.051335
l	0.0571399	0.0659562	0.0697138	0.129094	0.202923	0.365728	0.0164199	0.0930257
é	0.0142061	0.0264789	0.0632567	0.0576279	0.125256	0.535211	0.0263295	0.151634
e	0.035306	0.0227319	0.0479426	0.0908924	0.0927609	0.393025	0.177499	0.139842
d	0.00273368	0.0243976	0.0229286	0.00768615	0.0297914	0.0779716	0.748584	0.0859065
z	0.000207256	0.0192946	0.0107683	0.000543666	0.000808852	0.0172617	0.908995	0.0421203
w	0.000442915	0.00336275	0.00321449	0.000300095	0.00037059	0.00128488	0.986205	0.00481955
a	0.000330136	0.0084943	0.0219496	0.0177852	0.0183308	0.208517	0.392058	0.332535
</S>	0.000654797	0.000518489	0.00196714	0.000793532	0.000259505	0.066227	0.47923	0.45035
