 	tu	finiras	par	coucher	avec	un	bandit	</S>
n	0.972186	0.0121476	0.00647865	0.00446702	0.00273744	0.00128333	0.000621303	7.8598e-05
ω	0.95252	0.0319899	0.0105076	0.000891696	0.00140343	0.00131532	0.00133207	4.00353e-05
l	0.701034	0.224941	0.0309611	0.0124283	0.0093461	0.00601901	0.0103065	0.00496404
ó	0.0473287	0.142876	0.0318838	0.0227014	0.0541463	0.036256	0.0211916	0.643617
o	0.115012	0.287015	0.232357	0.0480516	0.0820444	0.0512514	0.0293148	0.154954
s	0.000458261	0.955068	0.02531	0.00763344	0.00186291	0.00128733	0.000879184	0.0075011
i	0.00166507	0.993926	0.00240117	0.000836305	0.000119653	0.000130284	2.90768e-05	0.000892404
á	0.0492494	0.842501	0.0815893	0.00859357	0.0036766	0.0018494	0.00080583	0.0117347
o	0.00103397	0.0192904	0.773917	0.0751699	0.0346896	0.0352682	0.0172301	0.0434006
k	5.9767e-05	0.00682879	0.498517	0.439511	0.0338932	0.00534556	0.00410662	0.0117379
w	6.52871e-06	0.00262732	0.152729	0.754878	0.0510147	0.00564954	0.0153054	0.0177891
é	0.00133611	0.0047901	0.184763	0.527539	0.203012	0.0174472	0.0120237	0.0490887
é	0.000767496	0.00126512	0.202959	0.496268	0.174224	0.0307137	0.00845102	0.0853514
m	8.64017e-05	0.0017432	0.148781	0.266803	0.444031	0.0809534	0.0193448	0.0382572
á	0.000191956	0.000134451	0.0134215	0.298438	0.153653	0.150715	0.0106515	0.372795
l	0.000524876	0.000952059	0.0541783	0.179315	0.391537	0.0844007	0.262154	0.0269379
a	0.00265826	0.00457158	0.0290255	0.0576763	0.385884	0.120699	0.166666	0.232819
m	7.84569e-05	0.000200039	0.0216862	0.111382	0.415489	0.135759	0.245596	0.0698088
o	3.95124e-05	0.000148546	0.00325184	0.0577976	0.158717	0.405528	0.0346193	0.339898
r	1.00779e-05	0.000386348	0.012679	0.0777951	0.252489	0.351717	0.185995	0.118929
o	0.000529013	0.00247191	0.0175474	0.060211	0.326824	0.2239	0.198382	0.170135
y	0.000711005	0.000422827	0.00497135	0.00886954	0.107904	0.158467	0.150479	0.568175
o	0.000272314	0.00371102	0.036996	0.0546713	0.0956621	0.258562	0.447301	0.102824
p	8.97412e-05	0.000634549	0.00489779	0.00379375	0.0402747	0.231351	0.314388	0.40457
f	0.000166332	0.000391039	0.00567688	0.0279425	0.0688924	0.1998	0.473418	0.223713
é	2.86975e-05	0.00574715	0.0161879	0.040465	0.0933127	0.225795	0.305329	0.313134
é	1.73292e-06	0.000150549	0.00196516	0.00695668	0.0650686	0.251932	0.315236	0.358689
</S>	4.78827e-05	0.00167139	0.0116274	0.00738778	0.0333841	0.176071	0.104446	0.665364
