 	il	a	arraché	les	souches	</S>
w	0.878455	0.109314	0.00210131	0.00670455	0.00321494	0.000209457
a	0.925067	0.046617	0.00118051	0.0219708	0.00498416	0.000181052
á	0.0742927	0.794884	0.0869206	0.0328462	0.000909809	0.0101463
m	0.0237642	0.559701	0.340408	0.0457818	0.00723724	0.023108
i	0.00618411	0.146677	0.719902	0.0697161	0.00874195	0.0487781
b	0.00331697	0.0299576	0.919014	0.0320871	0.00379526	0.0118295
í	0.00301028	0.0667462	0.756959	0.133556	0.00439043	0.0353373
l	0.000323352	0.0147245	0.965287	0.0125242	0.000232942	0.00690778
á	0.0416511	0.144815	0.301066	0.362382	0.0541103	0.0959757
i	0.0164936	0.041002	0.0821328	0.461185	0.374226	0.0249603
k	0.00831955	0.00186262	0.0116197	0.0428984	0.915032	0.0202673
a	0.00104668	0.00181667	0.0160116	0.0249501	0.898831	0.0573445
n	0.00026062	0.00251782	0.0243995	0.0343016	0.879329	0.0591915
g	0.00549475	0.0316785	0.257936	0.143188	0.323403	0.238299
á	0.230377	0.0617259	0.109445	0.108891	0.290139	0.199422
</S>	0.00946529	0.0260807	0.0352885	0.262832	0.130836	0.535497
