 	fais-	moi	goûter	ce	que	tu	as	préparé	s'	il	te	plait	</S>
m	0.911345	0.0443009	0.0022951	0.00613426	0.0075379	0.00761182	0.00601181	0.00300738	0.0040576	0.00458306	0.00191356	0.00103243	0.00016909
ó	0.097589	0.142279	0.20648	0.0124343	0.0140023	0.0212504	0.0605422	0.0311104	0.0545115	0.0587996	0.148512	0.00424562	0.148243
m	0.821177	0.0210636	0.0308521	0.0112083	0.0170498	0.0137653	0.0131693	0.0374645	0.014923	0.00507591	0.00183568	0.00231214	0.0101034
e	0.0850519	0.0130632	0.875281	0.0144062	0.00361072	0.00090441	0.000454268	0.00284187	0.000947813	0.000404597	0.000224649	0.000859576	0.00194935
e	0.41266	0.066544	0.321364	0.0577644	0.0271388	0.00583344	0.00793111	0.021564	0.0216885	0.0104684	0.0021105	0.00570646	0.0392267
s	0.220441	0.158575	0.169284	0.149172	0.045755	0.00774101	0.0110679	0.0177894	0.0278434	0.0174713	0.00349091	0.00709532	0.164274
á	0.273888	0.15537	0.06617	0.15508	0.0706923	0.0242482	0.0231667	0.0494235	0.0296212	0.0299953	0.00570499	0.00682062	0.10982
n	0.0071126	0.590988	0.0675617	0.0743221	0.0752237	0.0726529	0.0379307	0.0132778	0.0113664	0.0130414	0.0122634	0.0075377	0.0167215
g	0.00147969	0.929039	0.00390303	0.00630031	0.00801726	0.0164375	0.0149125	0.00115599	0.00125917	0.00165528	0.0142372	0.000377095	0.00122586
á	0.000601592	0.910082	0.00750972	0.00568667	0.0119681	0.021096	0.013939	0.00435327	0.00279985	0.00167615	0.0144696	0.000322469	0.00549501
b	0.00768286	0.160403	0.0351967	0.423049	0.194719	0.0545365	0.0270776	0.0261381	0.0199348	0.0209865	0.00627086	0.00824388	0.0157605
e	0.0628392	0.147075	0.0974138	0.291288	0.16578	0.06414	0.0759675	0.0372912	0.0308597	0.0118024	0.00236779	0.00645561	0.00671942
a	0.00634659	0.0876026	0.0319647	0.34731	0.230208	0.084107	0.0581127	0.0526786	0.0315299	0.0267539	0.00766909	0.00789943	0.027818
b	0.00454551	0.0192487	0.0833789	0.401266	0.304588	0.0454027	0.0231798	0.0738725	0.0102556	0.00530459	0.0010439	0.00173151	0.0261817
í	0.0416798	0.0274774	0.01773	0.232573	0.235387	0.0846426	0.150003	0.118594	0.0617704	0.0134572	0.00151301	0.00575462	0.00941787
í	0.00297653	0.104206	0.0116303	0.120827	0.174009	0.158042	0.125959	0.0564244	0.0362941	0.0383751	0.0251251	0.0182091	0.127923
l	0.00781339	0.00418747	0.0170592	0.0587707	0.153392	0.12612	0.128158	0.415999	0.0294339	0.011678	0.00357311	0.0028918	0.0409232
á	0.003702	0.00280904	0.0143589	0.031996	0.0729536	0.0570389	0.10258	0.338594	0.0655566	0.0430833	0.015036	0.0134514	0.23884
m	0.00055154	0.00513667	0.0158879	0.0566142	0.135472	0.150037	0.151671	0.219416	0.0606937	0.0451286	0.0197563	0.0259492	0.113685
b	0.00313748	0.00597595	0.09844	0.14266	0.192641	0.100795	0.0323209	0.183954	0.0980088	0.0300629	0.00581815	0.0716502	0.0345363
í	0.00451905	0.00163954	0.0118343	0.17989	0.218159	0.049366	0.0342704	0.106536	0.185858	0.0872852	0.00586275	0.0397611	0.0750188
n	0.0019692	0.00112392	0.000896621	0.0800168	0.134623	0.0876313	0.0791508	0.152021	0.159844	0.136714	0.00752414	0.0585565	0.0999282
ω	0.00314683	0.0198719	0.00236552	0.0226122	0.108649	0.259483	0.248755	0.133576	0.061458	0.0359606	0.0299872	0.0162662	0.057868
</S>	0.000511188	0.00346961	0.00283546	0.0180136	0.0464295	0.0914631	0.0846455	0.157959	0.180806	0.120075	0.0807633	0.0440159	0.169012
