 	je	l'	ai	fait	réussir	à	l'	examen	</S>
n	0.928926	0.0597168	0.00428387	0.00327521	0.000614093	0.000759928	0.00101779	0.00117521	0.000231506
g	0.979973	0.0174327	0.0019064	0.000427441	1.01442e-05	0.000118075	0.000101642	2.4019e-05	6.50128e-06
á	0.822309	0.152582	0.0215687	0.00248626	0.000194927	0.000444186	0.000200052	0.000195397	2.01905e-05
í	0.0711201	0.375832	0.305801	0.0390325	0.00492542	0.0100568	0.0172399	0.00709157	0.168901
b	0.0172453	0.109103	0.621902	0.1721	0.0499985	0.0168742	0.00402574	0.0014176	0.00733438
h	0.00150293	0.0234463	0.266047	0.289114	0.369357	0.0313735	0.0113342	0.00221777	0.00560747
e	0.00172472	0.00470082	0.0539598	0.332201	0.549565	0.0516344	0.00372974	0.00151734	0.000967665
r	0.00341898	0.0105043	0.0925702	0.215287	0.451465	0.123956	0.0262312	0.0211737	0.0553935
i	0.00566318	0.0606715	0.145516	0.314571	0.259833	0.133311	0.053093	0.00608363	0.021258
s	0.0430453	0.132659	0.240308	0.247646	0.15384	0.1192	0.0479705	0.00157076	0.0137596
i	0.00855287	0.0280771	0.0661215	0.325147	0.408076	0.1217	0.0241705	0.00301838	0.0151363
w	0.0485187	0.237021	0.266264	0.170255	0.046639	0.144786	0.0449598	0.019547	0.0220098
á	0.010364	0.0914111	0.188158	0.23278	0.295215	0.119662	0.0547594	0.00162324	0.00602729
i	0.0107365	0.0102673	0.0273758	0.086072	0.23193	0.378773	0.144462	0.0190174	0.0913651
s	0.000160507	0.000900932	0.00286986	0.0417714	0.315236	0.420346	0.136965	0.0275509	0.0541988
í	0.000282066	0.00211332	0.0169473	0.0231215	0.338655	0.405317	0.134449	0.0469391	0.0321758
m	0.00197944	0.00528029	0.0234984	0.0188614	0.0522463	0.252324	0.352528	0.0840238	0.209258
á	6.60791e-05	0.000245687	0.000950843	0.00961484	0.107342	0.269155	0.436807	0.0749875	0.100831
</S>	0.00739041	0.0107038	0.00864707	0.0120117	0.010743	0.110306	0.590103	0.140915	0.10918
