 	de	la	manière	qu'	elle	fait	goûter	ses	plats	aux	gens	ils	ne	coûtent	pas	cher	</S>
e	0.277797	0.204167	0.0830359	0.199212	0.0575205	0.118716	0.00219323	0.0177884	0.0103867	0.00876558	0.00248618	0.00212793	0.00700646	0.00308806	0.0050712	7.75665e-05	0.000560034
m	0.00260702	0.0180258	0.00147159	0.0100375	0.0067483	0.0698105	0.807546	0.0191344	0.0078673	0.00962196	0.00668655	0.00293044	0.00461676	0.0102587	0.00520532	0.0155607	0.00187119
a	0.0142835	0.0250423	0.00476963	0.00390724	0.00310829	0.0109235	0.919794	0.00871223	0.00730724	0.00124047	0.000352101	0.000176848	5.50631e-05	3.32305e-05	1.96715e-05	9.78667e-06	0.000265036
m	0.0116154	0.0126504	0.0395431	0.0717165	0.0152178	0.0542592	0.663238	0.041727	0.0283463	0.0137531	0.00894344	0.00376656	0.00328055	0.00346821	0.00262203	0.000445938	0.0254064
b	0.0369068	0.0432576	0.0949983	0.0697035	0.0353976	0.198142	0.279936	0.0694774	0.0767185	0.0291102	0.0258909	0.0102065	0.00566436	0.00432481	0.00438737	0.000122387	0.0157562
í	0.01833	0.0257508	0.0163294	0.00992973	0.015904	0.112101	0.542939	0.0478429	0.109352	0.036593	0.0319639	0.00896041	0.00266886	0.00382975	0.003551	0.000300087	0.0136539
s	0.0316312	0.0357075	0.140692	0.33646	0.13927	0.109987	0.010572	0.026453	0.0337843	0.018197	0.0225149	0.0105942	0.0102526	0.00847598	0.00627091	0.000843768	0.0582936
í	0.140056	0.0254962	0.0388563	0.161508	0.217047	0.189907	0.0324365	0.041963	0.0299406	0.0276127	0.0108205	0.00970424	0.00422126	0.0134465	0.0107055	0.00222923	0.0440498
l	0.0122966	0.00345903	0.0468189	0.290366	0.377932	0.138068	0.00606918	0.0210789	0.0281492	0.0151345	0.00694902	0.0087824	0.00324887	0.00642898	0.0116945	0.00143596	0.0220881
í	0.0184019	0.00499916	0.00843531	0.105949	0.328387	0.0850592	0.0183585	0.105267	0.0534364	0.0405767	0.00998965	0.0263768	0.00762469	0.0161589	0.0238291	0.000571059	0.146578
y	0.0220267	0.00657918	0.0307267	0.237878	0.329151	0.156275	0.0254513	0.0663186	0.0430058	0.0252604	0.00675718	0.00896618	0.00375244	0.008717	0.00947122	0.000973551	0.01869
é	0.0415178	0.0289766	0.0550165	0.197797	0.410193	0.153507	0.0455976	0.0307238	0.00701348	0.00676466	0.00225756	0.00148293	0.00145625	0.00218871	0.00285019	0.0033832	0.0092742
