 	ils	ont	un	procès	devant	le	sous-préfet	</S>
b	0.957353	0.0226697	0.00335308	0.000955027	0.00271913	0.0118676	0.0010272	5.50903e-05
á	0.939633	0.0287946	0.0101532	0.00746729	0.00451772	0.00827804	0.00091852	0.000237077
a	0.960542	0.0250152	0.00489726	0.00423534	0.00136666	0.00130042	0.00172556	0.000917226
á	0.148642	0.615611	0.102505	0.0471696	0.0124612	0.0147318	0.0023587	0.0565199
d	0.0243688	0.293912	0.467782	0.128145	0.051742	0.0174031	0.00245514	0.0141921
í	0.00952728	0.266305	0.495087	0.109438	0.0346406	0.0100021	0.000768071	0.0742321
l	0.0101183	0.111096	0.365569	0.264038	0.10332	0.056326	0.00102664	0.0885065
i	0.00733464	0.204386	0.208557	0.404344	0.0371326	0.0146219	0.00374161	0.119882
b	0.0112934	0.0699881	0.244171	0.301383	0.276416	0.0348597	0.0177799	0.044109
á	0.086368	0.0686863	0.329299	0.227948	0.238695	0.023993	0.0217159	0.00329376
n	0.0480397	0.0619736	0.15152	0.350323	0.204749	0.0409711	0.0336996	0.108724
d	0.0141629	0.12671	0.206455	0.212705	0.166053	0.0627551	0.0314564	0.179702
z	0.00426397	0.107033	0.270828	0.161152	0.138335	0.0566819	0.0227517	0.238954
á	0.00367371	0.0696704	0.300113	0.0950467	0.139985	0.0541375	0.0311229	0.306251
m	0.00837659	0.0989723	0.0936925	0.23505	0.154906	0.186101	0.0349394	0.187961
b	0.0028333	0.0126328	0.0207936	0.181298	0.14888	0.203257	0.126257	0.304049
v	0.00436871	0.00296048	0.0242218	0.0926119	0.269048	0.347484	0.101931	0.157374
á	0.00329676	0.00364756	0.0267463	0.0424447	0.315916	0.204229	0.0913773	0.312343
a	6.89795e-05	0.00251403	0.0184729	0.0299023	0.280304	0.309281	0.0639235	0.295534
k	0.000378685	0.00776491	0.00931727	0.0292497	0.0867468	0.541374	0.11237	0.212799
o	0.00239008	0.00344122	0.0068035	0.0137094	0.137978	0.236177	0.475524	0.123977
m	0.00142241	0.0038662	0.0208964	0.0126836	0.3023	0.154669	0.409738	0.0944242
a	0.000299476	0.00319181	0.0070566	0.00898033	0.0598028	0.213723	0.503691	0.203255
n	0.000362188	0.00613702	0.00580643	0.0124319	0.0301323	0.131272	0.0325159	0.781343
d	0.00682065	0.0266753	0.0605642	0.0398768	0.0753442	0.16088	0.191276	0.438563
a	0.000460328	0.00536847	0.0144809	0.00921107	0.0262615	0.0818138	0.243913	0.618491
</S>	0.000249583	0.00139077	0.00953102	0.00515198	0.0682285	0.168698	0.144371	0.602379
