 	ce	malade	vomit	du	sang	</S>
o	0.479838	0.501977	0.0126189	0.00445175	0.000917344	0.000197046
k	0.0132086	0.966045	0.00930045	0.00154368	0.00895916	0.000943446
ω	0.000741981	0.997425	0.000288865	0.000243857	0.00102591	0.000274194
n	0.00229193	0.993725	0.00132987	0.00063614	0.0016614	0.000356123
í	0.0299505	0.945427	0.00315704	0.00114824	0.000411423	0.019906
m	0.704104	0.191181	0.0759843	0.0120895	0.000889757	0.0157519
ú	0.934005	0.00238499	0.0343006	0.018378	0.00144993	0.00948135
m	0.104155	0.0106932	0.428534	0.330785	0.0107632	0.11507
ó	0.726278	0.00271648	0.0424352	0.167733	0.00777875	0.0530581
o	0.445423	0.0410097	0.165687	0.221106	0.108395	0.0183791
l	0.0283161	0.00964862	0.222405	0.303163	0.392437	0.0440297
ó	0.00331348	0.00627276	0.12546	0.314982	0.350058	0.199914
á	0.0464612	0.0154619	0.102144	0.33479	0.460704	0.0404392
a	0.0579605	0.000872127	0.0466083	0.554781	0.231623	0.108156
l	0.011868	0.00181691	0.0586942	0.30962	0.462638	0.155362
ó	0.0027629	0.00190074	0.0295722	0.374751	0.375204	0.215809
n	0.0031049	0.00168843	0.0201033	0.275557	0.453274	0.246272
g	0.00679671	0.00535721	0.0148093	0.207206	0.457545	0.308286
ó	0.00447729	0.0115366	0.0336024	0.0649784	0.628844	0.256561
</S>	0.00613021	0.00402219	0.0289301	0.188853	0.294875	0.477189
