 	le	maître	a	défendu	aux	élèves	de	bavarder	en	classe	</S>
o	0.815469	0.175558	0.00508913	0.000114233	0.0018324	0.000480375	0.000336448	0.000310073	0.000699629	6.36933e-05	4.76124e-05
y	0.0551495	0.687486	0.106051	0.110251	0.00178872	0.00601518	0.00224228	0.0204422	0.00224645	0.0065123	0.00181556
é	0.0458151	0.16208	0.0250856	0.755197	0.00377089	0.000686897	0.000755791	0.00536674	0.00038974	0.000628241	0.00022425
s	0.156333	0.372642	0.118436	0.237809	0.0248367	0.00452627	0.012318	0.0160419	0.01868	0.00936071	0.0290159
i	0.262957	0.213606	0.264087	0.106229	0.0608352	0.0115582	0.0267511	0.00805699	0.0101157	0.00335557	0.0324487
i	0.0912291	0.0834426	0.55043	0.112304	0.0837547	0.0320487	0.0109368	0.00471934	0.00690392	0.00223239	0.0219981
á	0.0115426	0.00920253	0.436549	0.270304	0.0859962	0.0340649	0.0631251	0.012298	0.0133892	0.00249678	0.061032
s	0.00254383	0.00291952	0.0647663	0.555809	0.0861855	0.204237	0.0185377	0.037175	0.00691855	0.00529259	0.0156141
i	0.000473933	0.000385764	0.00487324	0.96404	0.0145536	0.0100083	0.00146934	0.00122574	0.000397286	0.000160313	0.00241294
m	0.0178679	0.0014509	0.00715924	0.837713	0.0729906	0.00843526	0.00963197	0.0147601	0.00717578	0.00291614	0.0198993
b	0.00385251	0.00179078	0.0159039	0.44086	0.306048	0.098601	0.0492567	0.0160793	0.0110582	0.00653183	0.0500182
i	0.0129514	0.00599969	0.0487044	0.0257301	0.350792	0.194735	0.166106	0.0530197	0.0302587	0.0184629	0.0932401
b	0.0153099	0.00416196	0.0351101	0.00202266	0.673886	0.145574	0.100487	0.00645233	0.0112199	0.0014504	0.00432564
á	0.000759901	0.000935371	0.00658763	0.00118071	0.207952	0.756611	0.00972225	0.00930404	0.00345754	0.00250184	0.000987421
n	0.0033686	0.00115012	0.009876	0.00138998	0.314025	0.614979	0.0278504	0.00663525	0.00644065	0.00292118	0.0113638
a	0.0111953	0.0160932	0.0180918	0.00310172	0.400733	0.429682	0.0303469	0.00588414	0.0116196	0.00152589	0.0717264
o	0.000698696	0.000796891	0.0153538	0.00165469	0.222096	0.205889	0.458835	0.0530826	0.031725	0.00239001	0.00747753
k	0.00259643	0.00154157	0.00343276	0.00843121	0.0142896	0.0344053	0.397836	0.450087	0.0437972	0.026682	0.0169013
y	3.71992e-05	0.000154964	0.000955703	0.0016397	0.0032074	0.0219506	0.0453868	0.804991	0.0254049	0.0803287	0.0159433
á	9.55725e-05	0.000160279	0.00053454	0.00122774	0.00732581	0.0315347	0.0751754	0.802591	0.0234518	0.0416063	0.0162968
l	0.00303536	0.000729152	0.00168545	0.00122835	0.0418803	0.0344025	0.253031	0.238979	0.102126	0.128483	0.19442
o	0.000297464	0.000146332	0.000624946	0.00107101	0.00522665	0.0119472	0.0969068	0.574664	0.0960603	0.0929927	0.120063
b	0.000821561	0.000160697	0.000267703	0.000436548	0.00143804	0.00068415	0.0407586	0.263168	0.186449	0.387906	0.11791
h	0.000348102	0.000193901	0.00124459	0.000245333	0.00462431	0.00220353	0.0270949	0.575768	0.0817288	0.25748	0.0490695
ó	8.96226e-05	6.47542e-05	0.000160201	0.00019278	0.00193916	0.00183071	0.0108122	0.658168	0.0703748	0.208667	0.0477005
s	2.85459e-05	3.93536e-05	6.44157e-05	6.18425e-05	0.00236709	0.00103406	0.0294141	0.345105	0.297289	0.228089	0.0965074
á	0.000465695	7.30851e-05	0.000100954	0.00026465	0.00113524	0.000568792	0.0197119	0.190776	0.128504	0.298321	0.360078
l	0.0108456	0.00118577	0.0014293	0.00116209	0.0111179	0.00149713	0.0191738	0.0350021	0.243557	0.423869	0.25116
e	0.00191577	0.00053089	0.00262665	0.00270379	0.00981079	0.0164808	0.0610007	0.0707549	0.138161	0.257251	0.438764
k	0.00224869	0.000605071	0.000923383	0.000472273	0.00373827	0.000307229	0.0116266	0.0140688	0.12274	0.64308	0.200189
ώ	9.49568e-05	0.00011253	0.000626635	0.00022537	0.00190847	0.00157741	0.00632349	0.03482	0.0360307	0.861526	0.0567543
ώ	3.93502e-05	8.20009e-06	1.53505e-05	4.92207e-06	0.00011813	8.50878e-05	0.00171798	0.0241169	0.0252674	0.904871	0.0437562
l	0.00251805	0.000841511	0.00148735	0.000174958	0.00872633	0.000663398	0.044214	0.0348523	0.349087	0.189134	0.368302
i	0.00545272	0.00147688	0.00182239	0.000426059	0.00353167	0.00406233	0.0656097	0.0592614	0.127831	0.258838	0.471687
</S>	0.0385796	0.00197709	0.00233052	0.00107535	0.0132873	0.00227428	0.0389879	0.0150459	0.203848	0.173508	0.509086
