 	le	blaireau	a	creusé	un	terrier	près	d'	une	tombe	</S>
k	0.55487	0.39823	0.0187735	0.000633324	0.0090255	0.0145172	0.000680501	0.00106565	0.00208775	9.68734e-05	1.96048e-05
ó	0.121803	0.807456	0.0102337	0.00289332	0.0115721	0.0182876	0.0159103	0.00703464	0.0036352	0.00052839	0.000645772
l	0.0235868	0.924249	0.0219851	0.0156247	0.00366414	0.00609759	0.00113871	0.00130344	0.000839822	0.00045499	0.00105569
o	0.114637	0.741397	0.0845008	0.0084777	0.0101777	0.00400142	0.0114898	0.00563996	0.00119978	0.000609314	0.0178692
á	0.152911	0.00710139	0.668663	0.033534	0.0406404	0.00936276	0.00398094	0.0110845	0.00840439	0.0085829	0.0557343
t	0.00658266	0.00175356	0.48701	0.413673	0.0359697	0.0123112	0.00641885	0.0084675	0.00652248	0.00266029	0.0186312
s	0.00130998	0.00228177	0.0752443	0.801799	0.0666494	0.0211361	0.00777515	0.00906794	0.00440315	0.000948504	0.00938492
í	0.00745673	0.0150777	0.0660993	0.813976	0.0736474	0.0134725	0.0037981	0.00335204	0.00188061	0.000197524	0.0010425
m	0.00278593	0.000141069	0.0281082	0.672226	0.132905	0.0564661	0.0168494	0.0103282	0.00549281	0.00836609	0.066331
i	0.00551739	2.62342e-05	0.0567935	0.198594	0.292699	0.218219	0.00736443	0.0636401	0.0257926	0.119166	0.0121872
k	0.00183138	3.44334e-05	0.0254254	0.102771	0.342514	0.374653	0.0615131	0.0419955	0.0168243	0.0180204	0.0144175
ó	0.00102742	0.000896174	0.00214639	0.107291	0.103976	0.312617	0.430173	0.025567	0.00622582	0.00239486	0.0076848
ó	0.000551598	0.00181936	0.0221342	0.110122	0.105025	0.453384	0.20777	0.0400359	0.0170721	0.00687048	0.0352145
m	0.00231346	6.66564e-05	0.0231319	0.00642563	0.183989	0.202663	0.183051	0.21831	0.12979	0.0102079	0.0400517
ó	0.00156502	7.73506e-05	0.003412	0.00303486	0.0807717	0.0745522	0.0779755	0.203601	0.104111	0.119645	0.331255
p	0.00869046	0.000328984	0.0116628	0.0035069	0.0583951	0.118125	0.238555	0.132425	0.231553	0.174979	0.0217783
ε	0.000776762	0.000444127	0.000968723	0.00329997	0.0160228	0.0733671	0.657485	0.0912588	0.114078	0.0192515	0.0230473
l	0.000618825	0.000471376	0.000555687	0.00441157	0.0139063	0.137358	0.412589	0.134263	0.215611	0.0267467	0.0534693
έ	0.000201161	0.000167723	0.000288376	0.00187722	0.0163818	0.0622799	0.475803	0.245892	0.130893	0.0125114	0.053705
m	0.000525258	7.85938e-06	0.00473331	0.000969892	0.0309006	0.0146203	0.0720594	0.224792	0.336082	0.0833603	0.231949
á	0.00173143	0.000134911	0.0124218	0.0017088	0.0268465	0.011091	0.00569072	0.0700611	0.15661	0.482719	0.230985
m	0.00307374	5.80597e-05	0.0131969	0.00105753	0.0326116	0.0185208	0.0413304	0.0852809	0.211573	0.530384	0.0629123
u	9.18158e-05	8.73679e-07	0.000737112	0.000302864	0.00166424	0.000729073	0.000423937	0.0094627	0.0167936	0.946906	0.0228877
m	0.000112511	0.000173043	0.000315296	0.00040423	0.00103741	0.00692416	0.0140314	0.0568535	0.0650072	0.809599	0.0455424
b	0.000514445	0.000124646	0.00103478	0.000277736	0.00263537	0.00281777	0.00847284	0.0351914	0.0667405	0.721496	0.160695
á	0.0136523	1.38293e-05	0.000272054	6.80406e-05	0.00506081	0.0109997	0.019138	0.0518182	0.0391191	0.735241	0.124617
</S>	0.00321277	7.87517e-05	0.00440039	0.00176709	0.015089	0.00750038	0.0151079	0.0588545	0.083975	0.327242	0.482772
