 	pour	arriver	chez	nous	il	faut	suivre	le	côté	droit	de	cette	route	</S>
m	0.82027	0.137284	0.0233579	0.00359188	0.00304461	0.00687391	0.000835218	0.001493	0.000940925	0.000504979	0.000286713	0.00123605	0.000253182	2.75401e-05
í	0.273046	0.13169	0.383525	0.0282481	0.0416104	0.018383	0.0213229	0.0174895	0.0115989	0.0112501	0.018451	0.0231264	0.000259814	0.0199991
p	0.152667	0.693095	0.0927753	0.011998	0.0264531	0.00726319	0.00272537	0.00331309	0.00422007	0.00217478	0.00116088	0.000588437	0.00010101	0.00146484
f	0.0210193	0.829424	0.0292355	0.00268248	0.0239922	0.00979241	0.00872234	0.0101544	0.0107697	0.00793359	0.008548	0.00311078	0.02423	0.0103848
a	0.0866221	0.854787	0.0332177	0.00356145	0.00827084	0.0033752	0.00127276	0.00190482	0.0017306	0.00158373	0.00110416	0.00118561	0.000886224	0.00049771
l	0.187871	0.544072	0.179924	0.0093769	0.0116502	0.00663376	0.00251212	0.00630734	0.00523505	0.00602715	0.00643935	0.00370748	0.00202411	0.0282197
á	0.199499	0.314205	0.0691381	0.0258806	0.0524502	0.0583609	0.0294766	0.0406738	0.0304276	0.027571	0.0311542	0.0145484	0.00352966	0.103084
n	0.383296	0.0547129	0.12258	0.200581	0.113122	0.0490631	0.0227319	0.0130123	0.0114859	0.00764088	0.0069123	0.00447777	0.000807197	0.00957751
d	0.275504	0.00926304	0.0978796	0.230117	0.0178081	0.0853168	0.235741	0.0152175	0.00837542	0.00658025	0.00639293	0.00468533	7.19335e-05	0.00704722
é	0.0687798	0.0461797	0.233397	0.110964	0.0403858	0.0978087	0.333925	0.0148044	0.00692019	0.0103291	0.00701189	0.00783181	0.000400589	0.0212627
e	0.119971	0.0547001	0.171099	0.0435113	0.0596831	0.216749	0.182353	0.035303	0.0217216	0.0246927	0.0186767	0.0209229	0.000766064	0.0298507
y	0.120463	0.0497217	0.179332	0.0560728	0.349595	0.110768	0.0334845	0.0266097	0.0105593	0.00720164	0.0128339	0.00738902	0.00207016	0.0338991
á	0.108101	0.0417972	0.171238	0.147243	0.289689	0.0862041	0.0580034	0.0346001	0.00821134	0.0123152	0.0117343	0.0122203	0.000485475	0.0181571
b	0.0249594	0.00584297	0.0208822	0.340533	0.369425	0.0997449	0.045166	0.0248925	0.0082109	0.00963785	0.00949569	0.0153687	0.00281039	0.0230306
í	0.00960136	0.0105142	0.0814588	0.736229	0.0746906	0.0608536	0.00273578	0.00471751	0.0111529	0.00363987	0.00214491	0.000333536	0.000792041	0.00113647
s	0.0168554	0.0012493	0.0546362	0.881219	0.0173913	0.0194402	0.000961283	0.00125059	0.00383772	0.00104681	0.000850703	0.000264573	0.000162151	0.000834585
í	0.0397049	0.00801159	0.0631972	0.32321	0.113326	0.223446	0.041817	0.0386007	0.0395509	0.0290657	0.0277659	0.0107705	7.84376e-05	0.0414553
l	0.00260456	0.00409305	0.021304	0.0518519	0.248169	0.340755	0.129559	0.0687473	0.0461468	0.0121483	0.0182935	0.0114708	0.00313283	0.0417249
ó	0.0094813	0.0046577	0.0313584	0.0320021	0.0455073	0.187094	0.313238	0.0877075	0.06609	0.0261447	0.0359824	0.0127397	0.000249798	0.147746
o	0.00137024	0.000801371	0.0173877	0.0138895	0.0118153	0.128387	0.707352	0.075702	0.0255243	0.00832034	0.00406474	0.00198106	6.55293e-05	0.00333815
l	0.00221855	0.0138609	0.0402738	0.00223462	0.00783466	0.0862158	0.209631	0.438503	0.102676	0.0365175	0.0202783	0.00589372	0.0131202	0.0207418
ω	0.00168598	0.0136137	0.0138413	0.00513737	0.00357638	0.0720523	0.237076	0.312389	0.201822	0.0552845	0.0276238	0.00491813	0.00489941	0.0460795
n	0.00196388	0.0125524	0.0188289	0.0531201	0.016408	0.089127	0.35881	0.247943	0.0988765	0.0354916	0.0168637	0.0124953	0.00394939	0.0335707
d	0.00200728	0.00263714	0.00409339	0.0109391	0.00844053	0.054194	0.390456	0.287024	0.129533	0.0301074	0.0341142	0.0173593	0.00358789	0.0255061
ώ	0.00135286	0.00281128	0.00353716	0.0051463	0.0100586	0.0386357	0.506925	0.237842	0.0832761	0.0251876	0.0233284	0.0177023	0.00109943	0.043097
o	0.000973579	0.000130297	0.00156887	0.00235599	0.0100548	0.015373	0.087192	0.393866	0.190414	0.137303	0.085768	0.0532418	0.00245634	0.0193032
p	0.00194436	0.00198178	0.00504459	0.00115728	0.00130528	0.00562569	0.0310635	0.232921	0.280228	0.302924	0.0731231	0.0151911	0.0394976	0.00799221
o	0.000188483	0.011638	0.0085291	0.000499311	0.000702614	0.00644087	0.0121183	0.13477	0.349884	0.154868	0.0827489	0.0192098	0.18776	0.0306423
n	0.000378995	0.00876736	0.0107855	0.000319235	0.000965052	0.0161695	0.0269715	0.172428	0.465257	0.143158	0.0652334	0.0221364	0.0480838	0.0193462
g	0.00309506	0.0161393	0.0150485	0.000354074	0.00244621	0.0241183	0.080995	0.129457	0.274588	0.11551	0.107836	0.0303533	0.0254213	0.174638
a	0.00637355	0.0043758	0.0415612	0.0044103	0.0183852	0.0944885	0.139816	0.141233	0.246065	0.166857	0.0545026	0.0386059	0.00257527	0.0407501
m	0.00136606	0.000454757	0.00129035	0.00137169	0.00760244	0.00810818	0.0185588	0.0855333	0.150006	0.21725	0.256648	0.136623	0.0130344	0.102153
ú	0.00545404	0.000217756	0.00748826	0.0019188	0.00699877	0.0010218	0.00212562	0.0422597	0.0363446	0.191372	0.160477	0.180701	0.004517	0.359103
m	0.000317379	0.00022703	0.00193631	0.000830141	0.0010236	0.00156156	0.00436775	0.048131	0.0454842	0.22905	0.269327	0.272675	0.0158375	0.109231
é	0.000336832	0.000927484	0.00133859	0.000919108	0.00173868	0.000564388	0.00169112	0.0248749	0.0172477	0.162424	0.17466	0.345482	0.0136892	0.254106
