 	ngolo	est	devenu	la	risée	de	ce	village	</S>
n	0.912652	0.0604159	0.00605701	0.00610477	0.000367904	0.00541568	0.00607249	0.00283593	7.79591e-05
g	0.997547	0.00169891	9.0535e-05	0.000149389	8.33958e-05	0.000275889	0.000145428	1.9541e-06	7.49769e-06
o	0.964686	0.0300916	0.00223442	0.00132675	0.000704708	0.000691301	0.000160162	7.80764e-05	2.68026e-05
l	0.984935	0.00961429	0.00119634	0.000847171	0.00171194	0.000664359	0.000552747	6.81997e-05	0.000409705
ó	0.67533	0.151541	0.0408626	0.0152375	0.0088817	0.012244	0.0129834	0.0127294	0.0701905
á	0.018726	0.645221	0.189118	0.0520856	0.0164229	0.0176127	0.00966353	0.00219197	0.0489583
b	0.00792866	0.199475	0.612936	0.10923	0.0310998	0.00614926	0.00116684	0.00187525	0.030139
h	0.000480492	0.114236	0.699126	0.176145	0.00673309	0.00147632	0.000296594	6.73046e-05	0.00143866
i	0.00299793	0.0999276	0.654105	0.235316	0.00416131	0.00209347	0.000172675	2.74166e-05	0.00119836
á	0.000411827	0.0826549	0.281089	0.305509	0.119782	0.0637426	0.0119814	0.0203766	0.114452
e	0.00326593	0.0543886	0.227269	0.439071	0.16942	0.0418203	0.0374336	0.00881213	0.0185187
d	0.00117919	0.0137064	0.0911469	0.229074	0.592269	0.0507771	0.00176588	0.00233427	0.0177465
z	5.07661e-05	0.00223244	0.0151171	0.107543	0.795714	0.0696355	0.00043293	0.0004348	0.00883925
ε	9.88123e-05	0.00338299	0.0103689	0.101854	0.795526	0.0669506	0.0034264	0.00441343	0.0139786
s	1.03184e-05	0.00341262	0.0120867	0.0583257	0.651711	0.206469	0.0125369	0.00126594	0.0541818
i	2.29685e-05	0.00565321	0.0245265	0.0942813	0.380708	0.223041	0.0947867	0.0248372	0.152143
i	3.02018e-05	0.00289525	0.0135028	0.0536269	0.209221	0.524232	0.134805	0.0219673	0.0397197
y	0.000224507	0.00351975	0.00817937	0.0400075	0.0890008	0.586836	0.159512	0.07088	0.0418392
á	0.000329207	0.0110322	0.0041775	0.0195437	0.237958	0.402519	0.200185	0.0606166	0.0636382
p	0.00167461	0.00207772	0.00169718	0.00589528	0.05249	0.145291	0.163889	0.611961	0.0150251
o	0.000138746	0.000303846	0.000351366	0.000988413	0.00591133	0.0202788	0.00838241	0.959573	0.00407202
o	2.29767e-05	8.49746e-05	0.000358891	0.00143086	0.0367409	0.0350069	0.026126	0.863408	0.0368207
y	2.3675e-05	0.00207536	0.00568892	0.00741571	0.0164762	0.189312	0.208136	0.0885333	0.482339
é	0.000355607	0.0108989	0.00826978	0.01426	0.0207354	0.217009	0.232351	0.138076	0.358045
</S>	0.00083819	0.00885554	0.0109582	0.0136974	0.0314398	0.15699	0.376142	0.0785137	0.322565
