 	il	lia	le	sac	avec	une	ficelle	</S>
w	0.935129	0.0297126	0.0182348	0.00727298	0.0060423	0.00260798	0.000974381	2.56089e-05
a	0.931545	0.00730885	0.0250631	0.00352817	0.0144722	0.0102437	0.00774259	9.6076e-05
a	0.586561	0.182864	0.16768	0.0204885	0.0188228	0.00978398	0.00236837	0.0114311
k	0.153413	0.598818	0.150133	0.0454125	0.0239399	0.00618962	0.0013929	0.020701
a	0.0218997	0.679181	0.129448	0.10518	0.0390047	0.00691929	0.000995278	0.017372
n	0.00487674	0.879053	0.053021	0.0534333	0.00533546	0.00112875	0.000330614	0.0028208
g	0.184475	0.547268	0.124428	0.0924115	0.0261339	0.00566948	0.00183508	0.0177794
í	0.161377	0.443783	0.261731	0.0512232	0.0406816	0.00412904	0.00196181	0.0351136
p	0.0656013	0.0274404	0.625614	0.193881	0.0676694	0.0130517	0.00212281	0.00461911
ε	0.0161869	0.0174895	0.0759	0.823997	0.0490885	0.00599316	0.00093922	0.0104061
n	0.00491598	0.033648	0.139151	0.645827	0.114154	0.0208649	0.0033661	0.0380741
g	0.00536128	0.0860999	0.223703	0.527334	0.12806	0.0138493	0.0034432	0.0121482
ε	0.00945223	0.023579	0.0792202	0.761888	0.069957	0.007889	0.0178242	0.0301904
m	0.0161056	0.0100165	0.115846	0.171081	0.503931	0.109805	0.0182415	0.0549732
ó	0.0196841	0.00250432	0.0496586	0.00907023	0.182658	0.338118	0.0835581	0.314749
s	0.0120915	0.00226862	0.0199661	0.0245768	0.0580822	0.070637	0.793031	0.0193466
i	0.00461578	0.00217281	0.0057973	0.0034017	0.0173238	0.0751177	0.873526	0.0180449
n	0.00019132	0.00151156	0.00256116	0.00470066	0.0110151	0.044596	0.870869	0.0645552
g	0.000242015	0.00477859	0.00646567	0.0164117	0.0202347	0.131499	0.674916	0.145452
a	0.000137975	0.0037075	0.00697322	0.0548858	0.0407178	0.0647776	0.594603	0.234197
</S>	0.00319759	0.00144092	0.0172856	0.00588761	0.0720489	0.134459	0.113905	0.651775
