 	quelle	est	celui	qui	boude	contre	moi	parmi	vous	</S>
o	0.680279	0.0670164	0.0999492	0.0286919	0.0100307	0.0707128	0.0211125	0.0184942	0.00269857	0.00101483
f	0.00144134	0.00169261	0.0216917	0.0161564	0.879326	0.0507238	0.00959414	0.0025424	0.00556763	0.0112637
u	0.000270254	0.00108949	0.0303046	0.00773687	0.937697	0.0178609	0.000644084	0.000276856	0.000249734	0.00387017
u	6.23465e-05	0.00176293	0.0470475	0.0129701	0.818254	0.0929139	0.00771608	0.000869627	0.000400853	0.0180026
l	0.0142881	0.0374613	0.0663738	0.102105	0.0458344	0.248612	0.187893	0.190622	0.0601471	0.0466635
u	0.0458453	0.0645118	0.0650463	0.0550961	0.0236158	0.171461	0.140894	0.259904	0.120564	0.0530614
l	0.0148829	0.0662506	0.019112	0.057078	0.0163575	0.153096	0.218094	0.27255	0.136491	0.0460876
a	0.0068981	0.0132838	0.0486529	0.0363337	0.00758726	0.0997958	0.203673	0.3331	0.147972	0.102703
n	0.000486049	0.00106814	0.000685955	0.00189098	0.000214158	0.0264902	0.124698	0.16879	0.663668	0.0120081
g	0.00105687	0.000330431	0.00115976	0.00311152	0.000108042	0.0164197	0.612716	0.145705	0.214081	0.0053123
á	0.00107636	0.00261049	0.00582493	0.00742002	0.000591297	0.0178939	0.385453	0.117531	0.410962	0.0506373
s	0.000219856	0.00164778	0.00348297	0.0108313	0.00185888	0.117619	0.175137	0.432287	0.145787	0.111128
á	0.00387715	0.00991625	0.0248223	0.0236921	0.00565601	0.0942532	0.167165	0.149176	0.296248	0.225194
b	0.00913487	0.0382965	0.0209534	0.0280032	0.00261928	0.0470641	0.0585104	0.407182	0.333365	0.0548715
í	0.0140836	0.0101539	0.0039878	0.00142942	0.00030638	0.0233371	0.00978656	0.0754042	0.789143	0.0723678
n	0.00154681	0.003212	0.0020052	0.000938518	0.000372383	0.0274895	0.0342165	0.187843	0.691746	0.05063
í	0.00115876	0.00161454	0.00703787	0.0028902	0.00277323	0.105651	0.146726	0.205936	0.350121	0.176091
n	0.000817141	0.00668276	0.0125366	0.0303715	0.00564984	0.109116	0.124286	0.150046	0.253989	0.306505
d	0.00233944	0.00453829	0.00594651	0.00715851	0.00146955	0.0792346	0.108765	0.137986	0.204049	0.448513
a	0.00172893	0.0029647	0.00277379	0.00391763	0.000649798	0.0196498	0.168025	0.0805564	0.243579	0.476155
</S>	0.00021338	0.00124018	0.0034177	0.00588808	0.00270056	0.0724638	0.0435215	0.0389268	0.0580949	0.773533
