 	celui	qui	allume	ce	feu	c'	est	le	fils	de	ton	ami	</S>
o	0.73389	0.034992	0.0698257	0.0749745	0.00542504	0.00988694	0.00955429	0.0175836	0.00868076	0.023265	0.00916651	0.00170042	0.00105565
l	0.0169472	0.020845	0.917507	0.00327131	0.000953425	0.00120989	0.00309384	0.00360197	0.00118507	0.00206791	0.0017721	0.0249665	0.00257909
o	0.0036214	0.0273076	0.942458	0.00244928	0.000384993	0.000862715	0.0028135	0.00295714	0.000309973	0.00298425	0.00102777	0.000719153	0.0121045
o	0.000793981	0.0136155	0.953881	0.00494919	0.000754719	0.000597316	0.00218639	0.00205207	0.000866451	0.0013517	0.000654991	0.00277418	0.0155225
s	0.0212559	0.101151	0.108886	0.616334	0.0802887	0.015374	0.0136762	0.00670763	0.00650465	0.00420503	0.00447208	0.00810236	0.0130425
i	0.0096391	0.0471995	0.333358	0.240589	0.0145076	0.0457342	0.0332908	0.0413347	0.0315188	0.066568	0.0375222	0.00129601	0.0974423
m	0.00349444	0.0075226	0.00455114	0.180742	0.691925	0.0245756	0.0168392	0.0111304	0.0167818	0.00568071	0.00527759	0.010453	0.0210259
í	8.76815e-05	0.000124131	0.000455883	0.0194185	0.896233	0.006354	0.00407464	0.00159028	0.0678735	0.00064513	8.01283e-05	0.000183933	0.00287958
a	0.00768164	0.00173152	0.00153389	0.07063	0.592277	0.0340424	0.0472689	0.0437133	0.0803038	0.0137044	0.00462816	0.0920141	0.0104707
m	0.00441389	0.00662044	0.0110988	0.053747	0.419543	0.288347	0.104975	0.0428634	0.025003	0.014262	0.00385367	0.00675482	0.0185176
í	0.00038783	0.000480581	0.000980376	0.0351154	0.698619	0.0506835	0.035534	0.0133964	0.144276	0.00727216	0.00178555	0.00197498	0.00949362
i	0.0112659	0.00528052	0.00423274	0.103944	0.260057	0.109641	0.104609	0.135853	0.123151	0.0570822	0.0155551	0.0329242	0.0364047
m	0.00189699	0.00561077	0.0202239	0.0142177	0.0801707	0.166495	0.297076	0.178733	0.0772723	0.0608704	0.00764381	0.0296366	0.0601523
b	0.000649251	0.0012455	0.00145378	0.0430888	0.394979	0.0556862	0.10296	0.069333	0.261378	0.0243469	0.00947045	0.00776255	0.0276462
í	0.000105289	0.000686173	0.00825992	0.0247081	0.390131	0.0412561	0.178937	0.0781204	0.13878	0.0251986	0.0054818	0.064495	0.0438399
m	0.000485216	0.000986012	0.00256266	0.0475612	0.134597	0.054056	0.143011	0.0699623	0.399956	0.076483	0.00699437	0.0360174	0.0273278
w	0.00072546	0.000238361	0.000513334	0.0447089	0.298154	0.058823	0.0681344	0.0425532	0.409754	0.0270477	0.00885458	0.0136176	0.0268755
á	0.000350799	0.000105637	0.00122712	0.0300567	0.180872	0.0183072	0.0311039	0.0246986	0.65686	0.0222241	0.00591071	0.0101877	0.0180956
n	0.0010102	0.000293634	0.000136703	0.027198	0.0412431	0.0479924	0.0526493	0.0358737	0.685677	0.0545098	0.0244764	0.0172989	0.0116408
a	0.000900031	0.00120055	0.00106735	0.00396352	0.0179739	0.0489075	0.0979321	0.128719	0.474984	0.133876	0.033586	0.0161082	0.0407821
y	0.000430053	0.000628823	0.000301355	0.00565474	0.00251451	0.0478744	0.0445752	0.108321	0.0658161	0.243394	0.370024	0.0304404	0.080025
a	0.0169734	0.0477407	0.00783527	0.0398932	0.0116795	0.131484	0.0928314	0.0854381	0.0500565	0.127361	0.227867	0.0316213	0.12922
o	0.00131137	0.00130613	0.000482251	0.0105739	0.00163393	0.0185978	0.018215	0.0450976	0.0417975	0.124832	0.672906	0.0246639	0.0385825
b	0.000212743	0.00108275	0.0037693	0.000766066	0.00151123	0.0142735	0.0390072	0.0385479	0.009504	0.0565282	0.0727439	0.524922	0.237132
i	0.000231177	0.000854903	0.0107582	0.000863693	0.000806132	0.00874666	0.0510754	0.0196843	0.0152456	0.041201	0.00695817	0.780213	0.0633617
a	2.91089e-05	0.000596786	0.00755986	0.00260523	0.000184866	0.00751875	0.0377935	0.0294152	0.00981224	0.0640787	0.0130378	0.260268	0.5671
y	0.00085055	0.00247938	0.00184081	0.0116619	0.00304089	0.0401958	0.0403235	0.0460406	0.0631073	0.155184	0.413667	0.0521682	0.16944
a	0.00104359	0.00313569	0.00382768	0.0106559	0.00143813	0.0144468	0.0276601	0.0476693	0.0215825	0.106819	0.442456	0.0140849	0.30518
n	0.00138811	0.00156977	0.000592573	0.0118423	0.00201232	0.00708279	0.00612044	0.0159793	0.0244105	0.0462495	0.750617	0.0261633	0.105972
ω	0.000458074	0.000523014	0.000158054	0.00117627	0.001646	0.00267503	0.00662642	0.0147379	0.0183755	0.0287162	0.806005	0.0210363	0.0978661
</S>	0.0001401	0.000177833	0.000175165	0.000879869	0.00531727	0.00589467	0.0121509	0.0254784	0.0546589	0.0754589	0.162021	0.0535423	0.604105
