 	sa	manière	de	contrôler	là	laissera	passer	plusieurs	tricheurs	</S>
e	0.410722	0.153327	0.137284	0.191537	0.0189101	0.00122776	0.0156324	0.0161941	0.0465715	0.00859433
k	0.000897416	0.00110189	0.00579347	0.805723	0.0437675	0.00633245	0.128773	0.00230951	0.00332749	0.00197454
y	0.0018732	0.00160528	0.00184213	0.969876	0.0111043	0.00050524	0.00796112	0.000203658	0.00225544	0.00277344
έ	0.00119321	0.00650882	0.0176365	0.856102	0.0775636	0.00137589	0.0177234	0.0018347	0.0110923	0.00896987
n	0.0148622	0.0532222	0.0357882	0.20655	0.207806	0.00350025	0.130121	0.0961398	0.151951	0.100059
g	0.0304819	0.00732005	0.013069	0.534962	0.303681	0.0204716	0.0348301	0.0116689	0.00741297	0.0361029
í	0.0132827	0.00385936	0.0065245	0.407291	0.184398	0.00946913	0.0667957	0.0188863	0.00867977	0.280813
s	0.0280476	0.0224081	0.00698259	0.0138349	0.167302	0.323209	0.135543	0.0247413	0.0139199	0.264012
í	0.161815	0.0147661	0.00759568	0.010723	0.137182	0.360166	0.112342	0.0133688	0.00289609	0.179145
l	0.092279	0.0615205	0.0674826	0.0625938	0.315364	0.175414	0.12923	0.0116194	0.0223098	0.0621864
í	0.303741	0.0581276	0.134617	0.0396974	0.0389812	0.0516265	0.0189205	0.0113019	0.00199084	0.340997
y	0.0373332	0.158956	0.391215	0.0875793	0.119343	0.0805207	0.0644727	0.0239677	0.00243574	0.0341765
á	0.149932	0.0757671	0.173891	0.13493	0.0713811	0.108539	0.105277	0.048466	0.000795407	0.131021
w	0.211593	0.0683824	0.20068	0.156548	0.0952448	0.0968882	0.0861847	0.0255975	0.0010673	0.0578152
a	0.0253029	0.00622114	0.124499	0.118481	0.241073	0.102727	0.0256183	0.0591789	0.0188312	0.278068
y	0.00171657	0.000625803	0.0384176	0.0287538	0.738066	0.110365	0.03847	0.00746297	0.0037052	0.0324176
é	0.0498083	0.0197908	0.100378	0.0555071	0.239727	0.183939	0.198043	0.111517	0.00230872	0.0389804
m	0.0526812	0.00827447	0.090256	0.0193035	0.216697	0.29958	0.182375	0.0971908	0.00493371	0.0287076
í	0.00511301	0.00186824	0.0109472	0.00249965	0.08005	0.723443	0.0449388	0.0351528	0.00255875	0.0934291
b	0.00597837	0.0014377	0.0143286	0.00672327	0.275858	0.146374	0.173255	0.150577	0.127594	0.0978739
h	0.00300664	0.000752762	0.0120135	0.0161415	0.219974	0.0278386	0.0807122	0.0869713	0.457215	0.0953741
i	0.000846395	0.00191261	0.0112472	0.00641984	0.0625515	0.00286025	0.0485209	0.074791	0.417557	0.373294
i	0.00104579	0.000731101	0.0161169	0.0114657	0.208336	0.00658233	0.0555725	0.1537	0.338258	0.208191
y	0.00039519	0.000489491	0.0042876	0.00316079	0.0835879	0.00565203	0.0693588	0.234189	0.203649	0.39523
í	0.0612337	0.0142134	0.0314999	0.0243918	0.0640071	0.0422373	0.0592899	0.453729	0.0333332	0.216065
í	0.0241657	0.00938731	0.0173695	0.0067561	0.0279511	0.0360066	0.077536	0.496654	0.038243	0.265931
m	0.00162965	0.00121078	0.00697214	0.00808187	0.0370513	0.0246655	0.0985757	0.438584	0.0944242	0.288805
í	0.00728791	0.00143495	0.00412972	0.000744953	0.0794251	0.304674	0.0285482	0.190363	0.0185528	0.364839
i	0.0042221	0.00397144	0.0054605	0.00201114	0.0203149	0.0141952	0.0697127	0.389659	0.286067	0.204386
k	0.000511023	0.000337048	0.00149254	0.00443991	0.0213427	0.00385845	0.0815727	0.123735	0.215208	0.547502
ó	0.000515252	0.000514412	0.00148463	0.00952271	0.0133276	0.000713758	0.0427822	0.0324542	0.778098	0.120587
a	0.000187072	0.000190034	0.000751972	0.00123882	0.016451	0.000585455	0.0232813	0.0310505	0.512159	0.414105
</S>	0.0192135	0.00253812	0.0116815	0.00470249	0.0634421	0.0147731	0.0997078	0.452289	0.0908844	0.240768
