 	la	beauté	de	son	geste	nous	a	touchés	</S>
ω	0.468741	0.420316	0.0706039	0.0265514	0.00482137	0.00539723	0.00274908	3.97234e-05	0.000780795
b	0.0905284	0.76842	0.0429102	0.0268209	0.0105739	0.00583776	0.0139359	0.0203624	0.0206101
v	0.0349454	0.828084	0.0373938	0.0556553	0.00966503	0.0112869	0.00669174	0.0111373	0.00514101
έ	0.0664533	0.671347	0.064613	0.0561285	0.00298049	0.127534	0.00692714	0.00190074	0.00211591
b	0.151672	0.269515	0.260322	0.112401	0.0334251	0.00973892	0.00598886	0.00032965	0.156607
á	0.0979132	0.155145	0.259022	0.347147	0.0455198	0.00987733	0.0267488	0.000846354	0.0577801
y	0.0513983	0.0534788	0.311714	0.20593	0.207762	0.0727862	0.0297133	0.00169226	0.0655251
é	0.215504	0.0507965	0.21731	0.1759	0.276121	0.00876927	0.0216863	0.0037662	0.0301477
é	0.132222	0.030855	0.244063	0.250612	0.235003	0.033869	0.0247572	0.00558958	0.0430294
k	0.0392203	0.0345449	0.152706	0.182172	0.29304	0.0218814	0.157522	0.0667784	0.0521343
y	0.0178214	0.0589473	0.0865374	0.164752	0.506278	0.00256139	0.0481839	0.0545957	0.0603223
é	0.0389027	0.051132	0.0807132	0.147725	0.558601	0.00210375	0.049851	0.016628	0.0543437
w	0.00717859	0.00903993	0.101692	0.20189	0.509327	0.0386707	0.0524521	0.00981827	0.0699318
a	0.0188417	0.0108302	0.120618	0.402517	0.329172	0.0398548	0.0360083	0.00429903	0.0378586
l	0.0021829	0.0016462	0.0681013	0.0998147	0.102666	0.576606	0.109878	0.00765838	0.0314463
a	0.0123811	0.0127433	0.0310637	0.0618947	0.110321	0.163894	0.169243	0.0820307	0.356428
n	0.0134095	0.00556814	0.0434063	0.0953421	0.0614369	0.392471	0.173433	0.140864	0.0740688
g	0.0100298	0.00787799	0.0317136	0.0630578	0.00684626	0.683542	0.110869	0.0210073	0.0650564
á	0.00124191	0.0028985	0.021127	0.0462596	0.00693583	0.807058	0.0487113	0.0318796	0.0338882
ώ	0.00299019	0.00242688	0.0201704	0.0557331	0.0298678	0.010968	0.365358	0.225258	0.287228
p	0.00347036	0.00508377	0.00454055	0.00686547	0.0104979	0.00864808	0.0946669	0.793687	0.0725396
ώ	0.00071161	0.00166556	0.00224995	0.00770687	0.0168094	0.00184925	0.0272034	0.912742	0.0290618
r	0.000278616	0.00101013	0.0037805	0.031669	0.0534182	0.0207944	0.0866979	0.615496	0.186855
i	0.00110641	0.0047837	0.0106839	0.0274923	0.0272262	0.0355729	0.231196	0.381705	0.280233
n	0.00146444	0.000938317	0.0141382	0.0203914	0.0106581	0.0394441	0.279408	0.0409888	0.592569
g	0.0155649	0.0134158	0.0360542	0.0576853	0.0184924	0.139689	0.162048	0.0819249	0.475126
á	0.00109229	0.00208449	0.00727459	0.0184793	0.00430877	0.560583	0.0352053	0.0382383	0.332734
o	0.00877125	0.00543828	0.0353861	0.0757735	0.0360825	0.0102716	0.204075	0.241023	0.383179
t	0.00697468	0.0397416	0.046812	0.0269726	0.0101505	0.00313798	0.103782	0.660189	0.102239
é	0.000469162	0.00622271	0.005915	0.013299	0.0093862	0.00462207	0.0436068	0.756966	0.159513
m	0.000311732	0.000530201	0.00275196	0.00770321	0.00516578	0.00211609	0.0432409	0.53967	0.398511
a	0.00454611	0.0101367	0.0461763	0.0537602	0.0033777	0.0129356	0.174285	0.0426753	0.652107
</S>	0.0288833	0.00470469	0.0735246	0.0582396	0.0141498	0.0787484	0.138154	0.0323931	0.571203
