 	celles-ci	sont	les	traces	de	l'	antilope	</S>
m	0.493661	0.405055	0.0721871	0.00836205	0.0106948	0.00919156	0.000764207	8.46933e-05
á	0.129825	0.694268	0.140636	0.00459341	0.00949653	0.0154309	0.000530675	0.00521892
á	0.52487	0.360846	0.0972547	0.00795805	0.00142703	0.00176359	0.00519302	0.000687525
d	0.0518431	0.59702	0.270449	0.0181194	0.0223324	0.0165313	0.00528673	0.0184171
í	0.0146977	0.504048	0.225327	0.0260567	0.0348031	0.0346854	0.0032851	0.157097
a	0.00605361	0.0394763	0.463893	0.120059	0.0580928	0.0351665	0.00860821	0.268651
t	0.0144128	0.0757608	0.466349	0.34682	0.056122	0.0177907	0.0108993	0.0118451
á	0.0351195	0.0136053	0.0858769	0.807975	0.0339967	0.00303898	0.00533565	0.0150522
m	0.0100343	0.0741891	0.0939944	0.633465	0.0303922	0.00910348	0.0204604	0.128361
b	0.0201636	0.0427555	0.235291	0.512058	0.105232	0.0311163	0.0202497	0.033134
í	0.0705995	0.0292202	0.12662	0.390194	0.119631	0.0404627	0.0573589	0.165914
m	0.00461508	0.0179909	0.198494	0.1441	0.361094	0.15987	0.0384318	0.0754048
á	0.00205741	0.0199475	0.0825578	0.111896	0.145872	0.135355	0.121259	0.381054
m	0.00408876	0.00909348	0.0747125	0.0668073	0.169656	0.222676	0.414609	0.0383578
b	0.000217213	0.00599788	0.0201903	0.0213229	0.0631942	0.10175	0.598895	0.188433
v	5.5479e-05	0.000208295	0.00503602	0.0304455	0.0227319	0.0283008	0.892251	0.0209708
u	0.00041694	0.000622228	0.00613249	0.0510054	0.0233088	0.0217367	0.686783	0.209994
l	0.0021473	0.00953071	0.0596827	0.0941363	0.158296	0.094935	0.248733	0.332539
u	0.00197561	0.00636725	0.0775948	0.0811524	0.205624	0.171414	0.206097	0.249775
</S>	0.000385716	0.00112882	0.0196316	0.00934402	0.153618	0.183477	0.0701452	0.562269
