 	aujourd'	hui	le	temps	est	doux	</S>
b	0.585664	0.259096	0.0507342	0.0307718	0.0442893	0.00809425	0.0213497
v	0.58541	0.12958	0.104822	0.0984223	0.042612	0.0359705	0.00318393
ú	0.351873	0.275574	0.19194	0.141946	0.0173542	0.00702651	0.0142867
s	0.0642201	0.150525	0.236972	0.189738	0.105362	0.132455	0.120728
á	0.376655	0.152626	0.183358	0.0798196	0.0422765	0.1311	0.0341639
p	0.197283	0.135635	0.268351	0.129633	0.142119	0.0270988	0.0998796
á	0.202192	0.581029	0.0539701	0.0251201	0.023036	0.0564918	0.0581605
b	0.0498383	0.536176	0.0709585	0.0250888	0.0431704	0.188221	0.0865467
h	0.0331462	0.0413863	0.0938177	0.566592	0.148163	0.0255518	0.0913435
a	0.206759	0.271622	0.073449	0.0948668	0.0413696	0.180818	0.131115
o	0.00818458	0.00326644	0.146387	0.304173	0.316	0.0935486	0.12844
d	0.00458797	0.00165443	0.163124	0.216807	0.395905	0.132009	0.0859123
í	0.000250453	9.85049e-05	0.0348001	0.14329	0.124328	0.321554	0.375678
y	0.000988183	0.000205599	0.0601857	0.114639	0.18643	0.269479	0.368073
i	0.00285683	0.0026187	0.0187458	0.0471422	0.0331764	0.826059	0.0694015
l	0.00080163	0.000109945	0.0130256	0.111502	0.0568798	0.587855	0.229826
i	0.00160506	0.00070207	0.0311048	0.126618	0.105425	0.281628	0.452917
y	0.00096838	0.000143236	0.0170697	0.155153	0.149524	0.354108	0.323034
i	0.00139065	0.00126982	0.0105933	0.0288098	0.0521566	0.784985	0.120795
l	0.000527416	0.000128418	0.0149616	0.0916161	0.191641	0.210112	0.491013
i	0.0032044	0.0028428	0.0396463	0.0833285	0.119472	0.218233	0.533273
</S>	0.00184687	0.000453435	0.0149815	0.0873013	0.133319	0.203778	0.55832
