 	ce	jeune	garçon	est	avare	si	bien	que	tous	ses	parents	murmurent	contre	lui	</S>
m	0.408568	0.565949	0.0183317	0.000673039	0.00302164	0.000532245	0.000737937	0.000962554	0.000539705	0.000348543	0.000228427	7.6589e-06	8.72381e-05	6.2466e-06	5.53055e-06
w	0.0881373	0.905802	0.00490399	9.34982e-05	2.31248e-05	0.000131138	4.61213e-05	0.000110608	5.08377e-05	8.44767e-05	0.000262127	1.24616e-05	4.36424e-05	4.78911e-05	0.000251323
á	0.00550842	0.992095	0.00156409	0.000132523	0.000103279	7.4863e-05	5.01427e-05	7.82979e-05	5.96621e-05	6.48015e-05	0.000144951	4.00687e-05	3.98804e-06	6.39996e-05	1.594e-05
n	0.201088	0.790437	0.00498278	9.51021e-05	0.000200837	0.0003836	0.000209783	0.000471195	0.000144124	0.000172898	0.000805984	2.52074e-05	8.52526e-05	9.75628e-05	0.000800854
a	0.122191	0.573445	0.0449804	0.0333484	0.0105153	0.0602412	0.0129189	0.040904	0.00663184	0.0123749	0.0143366	0.000442949	0.00188585	0.00472102	0.0610626
i	0.773948	0.14241	0.0162246	0.0122566	0.00243669	0.00649935	0.00556663	0.00632415	0.00840735	0.00630138	0.00143838	0.00498519	0.00614521	0.0011581	0.00589797
b	0.105035	0.135277	0.334823	0.142865	0.0279067	0.0342897	0.0222829	0.00880374	0.0271623	0.0218133	0.0138967	0.0864579	0.00841296	0.0142798	0.0166945
a	0.00303885	0.131877	0.437461	0.0291154	0.25706	0.00960063	0.0333829	0.00688534	0.00868161	0.00984519	0.0323872	0.0134068	0.0053822	0.0152348	0.00664081
a	0.117627	0.0667221	0.497547	0.105666	0.0618098	0.0294833	0.0146259	0.0165731	0.0133825	0.0135634	0.00752683	0.0069801	0.00293278	0.00314547	0.0424139
w	0.0606515	0.0044229	0.386033	0.382172	0.037644	0.02813	0.0123424	0.0134327	0.00958083	0.0141538	0.00328761	0.0105492	0.00979225	0.000978383	0.0268298
ó	0.0365313	0.00191309	0.0181818	0.37569	0.0791514	0.0923358	0.0455898	0.0601305	0.0454872	0.0854881	0.0272325	0.0170553	0.0454104	0.0171841	0.0526188
a	0.0921622	0.00231818	0.0747001	0.428431	0.102805	0.0855525	0.0247233	0.0312397	0.0128977	0.0232584	0.00944605	0.00298004	0.0321717	0.00507373	0.0722399
d	0.00336448	0.00187258	0.0373586	0.358907	0.217274	0.102805	0.0443595	0.0206021	0.0341137	0.0395292	0.010401	0.0842466	0.0172416	0.00486405	0.0230606
í	0.0120645	0.00104856	0.0216132	0.594012	0.071856	0.101229	0.0334424	0.0214899	0.0208041	0.0266526	0.0074692	0.00326766	0.00678938	0.00430282	0.073958
l	0.0078899	0.000172909	0.0076145	0.381106	0.0936707	0.0911229	0.0923175	0.0423983	0.0950663	0.0394414	0.0171614	0.0361621	0.0221523	0.00929468	0.0644291
a	0.000926456	0.000137206	0.00613252	0.188736	0.131915	0.185202	0.0782085	0.0910756	0.0365318	0.0405867	0.018515	0.0136324	0.0309644	0.0184571	0.158979
l	0.00480893	0.000628413	0.0111007	0.0924694	0.376241	0.170221	0.0972582	0.0546258	0.031809	0.0256904	0.0371627	0.00775382	0.0140138	0.048126	0.0280909
e	0.00407809	0.000331044	0.00517333	0.0672574	0.299062	0.203048	0.0856507	0.0323193	0.0240288	0.0314031	0.0552074	0.030865	0.0176505	0.0766083	0.0673171
n	0.00428031	0.000438607	0.00786966	0.0707022	0.213991	0.367286	0.153846	0.0269483	0.0365215	0.0223251	0.026961	0.0147637	0.00728829	0.0285369	0.0182417
ú	0.0165396	0.00169564	0.00635774	0.0571744	0.250824	0.323277	0.078627	0.0705627	0.0241337	0.0253329	0.0562317	0.00232275	0.0122399	0.0237714	0.0509096
ώ	0.0095159	0.000152468	0.00127243	0.063051	0.0230066	0.343554	0.175368	0.138043	0.0890726	0.0675506	0.03161	0.0037383	0.0278918	0.00817239	0.0180001
d	0.00486742	0.000109472	0.00609345	0.0292553	0.00703833	0.226148	0.292415	0.115461	0.174184	0.0868687	0.0140332	0.0275124	0.0092085	0.00361428	0.00319103
í	0.0112646	9.77312e-05	0.000859781	0.0234338	0.00672085	0.173985	0.197616	0.13007	0.174501	0.120725	0.0338922	0.00817892	0.0108057	0.0118331	0.0960164
a	0.00610336	8.85977e-05	0.000687377	0.0185943	0.00378278	0.0420165	0.132348	0.164143	0.329531	0.170191	0.0346514	0.0287536	0.018521	0.00450616	0.0460824
b	0.000544127	8.80684e-05	0.00385728	0.012889	0.00411432	0.0323135	0.0775659	0.11327	0.197393	0.24676	0.0906541	0.188033	0.0130848	0.005701	0.0137319
v	0.000246196	0.000181107	0.00113944	0.0070098	0.0154403	0.010629	0.117182	0.0348958	0.17453	0.186896	0.154424	0.249747	0.0156058	0.0169281	0.0151456
ú	0.000152953	0.000106092	0.000666511	0.00301439	0.0250773	0.00760153	0.120672	0.0616345	0.17155	0.185729	0.243134	0.12125	0.0230395	0.0197828	0.0165886
u	0.00430264	0.000175781	0.00017579	0.00192702	0.00488803	0.00820178	0.0605837	0.0724732	0.476082	0.20803	0.0417176	0.0949565	0.00630342	0.00201208	0.0181705
i	0.00100542	1.69124e-05	0.000475029	0.00402239	0.000414684	0.0333534	0.0587726	0.0869574	0.177759	0.242773	0.1042	0.221391	0.0370122	0.00840681	0.0234405
b	0.000398976	3.03262e-05	0.00124808	0.004109	0.00117552	0.0176523	0.0295293	0.0466698	0.0698589	0.164526	0.115971	0.459687	0.035031	0.0207306	0.0333831
