 	j'	ai	abattu	l'	arbre	yanza	dans	la	forêt	</S>
n	0.891227	0.0822076	0.00312	0.00449107	0.00605596	0.00153107	0.0074815	0.00257945	0.0012069	9.93629e-05
g	0.993183	0.00590468	2.61214e-05	0.000268867	0.000171537	8.30892e-05	0.000227912	0.000114296	1.73206e-05	3.23589e-06
á	0.91308	0.0819436	0.00141459	0.00173953	0.000506364	0.00084747	0.000146125	0.000139293	0.000153553	2.96832e-05
í	0.0985298	0.509574	0.0569471	0.0599179	0.0377977	0.00244489	0.0237296	0.0294852	0.0127308	0.168844
k	0.0086754	0.135516	0.792599	0.0554502	0.00361904	0.000943682	0.00097794	0.000730688	0.000224004	0.00126427
w	0.00136033	0.0332892	0.908303	0.0465573	0.00749163	0.000611355	0.000832794	0.00039712	0.000256789	0.00089997
e	0.00799527	0.145339	0.495357	0.162779	0.0827149	0.0911052	0.0132893	0.000647815	0.000406385	0.000366259
r	0.00681427	0.0278021	0.0313063	0.189469	0.319476	0.21902	0.13298	0.0218262	0.0180248	0.0332826
i	0.00720449	0.0244566	0.0460275	0.321502	0.243114	0.294578	0.0378003	0.00978057	0.00492873	0.0106069
y	0.021794	0.105931	0.00500406	0.134161	0.459368	0.144798	0.0924871	0.0238426	0.0055971	0.00701849
a	0.00146031	0.00498462	0.00763699	0.102294	0.324821	0.367128	0.0669223	0.037299	0.0246495	0.0628048
n	0.000379443	0.00112142	0.000209216	0.0208918	0.157552	0.685569	0.0835106	0.0124818	0.00804421	0.0302404
d	0.0044741	0.00583673	5.61991e-05	0.01987	0.118081	0.637425	0.149664	0.0328457	0.00448108	0.0272665
z	0.000305562	0.000339817	7.32654e-05	0.00393926	0.0250357	0.894566	0.030984	0.0161418	0.00692009	0.021694
a	5.27794e-05	0.00019405	0.000299426	0.00926834	0.0739955	0.787787	0.0431509	0.0163071	0.00372143	0.0652238
s	3.70274e-05	0.000356735	9.4314e-05	0.011734	0.0976948	0.0773431	0.598036	0.126609	0.0131653	0.0749301
á	0.000609565	0.000271185	0.000211028	0.00483406	0.0919481	0.121248	0.241974	0.193292	0.142621	0.202991
k	0.00200057	0.000628299	0.000108238	0.000819637	0.00552115	0.017187	0.06472	0.11264	0.777207	0.0191678
ώ	9.8147e-05	7.22217e-05	0.000151306	0.000586688	0.00518159	0.004364	0.0157107	0.0151033	0.942076	0.0166565
</S>	0.000399575	0.000414959	0.00037206	0.00186063	0.0145934	0.00675198	0.018344	0.0255401	0.848729	0.0829946
