 	le	feu	que	tu	as	allumé	s'	est	éteint	tout	seul	</S>
m	0.773686	0.146133	0.0406336	0.0267461	0.00622729	0.00183751	0.00164564	0.000815458	0.000500404	0.00108904	0.000542158	0.000143595
í	0.0119075	0.97024	0.00780902	0.000412734	0.00151424	0.00278839	0.000553182	0.000367189	0.000526644	0.000241911	0.00269536	0.000943808
á	0.185799	0.335822	0.203155	0.0338922	0.00467545	0.148408	0.0284294	0.0106002	0.0120603	0.00235948	0.0319478	0.00285318
m	0.0594159	0.0839791	0.491031	0.255735	0.061334	0.0192177	0.00662398	0.00559908	0.00366555	0.00341069	0.00288304	0.00710478
í	0.0755292	0.756994	0.123682	0.00219257	0.00111567	0.0247975	0.00568982	0.00404908	0.00372581	0.000618833	0.000865214	0.000740778
í	0.0509339	0.159754	0.346931	0.137609	0.078687	0.0495037	0.0350071	0.0249564	0.0159304	0.0170609	0.0160708	0.0675556
p	0.00513616	0.0216927	0.149078	0.107709	0.0567563	0.43622	0.0992169	0.0292617	0.0338413	0.0133687	0.00483579	0.0428832
f	0.000985282	0.000346284	0.0255698	0.0295092	0.00464428	0.627431	0.180179	0.0485889	0.0273553	0.0141194	0.00755676	0.0337151
u	0.0101282	0.000465764	0.00891744	0.00642025	0.00196899	0.66829	0.248584	0.0314759	0.00947461	0.00772321	0.000801437	0.00574985
r	0.0416233	0.00918802	0.147416	0.0946239	0.0623802	0.0519947	0.315493	0.108325	0.0202713	0.0319663	0.0350327	0.0816852
ú	0.0410874	0.00439978	0.300068	0.091055	0.0824123	0.0637506	0.220008	0.0788394	0.00758052	0.0270824	0.0158742	0.067843
n	0.00690257	0.0118969	0.315189	0.276371	0.16606	0.00513248	0.103567	0.0842794	0.00692956	0.0156548	0.00223559	0.0057825
ω	0.0258308	0.0172655	0.113248	0.109461	0.519022	0.0108406	0.109812	0.0402241	0.00356963	0.00620957	0.0233761	0.0211416
í	0.00251672	0.00755716	0.0735281	0.052494	0.0573144	0.0623486	0.31229	0.267324	0.0581375	0.0347153	0.0167796	0.0549953
d	0.00857809	0.000700272	0.00175648	0.000563427	0.00258913	0.0815098	0.235794	0.334745	0.243662	0.0617298	0.0132529	0.0151186
í	0.00287954	0.00079877	0.000997425	0.000325803	0.000479453	0.00829706	0.0942966	0.280931	0.452287	0.0215182	0.00774339	0.129446
m	0.00436612	0.00210805	0.00921274	0.00255119	0.00325451	0.00388962	0.0731923	0.275385	0.387967	0.168522	0.0133388	0.0562136
i	0.00548379	0.0107474	0.00220143	5.75588e-05	0.000133666	0.000826443	0.0156493	0.135403	0.469801	0.0984114	0.195423	0.0658618
m	0.000636019	0.000458137	0.000403385	2.07835e-05	5.15258e-05	0.00238091	0.0162481	0.0638011	0.351945	0.13903	0.273479	0.151547
í	0.0021122	0.00560973	0.000789049	9.87927e-05	0.000136447	0.000435606	0.00316569	0.0437379	0.46935	0.0497023	0.357203	0.0676599
a	0.00107833	0.000414527	0.00213847	0.000124321	0.000449803	0.000627383	0.0152484	0.0591535	0.129472	0.142424	0.39443	0.254439
m	0.000556617	0.000200015	0.00225828	0.000592087	0.000502374	0.00132461	0.0114984	0.0513456	0.135305	0.287849	0.0988479	0.409719
έ	0.0164029	0.00624708	0.00271978	0.00010717	6.31683e-05	0.00197016	0.0128712	0.0925172	0.283289	0.216587	0.27504	0.0921853
n	0.000917467	0.00157667	0.000853038	2.67695e-05	4.55961e-05	0.00043317	0.0118618	0.0750751	0.1614	0.265306	0.214095	0.268409
έ	0.000635332	0.000404356	0.000478762	0.000134908	0.000133775	0.000306531	0.0078428	0.0297518	0.0390118	0.100284	0.474054	0.346962
</S>	0.000457061	0.000375919	0.0013202	0.000194769	0.000586331	0.000225432	0.0085114	0.0411799	0.0262631	0.0843594	0.0764901	0.760037
