 	elle	prépare	comme	au	village	</S>
w	0.956496	0.0113958	0.00410769	0.0271287	0.000725501	0.000146452
a	0.92203	0.007546	0.00913196	0.0609041	8.73597e-05	0.000300531
l	0.442605	0.273393	0.143342	0.105371	0.00112813	0.0341604
á	0.19409	0.154872	0.38396	0.11415	0.000373958	0.152554
a	0.530377	0.202101	0.0841886	0.0978843	0.000452203	0.0849967
l	0.0184759	0.93703	0.0371774	0.00178812	0.00164399	0.00388503
á	0.00484999	0.963928	0.0280956	0.0014396	0.00015734	0.00152982
m	0.0471004	0.867644	0.0396806	0.0113422	0.00312421	0.0311089
b	0.12164	0.259739	0.400628	0.134605	0.0140375	0.06935
á	0.126609	0.223086	0.38222	0.0664077	0.00100241	0.200676
m	0.118972	0.274307	0.29083	0.280258	0.0198063	0.0158276
b	0.016213	0.0626208	0.826278	0.0527678	0.00856393	0.0335564
ó	0.00105358	0.0222384	0.88754	0.0278472	0.0470019	0.0143192
a	0.00616365	0.0522713	0.909771	0.0228688	0.00414123	0.00478395
m	0.00456907	0.0222823	0.454048	0.431031	0.0141644	0.0739044
b	0.0233935	0.00927468	0.491186	0.113909	0.0237763	0.33846
á	0.00342367	0.0122284	0.615962	0.0712465	0.00872469	0.288414
a	0.0191739	0.0720879	0.421381	0.187035	0.0660466	0.234276
</S>	0.000886372	0.0101749	0.139024	0.159994	0.166789	0.523132
