 	je	ne	suis	plus	parti	en	voyage	car	mon	oncle	m'	a	retenu	</S>
n	0.508087	0.106356	0.097282	0.102346	0.0234459	0.0829664	0.0450309	0.01892	0.0122809	0.000216577	0.00131727	0.0012464	0.000425027	7.96116e-05
g	0.963858	0.00388014	0.00451232	0.0023865	0.00027365	0.000629566	0.000230607	0.00220431	0.019848	0.00104115	0.000849998	7.70116e-05	0.000205583	2.65304e-06
á	0.812941	0.0301868	0.0190444	0.0187666	0.0101378	0.00362841	0.00105566	0.00524983	0.0390588	0.0550762	0.00363263	0.000273691	0.00094054	7.6904e-06
i	0.0489173	0.134762	0.106014	0.121719	0.110249	0.0427214	0.00901007	0.0424478	0.0353964	0.004821	0.140777	0.0335391	0.0345029	0.135124
d	0.00934355	0.338897	0.18407	0.06393	0.114086	0.0296199	0.0333136	0.0139774	0.00269795	0.00618726	0.0324901	0.0799191	0.014835	0.0766331
z	0.0191495	0.48166	0.165607	0.0547913	0.0794336	0.0105071	0.0116964	0.0131128	0.00412503	0.00100474	0.0519507	0.0227609	0.00733398	0.0768668
e	0.094668	0.0518857	0.0215066	0.0266108	0.762534	0.00469958	0.00648639	0.00229897	0.00489004	0.000609714	0.00767354	0.00116692	0.00692757	0.00804212
o	0.0170955	0.0443654	0.241425	0.385767	0.0295057	0.0311772	0.0153134	0.0337312	0.0307866	0.000374095	0.0420592	0.0464045	0.00974974	0.0722458
b	0.000506911	0.0710283	0.160932	0.114283	0.556724	0.028101	0.047595	0.00164524	0.000215592	0.000873483	0.00218952	0.00368092	0.00307018	0.0091547
v	0.000794371	0.109265	0.2174	0.106415	0.15677	0.134684	0.229957	0.00645029	0.000639288	0.000534915	0.00723674	0.00534511	0.0180647	0.00644297
ú	0.000271564	0.0706192	0.15233	0.170859	0.191017	0.191976	0.203499	0.0059518	0.000419159	0.000119909	0.00356818	0.00403014	0.00379106	0.00154857
r	0.00929942	0.0184168	0.193732	0.295486	0.0794918	0.213105	0.145788	0.0202567	0.00215639	0.000206475	0.00380136	0.00277561	0.00292102	0.0125634
á	0.0236975	0.0324778	0.137183	0.155169	0.198685	0.104365	0.113131	0.0804398	0.0347456	0.000475022	0.0312619	0.00967091	0.0110459	0.0676523
o	0.00725002	0.012689	0.0582935	0.180823	0.0616025	0.342546	0.154262	0.104046	0.0379916	0.00568347	0.015983	0.00533987	0.0028412	0.0106494
d	0.000143144	0.00534921	0.010895	0.0164017	0.198018	0.183013	0.562509	0.00746847	0.000276671	0.00492332	0.00141542	0.00128214	0.00561696	0.00268815
