 	ils	jettent	les	arêtes	dans	la	poubelle	</S>
b	0.958975	0.029287	0.00380287	0.00214868	0.0020359	0.00370172	1.54622e-05	3.29155e-05
á	0.784846	0.150139	0.0446495	0.00500761	0.00615099	0.00906583	1.21915e-05	0.000129095
a	0.802136	0.154708	0.0295349	0.0052824	0.00318751	0.00249118	0.000261327	0.00239891
b	0.112517	0.575987	0.224011	0.0270386	0.0108251	0.00391806	0.000528846	0.0451743
á	0.218432	0.321423	0.286363	0.0337426	0.0611304	0.0310562	0.0002776	0.0475756
a	0.112943	0.383698	0.245826	0.0418535	0.0238687	0.0111923	0.0152683	0.16535
b	0.000954503	0.46045	0.433509	0.073897	0.010215	0.00157577	0.000781888	0.0186161
v	0.0307701	0.525685	0.330563	0.0916703	0.0110794	0.00200382	0.000103604	0.00812549
á	0.00792898	0.481621	0.433497	0.0616981	0.0117065	0.00110078	2.40504e-05	0.00242368
á	0.00133306	0.0607214	0.453181	0.264365	0.0688282	0.0097375	0.00287083	0.138963
k	0.0032512	0.0449878	0.323546	0.364492	0.191176	0.0311647	0.00340768	0.037975
ú	0.00084205	0.0736605	0.0919694	0.783369	0.0363953	0.00224196	0.00158759	0.00993375
b	9.29617e-05	0.0116142	0.0591082	0.83054	0.059911	0.00722113	0.00640265	0.02511
h	9.7613e-05	0.0257287	0.103371	0.700489	0.118595	0.0384216	0.000225378	0.013072
e	0.000626608	0.00895505	0.0680344	0.496151	0.287827	0.0856045	0.00259697	0.0502045
s	0.000288174	0.00208385	0.0241394	0.100737	0.521399	0.318697	0.00199427	0.0306606
á	0.00011146	0.00192265	0.0187152	0.107662	0.359973	0.376372	0.0299654	0.105278
d	0.000602075	0.00339988	0.00440832	0.00613461	0.107841	0.430866	0.437268	0.00947981
z	3.7612e-06	0.000118071	0.00107498	0.00214506	0.0464516	0.046116	0.888515	0.0155759
a	4.25036e-06	0.000441478	0.00117577	0.00105566	0.0190555	0.0178636	0.955994	0.00440944
l	6.00161e-06	0.000438761	0.00269772	0.0112433	0.0774842	0.0603408	0.760996	0.0867935
a	1.44853e-05	0.00181159	0.00953569	0.0310947	0.145073	0.154078	0.275918	0.382475
l	1.01241e-05	0.000585403	0.00439995	0.0107651	0.100277	0.149517	0.0978273	0.636619
a	7.17268e-05	0.00222148	0.0105234	0.0200334	0.0812701	0.0591432	0.302087	0.52465
</S>	0.000141491	0.000639893	0.00297145	0.00626564	0.033736	0.176698	0.416759	0.362788
