 	certaines	personnes	ont	du	mépris	pour	le	travail	des	autres	</S>
b	0.131046	0.680502	0.0678378	0.0462167	0.059018	0.00824144	0.00454098	0.000733415	0.00155179	0.000261838	5.01424e-05
a	0.0662235	0.774188	0.0370972	0.00916982	0.06518	0.0185782	0.00670136	0.0016836	0.00455356	0.0159465	0.000678651
r	0.0166973	0.903158	0.0229118	0.00661127	0.0217984	0.0143852	0.00380075	0.00391695	0.000643633	0.00368665	0.00238942
e	0.20429	0.728921	0.0113905	0.0126244	0.00947672	0.013863	0.00515962	0.00185608	0.000871985	0.000875613	0.0106707
b	0.0926614	0.499598	0.202649	0.0692632	0.0258007	0.020827	0.021658	0.00909128	0.0108366	0.00192618	0.0456883
a	0.201441	0.218577	0.259551	0.109984	0.043773	0.0447999	0.0307676	0.00400055	0.011979	0.00812746	0.0669987
n	0.439089	0.242171	0.111589	0.0390887	0.0169871	0.0327446	0.0189026	0.0147455	0.00604148	0.0102999	0.0683406
á	0.982202	0.00824451	0.00276305	0.00145968	0.00112583	0.00117159	0.000649065	8.12083e-05	0.000356806	0.000289154	0.00165749
á	0.0573124	0.130931	0.453616	0.198696	0.0257451	0.0327727	0.019631	0.00849006	0.0259459	0.00249936	0.0443599
d	0.0451641	0.0298128	0.353785	0.378334	0.103179	0.0205619	0.0108344	0.0109477	0.0137234	0.00386044	0.0297977
í	0.0255938	0.00651394	0.350787	0.269371	0.0565987	0.0289067	0.0237481	0.0527686	0.0139332	0.00283377	0.168945
l	0.0214732	0.0211563	0.119524	0.405433	0.217181	0.05354	0.039822	0.031976	0.038053	0.00587818	0.0459633
a	0.011899	0.00406389	0.135024	0.257851	0.102916	0.153795	0.0856823	0.0186199	0.0259907	0.00294035	0.201218
m	0.0885072	0.0107816	0.0651253	0.151597	0.30192	0.186095	0.0918474	0.0155939	0.00916258	0.0128552	0.0665148
b	0.00569061	0.00132079	0.0138986	0.0432872	0.45498	0.350207	0.0820982	0.0137021	0.00432311	0.0194394	0.0110534
έ	0.000384096	0.00255062	0.00748475	0.0355245	0.732614	0.145056	0.0352801	0.0052345	0.00316774	0.025696	0.00700738
r	0.000596296	0.00240698	0.0190006	0.0753414	0.417589	0.216042	0.0548654	0.00577236	0.00871327	0.0224963	0.177177
í	0.00453496	0.00935897	0.0355302	0.206425	0.196405	0.29968	0.153117	0.0053023	0.0214821	0.00548664	0.0626783
í	0.00402225	0.00182451	0.0493236	0.0979843	0.0868216	0.31746	0.26042	0.0758371	0.0487722	0.00697334	0.0505603
m	0.00358098	0.00707046	0.0651136	0.097605	0.0408799	0.140781	0.217721	0.210525	0.175921	0.0209186	0.0198833
í	0.000505243	0.00153664	0.00721482	0.0155057	0.0344977	0.213275	0.113926	0.203047	0.146375	0.15822	0.105896
s	0.00305847	0.00397744	0.0110207	0.0211186	0.0412645	0.113261	0.125912	0.388091	0.0637538	0.177661	0.0508816
á	0.00626032	0.000446585	0.00703862	0.0251814	0.0165126	0.0652104	0.1994	0.322111	0.123473	0.106699	0.127668
l	0.00280441	0.000764684	0.00519839	0.0128853	0.0112547	0.0582871	0.180312	0.31117	0.126147	0.0412371	0.24994
a	0.00055764	0.00181458	0.00589884	0.018588	0.0166376	0.0894511	0.255884	0.218641	0.201168	0.0669484	0.12441
l	0.000437232	0.000426984	0.00281027	0.00529605	0.00307573	0.0393974	0.114927	0.181281	0.25253	0.047734	0.352085
á	0.00138809	0.00183015	0.0158552	0.0225791	0.0146893	0.0337063	0.070698	0.149681	0.0984064	0.0401005	0.551066
b	0.00581412	0.00277178	0.00954787	0.0171124	0.00890983	0.0523832	0.0936948	0.0439011	0.280208	0.241394	0.244263
i	0.00303108	0.0182124	0.0610701	0.0859974	0.017114	0.0471951	0.0847462	0.113672	0.135066	0.361871	0.072024
a	0.000286784	0.00145641	0.00178836	0.0078809	0.00530192	0.0150488	0.0387307	0.0674146	0.0659056	0.210831	0.585355
</S>	0.000346377	0.00038772	0.00403932	0.00567479	0.002917	0.013102	0.021059	0.0264193	0.311989	0.120856	0.49321
