 	il	travaille	avec	beaucoup	d'	adresse	</S>
w	0.914335	0.00285254	0.0192123	0.0195474	0.0405421	0.00317196	0.000338772
a	0.681702	0.000891053	0.0372404	0.0326881	0.22903	0.018287	0.000161352
l	0.615458	0.0695853	0.0620319	0.0673278	0.135337	0.0277975	0.0224626
á	0.0688486	0.0213318	0.139357	0.113554	0.0948221	0.131645	0.430442
a	0.179725	0.0821164	0.197361	0.137938	0.145739	0.0937199	0.163402
s	0.0154593	0.954297	0.0152836	0.00357431	0.000625918	0.00198766	0.0087724
á	0.00617317	0.975132	0.00714707	0.00191814	0.000334842	0.00106764	0.00822738
l	0.149156	0.619411	0.073849	0.0183788	0.010502	0.00448135	0.124222
á	0.0903927	0.737512	0.0699071	0.0343366	0.025059	0.00304906	0.0397436
l	0.12975	0.281568	0.416352	0.0755585	0.0600908	0.0260407	0.0106402
a	0.0561251	0.112236	0.59711	0.110302	0.0208918	0.0128769	0.0904576
ω	0.0918667	0.0831944	0.582741	0.0992966	0.0475746	0.0762168	0.0191099
m	0.00239423	0.0952775	0.618435	0.153676	0.0149335	0.0791605	0.0361227
b	0.00245179	0.0770952	0.219367	0.191439	0.0291338	0.391598	0.0889148
ω	0.000581208	0.0327638	0.280488	0.201465	0.0245137	0.390773	0.0694156
n	0.00174049	0.0123688	0.131882	0.487984	0.121712	0.0903116	0.154002
d	0.00137263	0.0375926	0.187769	0.353232	0.046201	0.10769	0.266143
ώ	0.00332054	0.0574134	0.219833	0.216898	0.0491099	0.154591	0.298834
o	0.00911861	0.00797814	0.207245	0.274983	0.299806	0.0785395	0.122331
y	0.00964063	0.0366967	0.139832	0.295106	0.128823	0.313073	0.0768281
í	0.00100461	0.158419	0.081209	0.240822	0.258029	0.121921	0.138595
í	0.00123719	0.0277161	0.0544688	0.159409	0.22965	0.065213	0.462306
</S>	0.00503837	0.00586186	0.0366132	0.150999	0.458159	0.0638444	0.279484
