 	tu	veux	bien	que	je	sorte	</S>
n	0.72083	0.0572805	0.120629	0.0549717	0.0361241	0.00386058	0.00630374
ω	0.959282	0.00521397	0.00270158	0.00360483	0.0271939	0.00168581	0.000317777
o	0.31117	0.561378	0.0246013	0.0469519	0.0279716	0.0154142	0.0125131
d	0.00497286	0.662474	0.117288	0.0602654	0.00399944	0.0129875	0.138012
í	0.00249651	0.268542	0.0819421	0.0312637	0.00452681	0.00697831	0.60425
l	0.0306821	0.0861188	0.407556	0.175088	0.0471316	0.00909296	0.244331
a	0.0512649	0.160247	0.175451	0.194221	0.12306	0.0319335	0.263822
p	0.0146241	0.232119	0.142849	0.242318	0.119373	0.0584517	0.190265
ó	0.0032157	0.150206	0.221097	0.276906	0.00654436	0.118861	0.223169
s	0.00582679	0.584111	0.138136	0.140712	0.0119517	0.0486482	0.0706149
á	0.00249317	0.087533	0.278578	0.33277	0.0226874	0.0987246	0.177215
k	0.0348492	0.020796	0.19751	0.233204	0.349711	0.0862192	0.0777111
á	0.00940141	0.0153467	0.0780028	0.327837	0.0405524	0.37602	0.152839
a	0.0294969	0.0161756	0.0793286	0.290859	0.222942	0.17445	0.186748
n	0.00129913	0.00722318	0.0564706	0.183672	0.254098	0.262335	0.234902
g	0.0115593	0.00309965	0.00855995	0.112349	0.474096	0.236794	0.153542
á	0.00491805	0.00079801	0.00248734	0.0294245	0.463946	0.394987	0.103439
í	0.00143628	0.00771248	0.0471864	0.0983429	0.12218	0.269825	0.453317
p	0.00123275	0.0310242	0.0419971	0.0948156	0.126502	0.478004	0.226424
f	0.000174137	0.0153914	0.0180414	0.0663929	0.0232125	0.487187	0.3896
o	0.000451518	0.0140222	0.0487343	0.16189	0.0501088	0.271076	0.453717
o	0.00119772	0.0059294	0.0218583	0.117169	0.170467	0.0968814	0.586497
n	0.000330328	0.00745738	0.0156348	0.0373138	0.0766339	0.24271	0.61992
a	0.00387412	0.00681731	0.00619141	0.042382	0.150167	0.381977	0.408591
</S>	0.000583394	0.00193781	0.00576705	0.0367205	0.13775	0.143633	0.673608
