 	cette	saison	ce	safoutier	a	gardé	ses	fruits	</S>
m	0.591571	0.244007	0.0992993	0.0224015	0.0214751	0.00255862	0.0133384	0.00419833	0.00115128
é	0.248959	0.49272	0.14045	0.0260908	0.0164381	0.0169175	0.0106065	0.00942049	0.0383977
b	0.0741231	0.532282	0.0782527	0.259803	0.00624387	0.00912671	0.00393302	0.0212035	0.0150319
v	0.0582991	0.69607	0.0729022	0.0279601	0.0134178	0.0418174	0.0101717	0.0550586	0.0243028
ú	0.258332	0.460416	0.0634024	0.0835485	0.0131697	0.0399834	0.00923406	0.00867015	0.063244
y	0.196933	0.229231	0.309596	0.178967	0.0388202	0.00358094	0.00863788	0.00423958	0.0299949
é	0.490361	0.119916	0.159635	0.113032	0.0662699	0.00532179	0.0134544	0.00828044	0.0237287
o	0.166018	0.0312277	0.388552	0.0648853	0.298515	0.0054118	0.0210322	0.00324002	0.0211178
s	0.00211084	0.0014515	0.0276502	0.616975	0.0721358	0.251574	0.00475755	0.00698413	0.0163611
á	0.00117642	0.000828169	0.0223483	0.311588	0.0208056	0.621135	0.00142136	0.00221399	0.0184832
á	0.0384995	0.00341756	0.0685659	0.286612	0.327806	0.092111	0.0186309	0.0108428	0.153514
b	0.0130225	0.00482904	0.0428101	0.0592787	0.602273	0.125327	0.0964822	0.014049	0.0419285
v	0.0404287	0.0269508	0.0873496	0.00809229	0.219206	0.0219546	0.174742	0.298669	0.122607
ú	0.00194565	0.0039502	0.0136288	0.0258263	0.0744732	0.35176	0.180695	0.23266	0.11506
o	0.00429012	0.0028767	0.0395297	0.0282332	0.180119	0.0797371	0.483253	0.144087	0.0378743
k	0.0030125	0.00174049	0.022287	0.00478996	0.0930375	0.0600463	0.620071	0.167478	0.0275366
á	0.00206262	0.00916876	0.0238626	0.0122104	0.0233528	0.00619125	0.171276	0.615029	0.136846
r	0.000662748	0.0014248	0.0107336	0.0184297	0.0178063	0.00517137	0.063556	0.448441	0.433774
i	0.00352905	0.0184809	0.0233065	0.00977168	0.0527806	0.0159904	0.385682	0.194955	0.295504
</S>	0.00521923	0.00398793	0.00950947	0.000456665	0.0627228	0.00176388	0.427314	0.230227	0.258799
