 	il	attire	les	animaux	au	piège	avec	un	remède	</S>
w	0.748325	0.0176521	0.075795	0.0288295	0.0500673	0.0571869	0.00869625	0.0127232	0.000675867	4.89555e-05
a	0.801556	0.0019287	0.0396236	0.0309444	0.0656812	0.0376021	0.00502605	0.0122642	0.00531056	6.32876e-05
a	0.17886	0.500777	0.14402	0.071611	0.0382075	0.0123483	0.0138384	0.0184633	0.00705422	0.0148198
d	0.0391845	0.55564	0.190995	0.0954559	0.0321921	0.020048	0.0141872	0.0115615	0.00309761	0.0376378
í	0.0390431	0.409264	0.173538	0.25	0.032829	0.00493821	0.00454926	0.00356297	0.00191962	0.0803559
l	0.00907654	0.2963	0.248382	0.0975882	0.0722007	0.0115932	0.0154876	0.0171864	0.00495163	0.227234
a	0.0496295	0.114201	0.382016	0.24066	0.0587773	0.0156974	0.023172	0.0134759	0.00718112	0.0951908
ω	0.0466318	0.501833	0.119947	0.197508	0.0283404	0.021281	0.014029	0.00778942	0.0260351	0.0366064
n	0.00237673	0.503388	0.121259	0.240248	0.0361959	0.0299302	0.016764	0.00600157	0.0121484	0.0316883
g	0.000663221	0.0428939	0.0476409	0.775221	0.0421104	0.0112901	0.015756	0.00463076	0.0110264	0.0487672
a	0.00099366	0.00855668	0.0475484	0.872234	0.0441369	0.0109122	0.00627354	0.00175698	0.00318956	0.00439775
n	0.00165666	0.0159577	0.0815762	0.457308	0.178663	0.0959841	0.0649295	0.0203196	0.0290221	0.0545836
g	0.00585183	0.0291956	0.107432	0.305157	0.259101	0.0317483	0.0711727	0.017173	0.0123908	0.160778
a	0.139681	0.0416363	0.0513541	0.477652	0.131801	0.0622293	0.0471427	0.0043718	0.0135481	0.0305835
m	0.014097	0.00902477	0.134769	0.0580816	0.420344	0.162373	0.110312	0.0525158	0.00806372	0.0304194
á	0.0261899	0.00132883	0.111522	0.0492854	0.246765	0.0884864	0.200637	0.155902	0.0346504	0.0852327
i	0.00722409	0.0109455	0.0465294	0.0938286	0.203551	0.1833	0.217613	0.107328	0.112792	0.0168876
p	0.00313991	0.0267864	0.0228189	0.0599515	0.107569	0.145321	0.301403	0.0947116	0.212447	0.0258514
έ	0.00139487	0.0587435	0.0132358	0.0186813	0.0586261	0.262803	0.280082	0.101293	0.152163	0.0529768
ε	0.000275714	0.0213248	0.0206574	0.0221251	0.0600202	0.270403	0.231213	0.139035	0.129067	0.10588
l	0.00114855	0.00161964	0.0126246	0.00881801	0.0683796	0.0173821	0.241041	0.393194	0.0968735	0.158918
á	0.000835801	0.0107252	0.0272773	0.0154244	0.0491876	0.013786	0.163342	0.25335	0.111256	0.354815
a	0.00829955	0.0013306	0.0374696	0.0189914	0.0252695	0.0216035	0.0666316	0.186129	0.592843	0.0414326
n	0.00162226	0.0159761	0.0397332	0.0219976	0.0168752	0.0244512	0.0312084	0.126544	0.674067	0.0475246
y	0.000484386	0.00276428	0.0349301	0.0704551	0.0337503	0.0107866	0.0313811	0.15258	0.550642	0.112227
a	0.00358828	0.0025102	0.0298398	0.110806	0.049804	0.0114582	0.0338026	0.155671	0.466586	0.135935
m	8.02213e-05	0.000732239	0.00186642	0.00377448	0.0117093	0.00312832	0.0383278	0.103198	0.227935	0.609249
a	0.00137006	0.0007999	0.0135925	0.0225545	0.0725875	0.0120058	0.121933	0.270098	0.373026	0.112033
p	0.003471	0.00605048	0.0270901	0.0079768	0.0238746	0.00542956	0.0375668	0.201303	0.153302	0.533936
ó	0.00159791	0.0218526	0.0172981	0.00477692	0.0205046	0.0475594	0.0492755	0.248369	0.219047	0.369719
s	0.000215719	0.00932422	0.00167013	0.00145002	0.00331439	0.00658311	0.0486929	0.0648334	0.304515	0.559402
á	0.000267472	0.0204407	0.0196385	0.00914927	0.0164727	0.0300413	0.070265	0.157628	0.497598	0.178498
ω	0.00992003	0.00544363	0.0330278	0.007133	0.0181464	0.035765	0.0317435	0.104144	0.390253	0.364423
y	0.00224923	0.0598	0.0818137	0.0491886	0.0455538	0.0300166	0.0392124	0.175544	0.348386	0.168236
a	0.000219333	0.0486125	0.00340156	0.030696	0.0209418	0.0186706	0.0202854	0.253547	0.147277	0.456349
a	6.49123e-05	0.00181373	0.00193387	0.0044538	0.0060597	0.00390609	0.0095557	0.100947	0.0816143	0.789651
m	0.000800612	0.00275321	0.0231143	0.00555244	0.017968	0.00870759	0.023336	0.145455	0.19457	0.577743
ó	0.00300533	0.00378037	0.0740855	0.0492632	0.11718	0.0117604	0.0522468	0.356092	0.112148	0.220439
b	0.000728828	0.00242241	0.0207307	0.0137459	0.0249958	0.0238785	0.0502422	0.211546	0.413216	0.238493
ó	0.00319084	0.00468809	0.0426696	0.0105198	0.0825143	0.106169	0.0613559	0.201974	0.366081	0.120838
y	0.000672562	0.00318046	0.0269345	0.00474934	0.0122895	0.0285262	0.0513614	0.0978829	0.453286	0.321117
a	0.00211813	0.039898	0.0216804	0.0206678	0.014645	0.029562	0.0731243	0.0861464	0.332955	0.379203
</S>	0.00139851	0.0100623	0.0210311	0.0096538	0.0211979	0.01266	0.0466117	0.127436	0.235289	0.514659
