 	il	est	encore	en	train	de	manger	</S>
w	0.762638	0.199825	0.0142059	0.0150504	0.00388666	0.00380477	0.000238784	0.000351092
a	0.675664	0.213618	0.0209908	0.0496433	0.0165387	0.0231527	0.000223381	0.000168455
á	0.11486	0.366756	0.387756	0.0794673	0.0145025	0.0260561	0.00250499	0.00809636
s	0.0175821	0.144958	0.686872	0.0648718	0.0501076	0.00675008	0.0109422	0.0179165
á	0.00358943	0.0563961	0.896245	0.0210044	0.00502269	0.000406711	0.00716562	0.0101702
a	0.0445354	0.0506497	0.656617	0.128077	0.0179272	0.00859271	0.0220993	0.0715013
l	0.04931	0.0906378	0.179204	0.423133	0.170235	0.0485473	0.0194611	0.0194711
á	0.0401904	0.0580936	0.0976524	0.196547	0.262388	0.10293	0.0288789	0.21332
a	0.164052	0.100236	0.0854269	0.255646	0.164013	0.145317	0.0493206	0.0359877
d	0.00148893	0.00600749	0.00940756	0.0629208	0.429218	0.0183391	0.450302	0.0223163
z	5.82764e-05	0.000875315	0.00400408	0.0147897	0.0228569	0.00367847	0.877112	0.0766252
á	0.00295072	0.015012	0.0262073	0.0361411	0.00512135	0.00930397	0.832708	0.0725552
a	0.00226174	0.00823319	0.023659	0.0913374	0.0132957	0.117098	0.323035	0.42108
</S>	0.000706148	0.00459648	0.00597677	0.0305911	0.0118713	0.230076	0.288108	0.428074
