 	au	bout	d'	un	moment	le	voyageur	a	eu	chaud	et	ôta	son	manteau	</S>
o	0.6374	0.195384	0.0666436	0.0316877	0.0195175	0.0185445	0.0145471	0.00685996	0.00441915	0.00087815	0.00264633	0.00035019	0.000721051	0.000330276	7.10623e-05
d	0.134919	0.591864	0.0729586	0.0385575	0.0384581	0.0119778	0.00456183	0.00805586	0.0135459	0.0122721	0.00651228	0.0151326	0.00962588	0.0328315	0.00872723
í	0.134857	0.693079	0.0329444	0.0323469	0.0330011	0.0099738	0.00284094	0.00461563	0.0045065	0.0249783	0.00181004	0.00350349	0.00191793	0.00659232	0.0130327
n	0.120866	0.47643	0.177535	0.0657533	0.0265482	0.0233764	0.00709861	0.00619454	0.00534631	0.005559	0.00462637	0.00816642	0.00681437	0.0104654	0.0552195
g	0.225228	0.295173	0.191141	0.0916924	0.0664518	0.0282954	0.00272657	0.0176756	0.0095368	0.0227194	0.010884	0.0114773	0.00457096	0.00129008	0.0211386
á	0.104455	0.124235	0.175497	0.188958	0.136563	0.0434322	0.00397007	0.0297649	0.0227028	0.0725736	0.0261175	0.0262387	0.00742477	0.00286341	0.0352052
k	0.0922127	0.0827735	0.342567	0.197093	0.0616391	0.0789083	0.0338215	0.0261458	0.0158954	0.00255925	0.0207714	0.00704557	0.0170661	0.00530265	0.0161989
a	0.0551615	0.0491513	0.158051	0.249217	0.17992	0.0717508	0.0689635	0.0294524	0.0204774	0.00948477	0.015035	0.00856626	0.0106583	0.0340022	0.0401082
á	0.0124261	0.0646714	0.113376	0.125432	0.143975	0.101752	0.297639	0.0208146	0.00526658	0.00376287	0.0115908	0.0347453	0.00838121	0.0119682	0.0441991
o	0.0137168	0.0110093	0.186782	0.14882	0.148237	0.270635	0.061175	0.0461129	0.0165713	0.00288829	0.0328292	0.0146754	0.019275	0.0032889	0.0239843
b	0.00765473	0.0124107	0.0235981	0.0960887	0.465027	0.173786	0.15303	0.0201982	0.00779947	0.00480465	0.00297769	0.0149145	0.00385327	0.0121437	0.00171282
h	0.00319154	0.00581093	0.016403	0.0634455	0.1956	0.0767379	0.536099	0.0485954	0.012658	0.00147158	0.00405306	0.0215691	0.00472062	0.00303885	0.00660618
é	0.00231152	0.00232883	0.0136593	0.0464088	0.134961	0.0501323	0.713107	0.014999	0.00207135	0.000297501	0.000796072	0.0122583	0.00162583	0.00112226	0.00392113
m	0.00163126	0.00678437	0.0555398	0.109053	0.196121	0.146173	0.287344	0.0712629	0.0278326	0.011872	0.00543923	0.0117251	0.00814567	0.0139989	0.0470781
b	0.011126	0.00205358	0.0212734	0.0688045	0.13198	0.317318	0.307231	0.0804503	0.0258549	0.00707452	0.0164177	0.00505361	0.00253645	3.31736e-05	0.0027931
i	0.0109578	0.00154362	0.028718	0.0630719	0.146835	0.142481	0.466885	0.0814756	0.0176272	0.000969125	0.00825433	0.00392857	0.00245474	0.000296961	0.0245014
a	0.00427016	0.00153673	0.0266124	0.0361394	0.0509591	0.23104	0.228869	0.289593	0.0797225	0.0150589	0.0191961	0.00241538	0.0055111	0.000662165	0.00841491
b	0.00660301	0.00531391	0.00838486	0.016281	0.0703424	0.117123	0.215407	0.261939	0.122277	0.103311	0.0126165	0.0350976	0.00850627	0.00997509	0.00682223
