 	ma	mère	rentre	du	champ	chaque	soir	</S>
n	0.826929	0.0189288	0.0563253	0.0374889	0.0262356	0.0197213	0.0130991	0.00127177
g	0.543138	0.44632	0.000710246	0.000410633	0.00924097	0.000147455	3.03293e-05	2.84821e-06
ó	0.216389	0.754248	0.0015622	0.000311959	0.0272979	0.000132386	5.40678e-05	4.40059e-06
o	0.367129	0.575048	0.0121025	0.00354748	0.0400753	0.0010676	0.000375057	0.000655154
y	0.623861	0.0498977	0.220538	0.0311329	0.0166598	0.0178978	0.00617704	0.0338356
a	0.917606	0.0324838	0.0176821	0.00325393	0.00781651	0.00457581	0.00080877	0.0157732
n	0.968044	0.000277367	0.0181965	0.00296067	0.000839509	0.0013228	0.000350749	0.00800826
g	0.93955	0.0253757	0.00594674	0.000803799	0.0231451	0.000652587	0.000100532	0.00442562
á	0.288522	0.62573	0.0165045	0.00209619	0.0573064	0.0010039	0.000181245	0.00865552
l	0.0381575	0.0109393	0.731282	0.107198	0.0523257	0.0226694	0.0085793	0.0288488
á	0.0717705	0.0115923	0.374019	0.077169	0.129757	0.0834445	0.0104225	0.241826
a	0.0299128	0.000788801	0.260876	0.552404	0.0547916	0.0303255	0.0107168	0.0601844
w	0.00199673	0.00159944	0.499465	0.463219	0.0187389	0.00350772	0.00197902	0.00949373
ú	0.000650102	0.000219022	0.112952	0.837931	0.0259007	0.00797704	0.00761651	0.00675352
r	0.00322558	5.45246e-05	0.0387206	0.811001	0.12788	0.0053143	0.001469	0.0123348
á	0.00509032	0.000373618	0.259399	0.565821	0.0907526	0.0356784	0.00477731	0.0381074
á	0.0024568	0.000378736	0.0790431	0.414749	0.394004	0.0794225	0.0220243	0.00792139
n	0.00473352	0.000437282	0.129832	0.329738	0.279079	0.208188	0.0193283	0.0286637
g	0.00622801	8.3083e-05	0.0156514	0.0173493	0.920922	0.0272064	0.00142109	0.0111385
o	0.000658947	0.000975452	0.00465701	0.00259118	0.981731	0.00715295	0.00158183	0.000651701
n	2.15967e-05	7.88633e-05	0.000626534	0.00185695	0.973833	0.0178634	0.00381753	0.00190255
d	0.000478518	0.000403552	0.0318986	0.0761694	0.28783	0.207998	0.0216728	0.373549
a	0.00122287	0.000758945	0.00576611	0.00851688	0.915374	0.0189578	0.019531	0.0298727
l	0.000581027	6.96888e-05	0.0315079	0.0421531	0.0702586	0.588057	0.0768978	0.190475
e	0.0103615	0.000434246	0.0130142	0.0305996	0.0388047	0.280308	0.280901	0.345577
k	0.000407453	2.52115e-05	0.00445277	0.0180575	0.00978632	0.322289	0.336318	0.308664
ω	5.36552e-06	1.37766e-06	0.00108908	0.0117548	0.00208009	0.106867	0.86347	0.0147325
k	4.61885e-05	5.94742e-06	0.000980823	0.0105697	0.00503279	0.060691	0.913653	0.00902032
ω	0.000151308	7.45671e-07	0.00191629	0.0265508	0.00875073	0.145348	0.648019	0.169263
ω	0.000114927	3.01979e-06	0.00170117	0.0374517	0.026427	0.199027	0.432528	0.302748
</S>	0.00128994	5.57315e-06	0.00937008	0.0439399	0.0107748	0.317121	0.0575162	0.559983
