 	on	lui	fait	des	massages	au	pied	</S>
b	0.697799	0.24172	0.0290398	0.016316	0.0101239	0.00334655	0.0014446	0.000209974
á	0.089007	0.194977	0.0291572	0.139384	0.534224	0.00984078	0.00295011	0.000460829
a	0.23938	0.452028	0.0359461	0.133964	0.1304	0.00476222	0.00112069	0.00239968
k	0.227909	0.320984	0.333541	0.0560201	0.00395351	0.0178276	0.000689412	0.0390752
ώ	0.0360869	0.137168	0.520275	0.0952131	0.108904	0.0184297	0.0573414	0.0265818
ώ	0.0637732	0.227793	0.315611	0.225969	0.13014	0.0188393	0.00751856	0.0103547
w	0.170744	0.0898846	0.217866	0.358748	0.103545	0.0476005	0.00182451	0.00978679
á	0.186553	0.197853	0.229839	0.0900701	0.167863	0.073801	0.012794	0.0412259
b	0.0706698	0.0620728	0.0905797	0.19313	0.50303	0.0332765	0.00311687	0.0441248
o	0.0454398	0.0211075	0.0151978	0.13283	0.755749	0.00909096	0.0202296	0.000355782
n	0.00495384	0.0320775	0.0725285	0.0876769	0.708092	0.0461789	0.0444264	0.00406604
g	0.0268521	0.130492	0.196924	0.308737	0.242009	0.0462067	0.0112125	0.0375675
a	0.0327765	0.120096	0.0674221	0.181819	0.574039	0.0136831	0.00318987	0.00697478
m	0.0137502	0.0125012	0.109195	0.0952005	0.0455344	0.602295	0.0230382	0.0984855
é	0.0235736	0.0247009	0.0566982	0.0611139	0.0277559	0.429693	0.0345907	0.341874
k	0.010452	0.010791	0.0474774	0.106164	0.0740767	0.235901	0.471698	0.043441
o	0.000418649	0.000407444	0.00396005	0.0037917	0.00551191	0.00760494	0.970175	0.0081305
o	0.000244018	0.000599678	0.00422571	0.00817505	0.00923395	0.00719041	0.961206	0.00912528
</S>	0.00152643	0.00274599	0.0163086	0.0139097	0.00219177	0.105625	0.190402	0.66729
