 	j'	ai	juré	de	ne	plus	manger	de	sa	nourriture	</S>
n	0.975237	0.0143936	0.000583935	0.00412839	0.00128706	0.00182894	0.000612809	0.000794808	0.000776477	0.000347445	9.14837e-06
g	0.971837	0.0272799	1.69704e-06	0.000461187	4.05923e-05	0.000151346	3.71033e-05	8.72948e-05	8.8574e-05	1.07181e-05	5.11811e-06
á	0.854293	0.140861	0.000589045	0.000852684	0.000516056	0.000843814	0.00103442	0.000524421	0.000269003	0.000203446	1.37059e-05
í	0.280148	0.343567	0.00747166	0.0296096	0.0180836	0.0344298	0.0251535	0.0539323	0.0480659	0.0222298	0.137309
m	0.0454433	0.190612	0.721809	0.00479708	0.00633888	0.00392123	0.00828906	0.00356494	0.00231944	0.0012119	0.0116929
i	0.000546223	0.299062	0.585257	0.0194687	0.0248477	0.00707502	0.0178276	0.0106149	0.00619211	0.00361988	0.0254884
s	0.000256391	0.0293385	0.953393	0.00403875	0.00247599	0.000816786	0.00362142	0.000668685	0.000398984	0.000109745	0.00488176
á	0.000654701	0.0361957	0.953427	0.000763582	0.00144267	0.000289364	0.00355061	0.00032187	0.000172696	4.12158e-05	0.00314046
á	0.00283124	0.0763582	0.243422	0.102684	0.0368933	0.0312961	0.0435536	0.0390223	0.0399376	0.00294021	0.381062
o	0.00568227	0.0864029	0.198196	0.481547	0.0979602	0.042188	0.0173771	0.0218057	0.0249318	0.00698586	0.016924
k	0.000196106	0.0030189	0.728625	0.0392915	0.0747077	0.00960971	0.126135	0.00610089	0.00215934	0.00265643	0.00749944
i	1.25495e-05	0.000304146	0.783299	0.0217921	0.0992435	0.0153886	0.0347869	0.013511	0.00694838	0.00211504	0.0225985
á	1.1993e-05	0.00103253	0.235073	0.159092	0.342394	0.1021	0.0564503	0.0415012	0.0311813	0.00503399	0.0261297
b	0.000735091	0.0134324	0.00789856	0.332047	0.304703	0.192091	0.0578809	0.0370754	0.0256362	0.00881638	0.0196831
e	0.0024457	0.00662228	0.00736089	0.0828623	0.218891	0.170112	0.0561636	0.137357	0.0825279	0.180621	0.055037
a	0.000421979	0.00450576	0.00267746	0.109156	0.16015	0.214533	0.0694691	0.092624	0.0536827	0.19372	0.0990594
b	0.000231446	0.00415115	0.0010532	0.0861713	0.20823	0.404924	0.147599	0.0749079	0.0431229	0.00858446	0.0210241
á	0.00120204	0.00264302	0.0026026	0.024439	0.14664	0.164629	0.0770584	0.194278	0.125731	0.189084	0.0716925
w	0.00488289	0.0138717	0.00105291	0.029746	0.0793002	0.124212	0.147734	0.119206	0.0796693	0.25919	0.141135
a	0.00219764	0.00449881	0.00189593	0.0414151	0.158016	0.20772	0.0747947	0.164903	0.116387	0.0592094	0.168961
</S>	0.0004126	0.00110824	0.000944646	0.042451	0.0941319	0.274381	0.196845	0.143477	0.112781	0.0343884	0.0990799
