 	il	sait	déjà	conduire	la	voiture	</S>
w	0.968804	0.0176238	0.00157211	0.00181863	0.00938342	0.000708229	8.96979e-05
a	0.968489	0.00653826	0.0015013	0.000540412	0.0198645	0.00301729	4.91119e-05
á	0.135486	0.630826	0.168189	0.00872476	0.0381716	0.00727365	0.0113286
b	0.0196829	0.678316	0.234692	0.026451	0.0156565	0.00557228	0.0196292
h	0.0301459	0.682354	0.192115	0.0333345	0.00990427	0.00655193	0.045595
i	0.0125602	0.65401	0.248643	0.061181	0.00916338	0.00221467	0.0122277
á	0.0114777	0.199292	0.362636	0.179252	0.132336	0.0134629	0.101543
l	0.0499661	0.0582462	0.405099	0.307234	0.165847	0.00361475	0.00999229
á	0.0257412	0.0500175	0.372114	0.102926	0.0454957	0.0157563	0.387949
a	0.152433	0.0632223	0.321349	0.176734	0.10559	0.0389359	0.141737
y	0.000139799	0.0121028	0.0480596	0.863753	0.0134922	0.0579664	0.00448655
é	3.35113e-05	0.0134979	0.146577	0.745265	0.00569285	0.0715997	0.017334
b	0.000110942	0.010443	0.121404	0.655503	0.0318691	0.0275734	0.153096
h	0.00117049	0.0215404	0.0307356	0.642627	0.245257	0.00687266	0.0517965
á	0.000882913	0.00509723	0.0233447	0.528823	0.127594	0.0421129	0.272146
o	0.0244466	0.00590799	0.0178422	0.242002	0.624781	0.0411481	0.0438728
b	0.000583702	0.0139547	0.0214505	0.35579	0.135891	0.455268	0.0170619
h	0.000985464	0.00457783	0.00266772	0.0356949	0.174511	0.765954	0.0156091
é	7.37182e-05	0.000719656	0.00172699	0.0949865	0.0269039	0.858109	0.0174808
m	5.23534e-05	0.000818898	0.00109794	0.569174	0.034784	0.27595	0.118123
b	0.000974634	0.00028246	0.00147754	0.0339342	0.0489508	0.566845	0.347536
í	0.000543894	8.59025e-05	0.00155583	0.0121234	0.0140203	0.790992	0.180679
s	0.00178544	0.000193823	0.000246172	0.00483715	0.205582	0.0882864	0.699069
á	0.00155021	0.00301974	0.0074633	0.0420335	0.165712	0.393147	0.387074
o	0.0130502	0.00462508	0.00855332	0.0301536	0.620904	0.0189401	0.303774
t	0.000359517	0.0303137	0.101704	0.257024	0.221566	0.261649	0.127384
ω	0.000243744	0.0191944	0.0118456	0.2259	0.141928	0.453236	0.147653
m	0.000128477	0.000927653	0.00103336	0.0124012	0.085589	0.72176	0.17816
b	0.000178505	0.000297635	0.000550335	0.0405167	0.221471	0.483693	0.253292
í	0.000205607	0.000528285	0.00188309	0.0104916	0.0816369	0.689352	0.215902
l	0.00131958	0.00072327	0.00080143	0.0184786	0.0336923	0.0273973	0.917588
i	0.00136	0.0035259	0.00423591	0.0605812	0.139449	0.361575	0.429273
</S>	0.00259922	0.00312063	0.00380287	0.00988195	0.32502	0.00472245	0.650853
