 	il	a	brisé	le	bâton	</S>
w	0.89508	0.0655511	0.00524018	0.0199108	0.0135219	0.000696111
a	0.917585	0.0514474	0.00224225	0.0207324	0.00772557	0.000267617
á	0.146486	0.740983	0.0901263	0.0133541	0.00095363	0.00809721
m	0.0516474	0.430666	0.449173	0.0525377	0.00139729	0.0145786
i	0.0386492	0.339933	0.302364	0.145152	0.00832746	0.165574
k	0.00845484	0.0663885	0.825811	0.0635469	0.00698006	0.0288189
y	0.00727878	0.0331632	0.847486	0.0461527	0.0325748	0.0333443
é	0.00411095	0.0276709	0.633056	0.101303	0.217884	0.015976
n	0.0278128	0.159264	0.245806	0.202154	0.0676492	0.297314
á	0.0899723	0.102992	0.186229	0.246109	0.0739054	0.300792
i	0.0230783	0.0166133	0.0510775	0.347414	0.459139	0.102679
b	0.000962666	0.000516761	0.00476989	0.0309627	0.939169	0.0236188
v	0.00257493	0.00216601	0.00561914	0.0266341	0.949992	0.0130138
ú	0.00118823	0.00245549	0.0368225	0.0593118	0.864948	0.0352737
a	0.000337315	0.000222501	0.0139178	0.0241687	0.606599	0.354754
</S>	0.00357325	0.00886166	0.102997	0.129014	0.115045	0.640509
