 	tu	es	vraiment	mal	intentionné	car	tu	es	parti	cueillir	les	feuilles	de	manioc	dans	le	champ	de	ton	voisin	</S>
n	0.645731	0.131924	0.047268	0.0211656	0.0237288	0.0866411	0.0153464	0.00307103	0.000369838	0.000833745	0.00434959	0.00281961	0.00348083	0.00193643	0.00179105	0.00462595	0.00111618	0.00227877	0.000847561	0.00031375	0.000360829
ω	0.926852	0.043645	0.00407541	0.00735563	0.00615247	0.00094943	0.00875937	0.000675674	1.04987e-05	1.28538e-05	6.01353e-05	2.25852e-05	3.71075e-05	1.68324e-05	2.89292e-05	0.000139993	0.000609478	3.9843e-05	5.9091e-05	0.000488318	9.86197e-06
o	0.111825	0.775234	0.0392393	0.00817353	0.015948	0.00739838	0.00481535	0.0065246	0.00406616	0.00430218	0.00342544	0.000985696	0.00247224	0.00073595	0.00133298	0.00244261	0.00448191	0.000987513	0.00078304	0.000572988	0.00425383
d	0.0102834	0.208368	0.493618	0.042897	0.0346361	0.00576663	0.00198782	0.0150793	0.071419	0.0386258	0.0143226	0.0154918	0.00518863	0.00587715	0.00469732	0.00315714	0.000638264	0.00474567	0.00244566	0.00571676	0.0150377
í	0.00172075	0.0316473	0.237276	0.102292	0.0117459	0.00610894	0.00296613	0.00482877	0.13686	0.040916	0.0228294	0.0104281	0.0103427	0.00393784	0.0203481	0.0113916	0.000776889	0.0092553	0.00499041	0.0616912	0.267646
l	0.00911995	0.0122318	0.196904	0.211062	0.0213171	0.0265567	0.00377549	0.00625954	0.0110463	0.0261133	0.0411862	0.0364215	0.0256312	0.0340153	0.0484831	0.0289458	0.00192516	0.0205877	0.0219249	0.0390382	0.177455
o	0.00881543	0.0216278	0.169059	0.210863	0.173974	0.0620608	0.02069	0.00939171	0.0129689	0.0390955	0.0279135	0.0101534	0.0215514	0.00883155	0.0319253	0.0313118	0.00438215	0.013807	0.00891917	0.00537417	0.107285
l	0.000966214	0.0168396	0.0473394	0.123391	0.588881	0.00758362	0.000774429	0.00463348	0.0468958	0.0173662	0.00656136	0.00453967	0.00572619	0.00334605	0.00949918	0.00873201	0.00496237	0.00286529	0.00432172	0.017164	0.0776111
o	0.00118528	0.0494773	0.113821	0.0629095	0.623203	0.00851382	0.00118007	0.00996157	0.014871	0.00903741	0.0114917	0.0135514	0.00772848	0.00769795	0.0136441	0.00994784	0.00529178	0.00222168	0.00786771	0.0103609	0.016037
n	0.000112931	0.0319583	0.0808877	0.0814142	0.563034	0.0121429	0.00042183	0.0253462	0.0323656	0.012849	0.0129385	0.0291457	0.0132439	0.0185104	0.0104989	0.00770205	0.00408461	0.00613189	0.00782994	0.0102623	0.0391192
g	0.000275428	0.0505545	0.0645812	0.0400269	0.443123	0.0149172	0.000775487	0.00817635	0.0225635	0.0167908	0.025708	0.024479	0.0247579	0.0162904	0.0204014	0.0223788	0.00613871	0.0157676	0.0106964	0.00731919	0.164278
a	0.00226178	0.0103516	0.00166349	0.00745362	0.941451	0.0148594	0.00256557	0.00245547	0.000495671	0.000144931	0.000234518	0.000158064	0.000518151	0.000170482	0.00018946	0.000466414	0.0125305	0.000245526	0.000196514	0.000107364	0.00148091
t	0.00438226	0.0116428	0.034658	0.223315	0.10209	0.35877	0.0837612	0.0619465	0.0027583	0.0114903	0.0154702	0.00838905	0.0140688	0.00677657	0.0119875	0.0120003	0.00113347	0.00807351	0.00556984	0.00275435	0.0189624
