 	elle	vide	les	boyaux	</S>
p	0.711049	0.13353	0.135163	0.0200147	0.000243128
a	0.339462	0.637034	0.0148403	0.00800861	0.000654933
s	0.0792437	0.88485	0.0229554	0.000345912	0.0126051
á	0.0567876	0.845166	0.0811112	0.000875038	0.0160599
á	0.171103	0.19046	0.489026	0.0125766	0.136834
i	0.0690996	0.0706903	0.746134	0.00774398	0.106332
s	0.0307335	0.304437	0.547571	0.0333361	0.083922
ω	0.00899911	0.197577	0.672519	0.0327511	0.0881535
b	0.00502891	0.0837527	0.574093	0.137169	0.199956
h	0.0981037	0.178687	0.550302	0.0259994	0.146908
ώ	0.0218358	0.111425	0.166797	0.104201	0.595742
m	0.00533219	0.00565899	0.660601	0.12966	0.198748
á	0.00389263	0.00159584	0.160463	0.288397	0.545651
n	0.02103	0.0100546	0.463063	0.158184	0.347668
y	0.000871837	0.00182396	0.0123033	0.648451	0.33655
a	0.00227303	0.00848907	0.0252804	0.794738	0.169219
m	0.00051653	0.0102258	0.0475258	0.174404	0.767328
a	0.0082029	0.00294493	0.0803517	0.267233	0.641268
</S>	0.00194899	0.00262047	0.0714371	0.00918458	0.914809
