 	notre	père	utilise	la	fourchette	lorsqu'	il	mange	</S>
t	0.0243185	0.964827	0.00979307	0.00098916	1.56401e-05	9.36974e-06	4.00424e-05	1.21379e-06	5.95066e-06
á	0.00636008	0.882901	0.105381	0.0032518	0.000636959	0.000217946	0.000381667	0.000153206	0.000716658
á	0.028389	0.79708	0.0740156	0.0088032	0.00238937	0.0140407	0.0147507	0.033723	0.0268087
y	0.786631	0.132906	0.00513579	0.0194491	0.0128339	0.0062229	0.0128803	0.00255927	0.0213818
a	0.579046	0.133774	0.0410566	0.11335	0.0781491	0.00847229	0.0135613	0.0146153	0.0179751
b	0.954042	0.00771504	0.00265178	0.0108062	0.00396873	0.00140191	0.00300925	0.00142408	0.0149812
í	0.967193	0.0172306	0.0115495	0.00222735	0.000145516	0.000362827	0.00036756	8.44196e-05	0.000839143
s	0.987536	0.0108711	0.000950613	0.000287226	4.79413e-05	2.65246e-05	3.26881e-05	2.25492e-05	0.000225156
í	0.733737	0.0799407	0.0244978	0.0469232	0.00591995	0.00371462	0.0189427	0.00324894	0.0830749
l	0.0664214	0.0876651	0.108441	0.167449	0.128964	0.168583	0.0457254	0.0476555	0.179095
á	0.0187144	0.0228631	0.106834	0.135378	0.0872283	0.104722	0.0529265	0.0282897	0.443044
a	0.0566447	0.00817713	0.237631	0.17353	0.171422	0.276165	0.0249807	0.0146369	0.0368131
d	0.00533355	0.000812048	0.200117	0.0684395	0.542976	0.149238	0.00785078	0.0143477	0.0108849
z	0.00127552	0.000248512	0.135668	0.0656407	0.259008	0.294348	0.0104731	0.19871	0.0346283
á	0.0134203	0.00580823	0.0770393	0.126947	0.437811	0.168414	0.0223899	0.120443	0.0277269
á	0.00449981	0.000181982	0.018021	0.0993543	0.0353819	0.379654	0.16433	0.118938	0.179638
m	0.00319247	0.000652231	0.00439775	0.04621	0.0112193	0.0846004	0.705963	0.120282	0.0234827
o	0.00339209	0.000400723	0.00839881	0.0219274	0.0579798	0.174231	0.308308	0.201283	0.224079
s	7.90049e-05	0.000100775	0.0118064	0.0248023	0.0248655	0.152117	0.0815846	0.603797	0.100848
a	0.000212716	3.16974e-05	0.00104195	0.00621765	0.0144541	0.0230715	0.0368774	0.897272	0.0208212
n	0.0026903	1.94743e-05	0.000560807	0.00423335	0.00356411	0.039709	0.0736192	0.536506	0.339098
y	0.00231751	0.000115531	0.00298353	0.0115437	0.000911233	0.0332238	0.229376	0.337498	0.38203
a	0.00271972	0.000201436	0.00581258	0.00899875	0.000682756	0.0324671	0.117351	0.209406	0.622361
</S>	0.000314492	2.33676e-05	0.00144571	0.00640516	0.000619678	0.0350901	0.067711	0.145052	0.743339
