 	le	marchand	est	arrivé	au	village	avec	un	ballot	d'	etoffe	</S>
o	0.899738	0.0886256	0.00628644	0.00093089	0.00202493	0.000466668	0.00131487	0.000423514	2.3817e-05	9.3506e-05	6.43667e-05	7.77815e-06
k	0.0167214	0.978373	0.0026879	0.000200258	0.000102411	0.00107484	0.000139765	0.00022334	0.000116531	9.57553e-05	0.00017017	9.40897e-05
i	0.00537255	0.992798	0.000220371	0.000164291	0.00014272	0.000647121	7.50857e-05	5.59402e-05	0.000196928	1.81213e-05	0.000241943	6.65158e-05
r	0.00232508	0.994442	0.00119595	0.000284917	0.000199939	0.000221414	0.000162172	0.000171284	0.000414683	0.00011907	0.000224378	0.00023951
i	0.0545458	0.924823	0.00690118	0.00129109	0.00218779	0.00172579	0.00135975	0.000877112	0.00189253	0.0002225	0.00124195	0.00293199
m	0.418355	0.150085	0.298911	0.0323422	0.0181146	0.00461541	0.0293523	0.0153808	0.00897493	0.0088291	0.0010802	0.0139601
y	0.424399	0.0383832	0.349886	0.031947	0.039943	0.000835047	0.0294802	0.0294427	0.00330704	0.0269788	0.000359545	0.0250393
e	0.263074	0.238638	0.288092	0.050419	0.0264486	0.0306985	0.0121213	0.0280552	0.0235387	0.00463846	0.0021439	0.0321324
r	0.393402	0.296164	0.209493	0.0201658	0.0228523	0.00579311	0.00738558	0.0156917	0.00662619	0.00176867	0.000323096	0.0203353
é	0.818496	0.0538956	0.0427379	0.00760534	0.0236246	0.0102465	0.00372216	0.00418377	0.00179664	0.00166472	0.00214336	0.029884
á	0.0890545	0.00318467	0.383008	0.243809	0.156674	0.0302688	0.0473753	0.0158333	0.00637944	0.0131331	0.000773323	0.0105068
y	0.0109651	0.00455807	0.122468	0.354286	0.28169	0.0512086	0.0531431	0.0443392	0.0262911	0.0319221	0.00301903	0.0161096
ε	0.00859038	0.000536547	0.0392969	0.396024	0.210121	0.221746	0.0367222	0.0151865	0.0353018	0.00713618	0.0011934	0.0281454
ε	0.00625675	0.000834203	0.070156	0.184459	0.246673	0.128055	0.0589415	0.0511225	0.0321985	0.0427946	0.00367054	0.174838
l	0.00370551	0.000204689	0.0318985	0.0927605	0.525656	0.0847337	0.142711	0.0680761	0.00845357	0.0232552	0.00232965	0.0162153
a	0.00285554	0.000737053	0.0283475	0.151174	0.253596	0.205543	0.124699	0.0731591	0.0301005	0.0378433	0.00569163	0.0862541
o	0.00287084	0.000221516	0.00939337	0.0266666	0.100468	0.37929	0.288533	0.10982	0.0212742	0.0231785	0.00316772	0.035116
t	0.00108498	0.00438293	0.00992667	0.0512965	0.0307681	0.203825	0.0998144	0.134888	0.408633	0.0230946	0.0206633	0.0116226
ú	8.96481e-05	0.000572886	0.00191874	0.0170951	0.00492535	0.581146	0.0338047	0.0154121	0.319499	0.00332185	0.0125974	0.00961722
ú	0.00105687	0.000366113	0.000671148	0.00269312	0.0123168	0.37818	0.0174603	0.0482601	0.463806	0.00674424	0.0289035	0.0395417
g	0.00120964	4.50353e-05	0.00166501	0.00256042	0.0764289	0.0549132	0.168768	0.276875	0.148631	0.167328	0.0360656	0.0655108
h	0.00630041	0.000142372	0.00196428	0.00456449	0.0952036	0.0330084	0.13747	0.0805959	0.0499277	0.0782907	0.0378419	0.474691
u	0.0158608	0.000340533	0.00193882	0.00261934	0.0650708	0.0433253	0.0944371	0.504929	0.0890819	0.0657648	0.0448488	0.0717828
m	0.000320684	1.44091e-05	0.000801962	0.000950523	0.0169321	0.0142799	0.167227	0.299769	0.0497749	0.354109	0.0226849	0.073135
á	0.00335347	8.9866e-05	0.00303319	0.000907764	0.0103065	0.00111886	0.0783631	0.148075	0.0679865	0.416712	0.00685125	0.263203
a	0.0025659	0.000570479	0.0019094	0.00119449	0.00685408	0.0133853	0.0434397	0.0873702	0.0246233	0.227347	0.521835	0.0689053
p	0.0010383	0.000535453	0.00473015	0.00551258	0.00858147	0.00130705	0.0266516	0.0632623	0.0183487	0.455383	0.191422	0.223228
ú	0.000111287	0.000207738	0.00113557	0.00352352	0.00449914	0.0167707	0.00906795	0.0182712	0.0894361	0.0527424	0.759747	0.0444873
t	0.00131082	0.000110416	0.000125153	0.000147313	0.00260417	0.015159	0.00279843	0.0166345	0.0258686	0.0201514	0.870044	0.0450465
a	0.000913648	8.4873e-05	0.000105181	0.000204603	0.00452277	0.00575651	0.0024124	0.00263701	0.0224451	0.0122887	0.915749	0.0328807
</S>	0.000728892	5.73619e-05	0.0015575	0.00118209	0.00802555	0.00105829	0.0146224	0.0356986	0.008248	0.126841	0.135838	0.666142
