 	ce	palmier	dattier	a	de	gros	bambous	</S>
i	0.488568	0.380888	0.0582186	0.0464726	0.0208682	0.00427114	0.000459371	0.000253874
b	0.0131903	0.551265	0.375237	0.0445473	0.0107595	0.00261271	0.00126011	0.00112763
v	0.00922938	0.894962	0.0496456	0.0219087	0.00550499	0.000841554	0.0166961	0.00121174
ú	0.0400024	0.644536	0.183441	0.068631	0.0371288	0.0161883	0.00836344	0.00170942
ú	0.0773523	0.125808	0.636095	0.100212	0.0490942	0.00751564	0.000980439	0.00294181
d	0.10124	0.0368571	0.213098	0.414578	0.131226	0.0143307	0.00372922	0.0849419
í	0.137433	0.0046376	0.249657	0.121577	0.115821	0.0646102	0.000570621	0.305693
i	0.124007	0.0131837	0.0811553	0.330527	0.248379	0.110723	0.0141056	0.0779192
d	0.00813309	0.0100699	0.159963	0.238276	0.315822	0.128635	0.0658002	0.0733005
i	0.00514808	0.006474	0.132156	0.154404	0.205063	0.103068	0.0294548	0.364232
m	0.01263	0.00333551	0.0923466	0.16687	0.350164	0.197017	0.0491115	0.128525
b	0.0107457	0.00516047	0.0234636	0.104475	0.177794	0.191648	0.103691	0.383022
á	0.0173438	0.00587325	0.03393	0.0510432	0.259719	0.350161	0.12138	0.160549
á	0.011463	0.00187735	0.0091637	0.0475908	0.157675	0.359323	0.308343	0.104564
n	0.00687388	0.0129896	0.0379561	0.0530817	0.0607744	0.350154	0.214283	0.263887
έ	0.0107191	0.00112842	0.00272954	0.00366403	0.0152	0.746947	0.0107159	0.208896
n	0.00170919	0.00055525	0.00514103	0.0330269	0.0920798	0.285196	0.0319496	0.550343
έ	0.00430777	0.000340265	0.0021966	0.00225228	0.0282506	0.851903	0.00509365	0.105656
</S>	0.00254304	0.000928571	0.00454348	0.0220872	0.0640191	0.210651	0.029628	0.6656
