 	les	palmes	protègent	contre	le	soleil	</S>
m	0.452166	0.506023	0.0373701	0.0012601	0.00297812	0.000137158	6.55952e-05
á	0.0810225	0.0477213	0.831473	0.00850999	0.00494137	0.00400534	0.0223268
n	0.18507	0.469523	0.321566	0.00276585	0.00162291	0.015945	0.00350769
g	0.0804068	0.855404	0.0384443	0.00154981	0.000793515	0.00121346	0.0221877
a	0.0461983	0.920696	0.024638	0.00172257	0.000339551	0.000323613	0.0060817
m	0.135433	0.211796	0.261941	0.116998	0.157557	0.00780614	0.108469
á	0.420567	0.0272911	0.372381	0.0269796	0.0808397	0.0489558	0.0229862
a	0.4198	0.0606969	0.375771	0.0752305	0.0415008	0.00666548	0.020335
k	0.0260348	0.00650872	0.310188	0.572844	0.0628919	0.00457041	0.0169618
a	0.00325485	0.000174658	0.0332559	0.93473	0.018533	0.00121334	0.00883868
n	0.0177034	0.00532191	0.154499	0.720944	0.0473023	0.00437514	0.0498543
g	0.0607427	0.038111	0.0954606	0.718335	0.0415977	0.00346161	0.0422913
á	0.0876379	0.238675	0.0887737	0.395199	0.108388	0.0231732	0.0581524
m	0.020493	0.0050636	0.0561589	0.102778	0.547248	0.226356	0.041902
w	0.00905969	0.000397259	0.0129363	0.00983126	0.0427527	0.858208	0.0668152
é	0.000573336	1.89476e-05	0.00645061	0.00284871	0.00210927	0.986495	0.0015036
s	0.0333352	0.000396847	0.0175859	0.0856008	0.194286	0.61345	0.0553454
é	0.0141068	0.00937806	0.0094896	0.0774742	0.134624	0.575467	0.179461
</S>	0.00655404	0.00254817	0.00503463	0.0790467	0.202374	0.105003	0.59944
