 	il	n'	a	plus	qu'	un	an	à	vivre	</S>
é	0.545903	0.218155	0.0579194	0.0334511	0.0242126	0.0440993	0.0183253	0.0514808	0.00332761	0.00312531
m	0.0994072	0.413151	0.085532	0.0495273	0.018051	0.0656833	0.059013	0.0402298	0.13545	0.0339557
i	0.0635272	0.196253	0.29786	0.106141	0.0754268	0.0220812	0.0152592	0.0187159	0.0681851	0.13655
b	0.0424815	0.0606873	0.135091	0.075698	0.0356478	0.0288114	0.0498559	0.0341041	0.0809633	0.456659
v	0.01885	0.0260846	0.0672773	0.12501	0.0523894	0.0415986	0.330897	0.0433111	0.0931968	0.201386
u	0.0135167	0.0409622	0.0444357	0.0867223	0.0197447	0.0418005	0.642535	0.023194	0.0450809	0.0420083
á	0.0348654	0.114468	0.211002	0.240005	0.0513652	0.0511199	0.0578764	0.0176189	0.0385289	0.18315
l	0.0856769	0.117234	0.157381	0.159931	0.234977	0.0974795	0.0571108	0.0463743	0.00957044	0.0342644
a	0.0606644	0.0739596	0.14016	0.186821	0.0827892	0.0574896	0.0229729	0.0215211	0.0115929	0.34203
w	0.314468	0.149961	0.138862	0.101102	0.118865	0.0586056	0.016921	0.0265096	0.013225	0.0614805
a	0.104585	0.134652	0.249926	0.222731	0.120919	0.0512414	0.0345145	0.0317249	0.00908521	0.0406212
o	0.0151304	0.0225795	0.123588	0.247765	0.244346	0.175846	0.0528296	0.0476883	0.0101031	0.0601256
b	0.00232579	0.016685	0.043219	0.100123	0.0507472	0.201027	0.402434	0.0354037	0.129199	0.0188355
v	0.00118802	0.00649467	0.0226195	0.0622626	0.0217081	0.0618832	0.621644	0.015216	0.17016	0.0168242
ú	0.000957269	0.00365989	0.0192608	0.119579	0.040984	0.0853937	0.600419	0.0500623	0.0419007	0.0377839
ω	0.00606666	0.0142699	0.0500776	0.115492	0.225608	0.170183	0.218324	0.0789857	0.0308721	0.0901211
p	0.00319182	0.0116099	0.0363997	0.0792131	0.183184	0.24466	0.112282	0.227826	0.0582416	0.0433909
ω	0.00298123	0.00970604	0.0353394	0.157958	0.141074	0.184632	0.290123	0.0444882	0.079892	0.0538071
ώ	0.000542177	0.0028311	0.0216631	0.113648	0.0877971	0.315704	0.238127	0.125588	0.0365639	0.0575369
o	0.0102171	0.00764028	0.0226837	0.0503643	0.200261	0.118751	0.0802602	0.3612	0.0444331	0.104189
t	0.00295614	0.00944539	0.0150364	0.0206168	0.0215806	0.0652335	0.062744	0.164628	0.553523	0.0842367
o	0.00113339	0.0071408	0.0215472	0.0678325	0.0355721	0.145342	0.194298	0.103859	0.309652	0.113623
m	0.00062105	0.00187792	0.0110519	0.0343254	0.0400285	0.117372	0.128717	0.175092	0.175706	0.315208
ó	0.00336926	0.00576854	0.0143316	0.0433158	0.109961	0.168207	0.171027	0.250207	0.121372	0.112441
i	0.00765522	0.00414473	0.0143424	0.0264428	0.0972782	0.0823213	0.0225165	0.265234	0.0535187	0.426546
w	0.00680892	0.0109328	0.0257181	0.0424825	0.0344236	0.0522596	0.0638988	0.136749	0.20093	0.425797
á	0.00377943	0.00624138	0.0144392	0.0362644	0.050617	0.0418171	0.0548263	0.108774	0.429707	0.253534
a	0.00283398	0.00275164	0.00823278	0.0166674	0.0551012	0.0384399	0.043898	0.12925	0.167622	0.535203
</S>	0.00407443	0.00636027	0.0149403	0.0324279	0.0512337	0.0410731	0.0382618	0.164269	0.115926	0.531434
